"Package","Version"
"hms","1.1.4"
"htmlTable","2.5.0"
"htmltools","0.5.9"
"htmlwidgets","1.6.4"
"httpgd","2.1.4"
"httpuv","1.6.17"
"httr","1.4.8"
"httr2","1.2.2"
"ica","1.0-3"
"ids","1.0.1"
"igraph","2.2.3"
"IHW","1.38.0"
"ini","0.3.1"
"inline","0.3.21"
"IRanges","2.44.0"
"IRdisplay","1.1"
"IRkernel","1.3.2"
"irlba","2.3.7"
"isoband","0.3.0"
"iterators","1.0.14"
"JASPAR2020","0.99.10"
"JASPAR2022","0.99.8"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"jsonvalidate","1.5.0"
"kableExtra","1.4.0"
"KEGGREST","1.50.0"
"KernSmooth","2.23-26"
"knitr","1.51"
"labeling","0.4.3"
"lambda.r","1.2.4"
"languageserver","0.3.18"
"later","1.4.8"
"lattice","0.22-9"
"lazyeval","0.2.3"
"lemur","1.8.0"
"lifecycle","1.0.5"
"limma","3.66.0"
"lintr","3.3.0-1"
"listenv","0.10.1"
"lme4","2.0-1"
"lmerTest","3.2-1"
"lmom","3.3"
"lmtest","0.9-40"
"locfit","1.5-9.12"
"loo","2.9.0"
"lpsymphony","1.38.0"
"lsa","0.73.4"
"lubridate","1.9.5"
"magick","2.9.1"
"magrittr","2.0.5"
"MASS","7.3-65"
"Matrix","1.7-5"
"MatrixGenerics","1.22.0"
"MatrixModels","0.5-4"
"matrixStats","1.5.0"
"memoise","2.0.1"
"memuse","4.2-3"
"metapod","1.18.0"
"methods","4.5.3"
"mgcv","1.9-4"
"microbenchmark","1.5.0"
"mime","0.13"
"miniUI","0.1.2"
"minqa","1.2.8"
"mixOmics","6.34.0"
"modelr","0.1.11"
"MOFA2","1.20.2"
"msigdbr","26.1.0"
"MuDataSeurat","0.0.0.9000"
"muscat","1.24.0"
"mvtnorm","1.4-0"
"nabor","0.5.0"
"nleqslv","3.3.7"
"nlme","3.1-169"
"nloptr","2.2.1"
"nnet","7.3-20"
"nortest","1.0-4"
"numDeriv","2016.8-1.1"
"openssl","2.4.1"
"otel","0.2.0"
"PACS","0.2.2"
"pak","0.9.5"
"pandoc","0.2.0"
"parallel","4.5.3"
"parallelly","1.47.0"
"patchwork","1.3.2"
"pbapply","1.7-4"
"pbdZMQ","0.3-14"
"pbkrtest","0.5.5"
"pbmcapply","1.5.1"
"pheatmap","1.0.13"
"PICsnATAC","0.3.1"
"pillar","1.11.1"
"pkgbuild","1.4.8"
"pkgconfig","2.0.3"
"pkgdown","2.2.0"
"pkgload","1.5.2"
"plotly","4.12.0"
"plyr","1.8.9"
"png","0.1-9"
"polyclip","1.10-7"
"polynom","1.4-1"
"posterior","1.7.0"
"pracma","2.4.6"
"praise","1.0.0"
"presto","1.0.0"
"prettyunits","1.2.0"
"pROC","1.19.0.1"
"processx","3.9.0"
"profvis","0.4.0"
"progeny","1.32.0"
"progress","1.2.3"
"progressr","0.19.0"
"promises","1.5.0"
"ProtGenerics","1.42.0"
"proxy","0.4-29"
"ps","1.9.3"
"purrr","1.2.2"
"pwalign","1.6.0"
"quantreg","6.1"
"QuickJSR","1.10.0"
"qvalue","2.42.0"
"R.cache","0.17.0"
"R.methodsS3","1.8.2"
"R.oo","1.27.1"
