term,contrast,set_size,nes,pvalue,padj,leading_edge_n,leading_edge_genes
HSR_core,WT_heat,47,2.04905631,1.28306639e-5,1.92459959e-5,23,Hsph1;Hspa4l;Dnaja3;Hspa1b;Bag3;Hspa1a;Hsf1;Dnaja1;Hspa13;St13;Fkbp4;Ptges3;Hsp90aa1;Htra2;Chordc1;Hspb1;Bag5;Hspa9;Hspa4;Dnajb1;Clpb;Dnajc2;Bag2
HSR_sensitivity,WT_heat,148,1.82984923,7.81185228e-6,1.92459959e-5,49,Hsph1;Hspa4l;Dnaja3;Hspa1b;Bag3;Hspa1a;Hsf1;Il1a;Aaas;Ano1;Dnaja1;Hspa13;Nup98;St13;Nup54;Nup50;Fkbp4;Ptges3;Thbs1;Ranbp2;Pom121;Nup37;Camk2g;Hsp90aa1;Htra2;Ndc1;Chordc1;Hspa5;Hspb1;Nup35;Mapkapk2;Nf1;Bag5;Hdac2;Eef1a1;Ep300;Hspa9;Mapk3;Rps19bp1;Eif2s1;Hspa4;Ywhae;Dnajb1;Clpb;Nup43;Dnajc2;Nup188;Bag2;Pdcd6
TCR_activation,WT_heat,66,1.71988216,0.00130317807,0.00130317807,27,Lta;Lcp2;Nfatc1;Nr4a2;Il2;Nr4a3;Ier3;Tnfrsf4;Nr4a1;Dusp5;Itk;Rel;Jund;Cd40lg;Egr2;Odc1;Egr3;Cd83;Egr1;Tnfrsf9;Batf;Dusp1;Bcl10;Atf3;Dusp2;Tnf;Junb
HSR_core,Temp_main,47,2.01287679,2.97501198e-5,4.46251797e-5,18,Hsph1;Hspa4l;Dnaja3;Hspa1b;Bag3;Hspa1a;Hsf1;St13;Dnaja1;Fkbp4;Hspa13;Ptges3;Hsp90aa1;Chordc1;Bag5;Htra2;Hspb1;Hspa9
HSR_sensitivity,Temp_main,148,1.80223815,8.1918566e-6,2.45755698e-5,49,Hsph1;Hspa4l;Dnaja3;Hspa1b;Bag3;Hspa1a;Ano1;Hsf1;St13;Aaas;Dnaja1;Il1a;Fkbp4;Hspa13;Nup54;Nup50;Ptges3;Hsp90aa1;Ranbp2;Nup35;Thbs1;Nup37;Chordc1;Nup98;Bag5;Ndc1;Hspa5;Htra2;Hspb1;Pom121;Eef1a1;Eif2s1;Hdac2;Nf1;Camk2g;Hspa9;Mapkapk2;Mapk3;Ep300;Rps19bp1;Hspa4;Ywhae;Dnajb1;Pdcd6;Bag2;Hmox1;Nup43;Nup188;Dnajc2
TCR_activation,Temp_main,66,1.68025809,0.00204283361,0.00204283361,27,Lta;Lcp2;Ier3;Nfatc1;Nr4a2;Il2;Nr4a3;Tnfrsf4;Nr4a1;Dusp5;Itk;Rel;Odc1;Cd40lg;Jund;Egr2;Cd83;Egr3;Tnfrsf9;Egr1;Batf;Dusp1;Atf3;Bcl10;Dusp2;Tnf;Junb
HSR_core,KO_heat,47,2.06549851,2.25872387e-5,3.3880858e-5,18,Hsph1;Hspa4l;Dnaja3;Hspa1b;Bag3;St13;Hspa1a;Fkbp4;Dnaja1;Hsf1;Hspa13;Hsp90aa1;Ptges3;Chordc1;Bag5;Hspb1;Htra2;Hspa9
HSR_sensitivity,KO_heat,148,1.86535716,3.11820217e-6,9.35460651e-6,48,Hsph1;Hspa4l;Dnaja3;Hspa1b;Bag3;St13;Ano1;Hspa1a;Fkbp4;Dnaja1;Aaas;Hsf1;Hspa13;Il1a;Nup54;Nup35;Hsp90aa1;Nup50;Ptges3;Nup37;Chordc1;Ranbp2;Bag5;Thbs1;Eif2s1;Ndc1;Eef1a1;Hspa5;Hspb1;Htra2;Hdac2;Nf1;Hspa9;Nup98;Pom121;Hmox1;Mapk3;Dnajb1;Hspa4;Ywhae;Rps19bp1;Rpa3;Casq1;Camk2g;Ep300;Pdcd6;Mapkapk2;Bag2
TCR_activation,KO_heat,66,1.60261123,0.00518335845,0.00518335845,26,Lta;Ier3;Lcp2;Il2;Nr4a2;Tnfrsf4;Nfatc1;Nr4a3;Nr4a1;Dusp5;Itk;Odc1;Rel;Cd40lg;Egr2;Cd83;Jund;Tnfrsf9;Egr3;Egr1;Batf;Dusp1;Atf3;Dusp2;Tnf;Junb
