set,gene,rank,rank_pct,t,logFC,adj.P.Val,n_in_ranking,median_rank,median_rank_pct,median_t,set_label,gate_pass_n,gate_span_n,gate_min_rank,gate_max_rank,gate_min_rank_pct,gate_max_rank_pct,gate_deepest_gene,gate_deepest_t,gate_deepest_logFC,gate_inner_pass_n,gate_inner_total_n,ranking_total_n
WT_heat_up,Gja5,1,0.00508155902,29.281472,1.80414773,4.3442333e-19,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
WT_heat_up,Il1rn,3,0.0152446771,25.3819625,1.88807746,3.85019562e-15,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
WT_heat_up,Timp1,4,0.0203262361,24.92499,2.13418596,1.0585101399999999e-17,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
WT_heat_up,Sdc1,5,0.0254077951,22.8929997,1.4931637,9.26684149e-17,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
WT_heat_up,Hsph1,6,0.0304893541,22.7729697,1.02384685,4.98867215e-16,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
WT_heat_up,Fam83g,8,0.0406524722,20.740017,1.62350864,1.64888161e-14,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
WT_heat_up,Gap43,10,0.0508155902,20.3581775,1.89427402,1.0499846e-11,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
WT_heat_up,Plek2,12,0.0609787083,19.4931247,1.85237508,2.3655634600000003e-15,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
WT_heat_up,C3,13,0.0660602673,19.1710302,1.66690396,8.856862690000001e-15,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
WT_heat_up,Plek,14,0.0711418263,19.1630411,1.15530703,4.7024711e-13,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
WT_heat_up,Crabp2,15,0.0762233853,18.7732146,1.54090383,1.94514729e-12,213,282,1.42799065,10.7986447,WT_heat_up (gate output; n=213),213,2010,1,2010,0.00508155902,10.2139336,Cpne6,4.54525268,1.02987703,213,2010,19679
