gene,in_HSR_core,in_TCR_activation,in_HSR_sensitivity,attribution,hsr_category,wt_heat_t
Adora2a,FALSE,FALSE,FALSE,neither,,16.0540334
B3gnt5,FALSE,FALSE,FALSE,neither,,15.9705185
Ptpn5,FALSE,FALSE,FALSE,neither,,15.9470768
Upp1,FALSE,FALSE,FALSE,neither,,15.6588216
Spp1,FALSE,FALSE,FALSE,neither,,15.3649512
Plk2,FALSE,FALSE,FALSE,neither,,15.2155896
Gm9745,FALSE,FALSE,FALSE,neither,,15.186698
Tanc2,FALSE,FALSE,FALSE,neither,,14.8990566
Ptger2,FALSE,FALSE,FALSE,neither,,14.8694943
Dennd3,FALSE,FALSE,FALSE,neither,,14.8657713
Pik3ap1,FALSE,FALSE,FALSE,neither,,14.780039
Neb,FALSE,FALSE,FALSE,neither,,14.7476381
Rab34,FALSE,FALSE,FALSE,neither,,14.7360871
Procr,FALSE,FALSE,FALSE,neither,,14.7160881
Trpm6,FALSE,FALSE,FALSE,neither,,14.3216046
Aldh1a2,FALSE,FALSE,FALSE,neither,,14.0785744
1110002J07Rik,FALSE,FALSE,FALSE,neither,,14.0770766
Fosl2,FALSE,FALSE,FALSE,neither,,14.0408527
Tmeff2,FALSE,FALSE,FALSE,neither,,13.9834276
Cd200,FALSE,FALSE,FALSE,neither,,13.9359196
Gatm,FALSE,FALSE,FALSE,neither,,13.8392858
Slc41a1,FALSE,FALSE,FALSE,neither,,13.8141578
A530013C23Rik,FALSE,FALSE,FALSE,neither,,13.809578
Ehd2,FALSE,FALSE,FALSE,neither,,13.7916964
Tnfsf11,FALSE,FALSE,FALSE,neither,,13.7344989
Epha2,FALSE,FALSE,FALSE,neither,,13.7154285
Srxn1,FALSE,FALSE,FALSE,neither,,13.7020738
Ebf1,FALSE,FALSE,FALSE,neither,,13.6777252
Irf6,FALSE,FALSE,FALSE,neither,,13.6765722
Zbtb32,FALSE,FALSE,FALSE,neither,,13.4662279
Asb2,FALSE,FALSE,FALSE,neither,,13.3971845
Olr1,FALSE,FALSE,FALSE,neither,,13.3842766
Igkc,FALSE,FALSE,FALSE,neither,,13.3537268
Fasl,FALSE,FALSE,FALSE,neither,,13.3110141
Actbl2,FALSE,FALSE,FALSE,neither,,13.2609115
Adora2b,FALSE,FALSE,FALSE,neither,,13.2383987
Gfpt2,FALSE,FALSE,FALSE,neither,,13.2340285
Cystm1,FALSE,FALSE,FALSE,neither,,13.2335708
Ildr1,FALSE,FALSE,FALSE,neither,,13.1943965
Scn9a,FALSE,FALSE,FALSE,neither,,13.1902498
Npr3,FALSE,FALSE,FALSE,neither,,13.0782559
Gm44851,FALSE,FALSE,FALSE,neither,,13.0584277
Syt15,FALSE,FALSE,FALSE,neither,,12.6987225
Tex15,FALSE,FALSE,FALSE,neither,,12.6596265
Fam160a1,FALSE,FALSE,FALSE,neither,,12.6119931
Plxnb2,FALSE,FALSE,FALSE,neither,,12.5706999
Bcam,FALSE,FALSE,FALSE,neither,,12.4965507
Pak1,FALSE,FALSE,FALSE,neither,,12.3992924
Nab2,FALSE,FALSE,FALSE,neither,,12.394841
Cdkn1a,FALSE,FALSE,FALSE,neither,,12.3278744
Pxdc1,FALSE,FALSE,FALSE,neither,,12.3171378
Cd80,FALSE,FALSE,FALSE,neither,,12.2276356
Pla1a,FALSE,FALSE,FALSE,neither,,12.1592977
Sphk1,FALSE,FALSE,FALSE,neither,,12.1468456
Dmwd,FALSE,FALSE,FALSE,neither,,12.0336728
Epn2,FALSE,FALSE,FALSE,neither,,11.9730513
Dagla,FALSE,FALSE,FALSE,neither,,11.9402849
Gm36070,FALSE,FALSE,FALSE,neither,,11.9316213
Batf3,FALSE,FALSE,FALSE,neither,,11.6717265
Slc13a3,FALSE,FALSE,FALSE,neither,,11.6532826
Inhba,FALSE,FALSE,FALSE,neither,,11.5059619
Gprc5a,FALSE,FALSE,FALSE,neither,,11.4846811
Tnfsf14,FALSE,FALSE,FALSE,neither,,11.452361
Pla2g4c,FALSE,FALSE,FALSE,neither,,11.4126183
Gprin2,FALSE,FALSE,FALSE,neither,,11.3983554
Il9,FALSE,FALSE,FALSE,neither,,11.3668218
Tnfrsf11b,FALSE,FALSE,FALSE,neither,,11.316083
Oaf,FALSE,FALSE,FALSE,neither,,11.2743848
Ccl22,FALSE,FALSE,FALSE,neither,,11.257838
Egfr,FALSE,FALSE,FALSE,neither,,11.2511947
Sh3pxd2b,FALSE,FALSE,FALSE,neither,,11.2436676
Serpine1,FALSE,FALSE,FALSE,neither,,11.2113044
Gdf6,FALSE,FALSE,FALSE,neither,,11.1461846
Dab2,FALSE,FALSE,FALSE,neither,,11.0748139
Ccl4,FALSE,FALSE,FALSE,neither,,11.0280306
Cd70,FALSE,FALSE,FALSE,neither,,10.9231447
F3,FALSE,FALSE,FALSE,neither,,10.8903537
Adam8,FALSE,FALSE,FALSE,neither,,10.8421089
Grp,FALSE,FALSE,FALSE,neither,,10.8410735
Uap1,FALSE,FALSE,FALSE,neither,,10.8131867
Mocos,FALSE,FALSE,FALSE,neither,,10.7735066
Igf2bp2,FALSE,FALSE,FALSE,neither,,10.7630943
Tgm1,FALSE,FALSE,FALSE,neither,,10.5601428
Ankrd33b,FALSE,FALSE,FALSE,neither,,10.5538715
Il23a,FALSE,FALSE,FALSE,neither,,10.5401966
Nppc,FALSE,FALSE,FALSE,neither,,10.471255
