component,n_mouse,glyph,wt_heat_up_n,hsr_core_n,tcr_activation_n,human_wt_heatup_n,human_hsr_n,human_wt_hsr_intersect,human_overlap_source,hsr_core_tcr_activation_intersect,conditional_delta_nes_HSR_core,conditional_delta_nes_TCR_activation,conditional_nes_uncond_HSR_core,conditional_nes_cond_HSR_core,conditional_nes_uncond_TCR_activation,conditional_nes_cond_TCR_activation
WT_heat_up only,198,region,213,47,66,199,56,2,/workspaces/STING-JR/human_treg_arthritis/03_results/10_hsr_lens/tables/hsr_wtheatup_overlap.csv,0,0.00496374769,0.00498220668,2.04905631,2.05402006,1.71988216,1.72486437
WT_heat_up ∩ HSR_core,3,overlap,213,47,66,199,56,2,/workspaces/STING-JR/human_treg_arthritis/03_results/10_hsr_lens/tables/hsr_wtheatup_overlap.csv,0,0.00496374769,0.00498220668,2.04905631,2.05402006,1.71988216,1.72486437
WT_heat_up ∩ TCR_activation,12,overlap,213,47,66,199,56,2,/workspaces/STING-JR/human_treg_arthritis/03_results/10_hsr_lens/tables/hsr_wtheatup_overlap.csv,0,0.00496374769,0.00498220668,2.04905631,2.05402006,1.71988216,1.72486437
HSR_core only,44,region,213,47,66,199,56,2,/workspaces/STING-JR/human_treg_arthritis/03_results/10_hsr_lens/tables/hsr_wtheatup_overlap.csv,0,0.00496374769,0.00498220668,2.04905631,2.05402006,1.71988216,1.72486437
TCR_activation only,54,region,213,47,66,199,56,2,/workspaces/STING-JR/human_treg_arthritis/03_results/10_hsr_lens/tables/hsr_wtheatup_overlap.csv,0,0.00496374769,0.00498220668,2.04905631,2.05402006,1.71988216,1.72486437
HSR_core ∩ TCR_activation,0,empty_lens_overlap,213,47,66,199,56,2,/workspaces/STING-JR/human_treg_arthritis/03_results/10_hsr_lens/tables/hsr_wtheatup_overlap.csv,0,0.00496374769,0.00498220668,2.04905631,2.05402006,1.71988216,1.72486437
shared by all three,0,empty_triple,213,47,66,199,56,2,/workspaces/STING-JR/human_treg_arthritis/03_results/10_hsr_lens/tables/hsr_wtheatup_overlap.csv,0,0.00496374769,0.00498220668,2.04905631,2.05402006,1.71988216,1.72486437
