pathway_id,pathway_name,database,nes_WT_heat,padj_WT_heat,nes_KO_heat,padj_KO_heat,nes_interaction,padj_interaction,sig_interaction,pattern,nes_temp_main,nes_geno_main
GOBP_REGULATION_OF_NUCLEAR_DIVISION,Regulation of Nuclear Division,GO_BP,1.72232061,0.0110444877,1.55523421,0.0500028429,0.761149647,0.999948662,False,shared_heat,1.68525887,0.729029602
GOBP_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT,Regulation of Nucleocytoplasmic Transport,GO_BP,1.98826123,0.000965756093,1.85005561,0.00748758273,1.16677734,0.690148464,False,shared_heat,1.84674084,1.90812133
GOBP_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS,Regulation of Nucleotide Metabolic Process,GO_BP,0.883899312,0.701214038,1.03074048,0.512872077,0.700526083,0.999948662,False,shared_heat,1.03702433,-1.10320061
GOBP_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION,Regulation of Oligodendrocyte Differentiation,GO_BP,1.20709999,0.354515085,1.05633672,0.501121358,1.01334288,0.852313896,False,shared_heat,1.12502995,1.46470403
GOBP_REGULATION_OF_ORGANELLE_ASSEMBLY,Regulation of Organelle Assembly,GO_BP,1.21977442,0.24990267,1.17216965,0.328029717,0.90251712,0.950156705,False,shared_heat,1.16867315,1.58015975
GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION,Regulation of Organelle Organization,GO_BP,1.5262916,0.000650917551,1.47725624,0.001583818,-0.81600378,0.999948662,False,shared_heat,1.52235618,1.24941049
GOBP_REGULATION_OF_ORGANIC_ACID_TRANSPORT,Regulation of Organic Acid Transport,GO_BP,1.58354082,0.065077146,1.53299637,0.100761387,0.829422318,0.969619341,False,shared_heat,1.54863081,0.920056918
GOBP_REGULATION_OF_ORGAN_GROWTH,Regulation of Organ Growth,GO_BP,1.4590476,0.117118043,1.33443489,0.226084798,1.21602959,0.653425753,False,shared_heat,1.34846212,1.04060463
GOBP_REGULATION_OF_OSSIFICATION,Regulation of Ossification,GO_BP,1.74214034,0.0133463343,1.46445628,0.107795619,1.41870236,0.390979862,False,shared_heat,1.60444467,1.75061544
GOBP_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION,Regulation of Osteoblast Differentiation,GO_BP,1.23683515,0.254703658,1.16077328,0.359204,0.885560246,0.950156705,False,shared_heat,1.12158105,-0.8915189
