"gene_symbol","ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","contrast"
"Gja5","ENSMUSG00000057123.14",1.80414773,4.75423573,29.281472,2.20754779e-23,4.3442333e-19,"WT_heat"
"Rbm3","ENSMUSG00000031167.16",-1.03997782,7.17539717,-26.1170021,5.73471724e-22,5.64267503e-18,"WT_heat"
"Galm","ENSMUSG00000035473.10",0.997866928,5.36387702,25.5153568,1.10988287e-21,7.28046164e-18,"WT_heat"
"Timp1","ENSMUSG00000001131.11",2.13418596,2.66864123,24.92499,2.15155269e-21,1.05851014e-17,"WT_heat"
"Sdc1","ENSMUSG00000020592.14",1.4931637,3.40988543,22.8929997,2.3545001e-20,9.26684149e-17,"WT_heat"
"Sgk3","ENSMUSG00000025915.14",-1.026559,4.54435272,-22.6179856,3.3027458e-20,1.08324558e-16,"WT_heat"
"Rbm3-ps","ENSMUSG00000099875.1",-1.20290953,6.82378532,-24.5816906,9.07489219e-20,2.23231004e-16,"WT_heat"
"Cirbp","ENSMUSG00000045193.13",-1.01286549,5.87533316,-21.9154955,7.97412005e-20,2.23231004e-16,"WT_heat"
"Hsph1","ENSMUSG00000029657.15",1.02384685,7.38336961,22.7729697,2.3722378e-19,4.98867215e-16,"WT_heat"
"Serpinb6a","ENSMUSG00000060147.15",0.826664257,6.42971479,21.0231199,2.5350232e-19,4.98867215e-16,"WT_heat"
"Gm10156","ENSMUSG00000066245.5",-1.20429441,4.97639496,-20.8942469,3.00655277e-19,5.3787229e-16,"WT_heat"
"Slco4a1","ENSMUSG00000038963.15",0.886618211,5.22422456,20.5245981,4.92967259e-19,8.08425224e-16,"WT_heat"
"Cd40","ENSMUSG00000017652.16",-1.22701958,4.48298757,-19.8884776,1.1759855e-18,1.69027825e-15,"WT_heat"
"Gramd1b","ENSMUSG00000040111.17",0.820935772,6.71334162,19.8723952,1.20249482e-18,1.69027825e-15,"WT_heat"
"Rhob","ENSMUSG00000054364.5",-1.09364198,4.26596589,-19.7420287,1.44149098e-18,1.89114007e-15,"WT_heat"
"Pde1b","ENSMUSG00000022489.6",-0.987740111,4.3741631,-19.5985615,1.76186592e-18,2.16698497e-15,"WT_heat"
"Plek2","ENSMUSG00000021118.7",1.85237508,1.77815404,19.4931247,2.04352756e-18,2.36556346e-15,"WT_heat"
"Il1rn","ENSMUSG00000026981.15",1.88807746,5.03962297,25.3819625,3.52169934e-18,3.85019562e-15,"WT_heat"
