"library_id","inferred_group","thermo_score","cgas_value","predicted_temp","predicted_genotype","concordant","notes"
"12630-RS-021","WT_37",3.866,3.632,"37","WT",TRUE,""
"12630-RS-022","WT_37",3.838,3.586,"37","WT",TRUE,""
"12630-RS-023","WT_37",3.824,3.615,"37","WT",TRUE,""
"12630-RS-024","WT_37",4.062,3.65,"37","WT",TRUE,""
"12630-RS-025","WT_37",3.647,3.554,"37","WT",TRUE,""
"12630-RS-026","cGASKO_37",3.665,2.534,"37","cGASKO",TRUE,""
"12630-RS-027","cGASKO_37",3.593,2.595,"37","cGASKO",TRUE,""
"12630-RS-028","cGASKO_37",3.735,2.66,"37","cGASKO",TRUE,""
"12630-RS-029","cGASKO_37",3.974,2.581,"37","cGASKO",TRUE,""
"12630-RS-030","cGASKO_37",3.702,2.555,"37","cGASKO",TRUE,""
"12630-RS-031","WT_39",4.977,4.007,"39","WT",TRUE,""
"12630-RS-032","WT_39",4.793,4.018,"39","WT",TRUE,""
"12630-RS-033","WT_39",5.066,4.085,"39","WT",TRUE,""
"12630-RS-034","WT_39",5.036,4.211,"39","WT",TRUE,""
"12630-RS-035","WT_39",4.931,4.172,"39","WT",TRUE,""
"12630-RS-036","cGASKO_39",4.936,2.748,"39","cGASKO",TRUE,""
"12630-RS-037","cGASKO_39",4.716,2.839,"39","cGASKO",TRUE,""
"12630-RS-038","cGASKO_39",4.876,3.026,"39","cGASKO",TRUE,""
"12630-RS-039","cGASKO_39",4.829,2.923,"39","cGASKO",TRUE,""
"12630-RS-040","cGASKO_39",4.966,2.778,"39","cGASKO",TRUE,""
