"library_id","lib","inferred_condition","naive_positional_condition","discordant","thermo_score"
"12630-RS-021","021","WT_37","WT_37",FALSE,3.86635530895689
"12630-RS-022","022","WT_37","WT_37",FALSE,3.83786004361809
"12630-RS-023","023","WT_37","WT_37",FALSE,3.82382145659029
"12630-RS-024","024","WT_37","WT_37",FALSE,4.06239157117313
"12630-RS-025","025","WT_37","WT_37",FALSE,3.64656495943768
"12630-RS-026","026","cGASKO_37","WT_39",TRUE,3.66515264782631
"12630-RS-027","027","cGASKO_37","WT_39",TRUE,3.59300443091903
"12630-RS-028","028","cGASKO_37","WT_39",TRUE,3.73495803011008
"12630-RS-029","029","cGASKO_37","WT_39",TRUE,3.97424792467365
"12630-RS-030","030","cGASKO_37","WT_39",TRUE,3.7024904484533
"12630-RS-031","031","WT_39","cGASKO_37",TRUE,4.97661126706497
"12630-RS-032","032","WT_39","cGASKO_37",TRUE,4.79284804271139
"12630-RS-033","033","WT_39","cGASKO_37",TRUE,5.06649549013401
"12630-RS-034","034","WT_39","cGASKO_37",TRUE,5.0361607240727
"12630-RS-035","035","WT_39","cGASKO_37",TRUE,4.93139851412566
"12630-RS-036","036","cGASKO_39","cGASKO_39",FALSE,4.93559262056832
"12630-RS-037","037","cGASKO_39","cGASKO_39",FALSE,4.7162283621816
"12630-RS-038","038","cGASKO_39","cGASKO_39",FALSE,4.87582160695546
"12630-RS-039","039","cGASKO_39","cGASKO_39",FALSE,4.82882708169146
"12630-RS-040","040","cGASKO_39","cGASKO_39",FALSE,4.96618025054674
