"library_id","lib","marker","value","inferred_temp","inferred_group"
"12630-RS-036","036","Dnajb1",6.32674986755289,"39","cGASKO_39"
"12630-RS-037","037","Hspa1b",2.78974607061918,"39","cGASKO_39"
"12630-RS-037","037","Hsph1",7.84378402423163,"39","cGASKO_39"
"12630-RS-037","037","Hspa1a",1.92918742205675,"39","cGASKO_39"
"12630-RS-037","037","Dnajb1",6.30219593181885,"39","cGASKO_39"
"12630-RS-038","038","Hspa1b",3.07134269263659,"39","cGASKO_39"
"12630-RS-038","038","Hsph1",7.90575299093397,"39","cGASKO_39"
"12630-RS-038","038","Hspa1a",2.19279420730147,"39","cGASKO_39"
"12630-RS-038","038","Dnajb1",6.33339653694983,"39","cGASKO_39"
"12630-RS-039","039","Hspa1b",2.89821252693255,"39","cGASKO_39"
"12630-RS-039","039","Hsph1",7.94228794396327,"39","cGASKO_39"
"12630-RS-039","039","Hspa1a",2.14496059219785,"39","cGASKO_39"
"12630-RS-039","039","Dnajb1",6.32984726367215,"39","cGASKO_39"
"12630-RS-040","040","Hspa1b",3.25279370880631,"39","cGASKO_39"
"12630-RS-040","040","Hsph1",8.03104541370127,"39","cGASKO_39"
"12630-RS-040","040","Hspa1a",2.20703599143269,"39","cGASKO_39"
"12630-RS-040","040","Dnajb1",6.37384588824668,"39","cGASKO_39"
