"library_id","lib","marker","value","inferred_temp","inferred_group"
"12630-RS-021","021","Hspa1b",1.37231309206099,"37","WT_37"
"12630-RS-021","021","Hsph1",6.94253771260305,"37","WT_37"
"12630-RS-021","021","Hspa1a",0.98601473882385,"37","WT_37"
"12630-RS-021","021","Dnajb1",6.16455569233968,"37","WT_37"
"12630-RS-022","022","Hspa1b",1.42518026238655,"37","WT_37"
"12630-RS-022","022","Hsph1",6.90328956020588,"37","WT_37"
"12630-RS-022","022","Hspa1a",0.861204679311534,"37","WT_37"
"12630-RS-022","022","Dnajb1",6.16176567256837,"37","WT_37"
"12630-RS-023","023","Hspa1b",1.11258921675962,"37","WT_37"
"12630-RS-023","023","Hsph1",6.95143843453174,"37","WT_37"
"12630-RS-023","023","Hspa1a",0.968930124254382,"37","WT_37"
"12630-RS-023","023","Dnajb1",6.2623280508154,"37","WT_37"
"12630-RS-024","024","Hspa1b",1.85765625508952,"37","WT_37"
"12630-RS-024","024","Hsph1",7.01231813767854,"37","WT_37"
"12630-RS-024","024","Hspa1a",1.05941990807583,"37","WT_37"
"12630-RS-024","024","Dnajb1",6.32017198384861,"37","WT_37"
"12630-RS-025","025","Hspa1b",1.2155658551361,"37","WT_37"
"12630-RS-025","025","Hsph1",6.71699750171368,"37","WT_37"
"12630-RS-025","025","Hspa1a",0.614291866971097,"37","WT_37"
"12630-RS-025","025","Dnajb1",6.03940461392984,"37","WT_37"
"12630-RS-026","026","Hspa1b",1.16361849032239,"37","cGASKO_37"
"12630-RS-026","026","Hsph1",6.80390747844078,"37","cGASKO_37"
"12630-RS-026","026","Hspa1a",0.466438365859465,"37","cGASKO_37"
"12630-RS-026","026","Dnajb1",6.22664625668261,"37","cGASKO_37"
"12630-RS-027","027","Hspa1b",0.943223262267747,"37","cGASKO_37"
"12630-RS-027","027","Hsph1",6.7818257035153,"37","cGASKO_37"
"12630-RS-027","027","Hspa1a",0.468711192244926,"37","cGASKO_37"
"12630-RS-027","027","Dnajb1",6.17825756564814,"37","cGASKO_37"
"12630-RS-028","028","Hspa1b",1.31893472629096,"37","cGASKO_37"
"12630-RS-028","028","Hsph1",6.81452166412103,"37","cGASKO_37"
"12630-RS-028","028","Hspa1a",0.62648610120529,"37","cGASKO_37"
"12630-RS-028","028","Dnajb1",6.17988962882304,"37","cGASKO_37"
"12630-RS-029","029","Hspa1b",1.67421380303909,"37","cGASKO_37"
"12630-RS-029","029","Hsph1",6.77102210719477,"37","cGASKO_37"
"12630-RS-029","029","Hspa1a",1.27004260431399,"37","cGASKO_37"
"12630-RS-029","029","Dnajb1",6.18171318414674,"37","cGASKO_37"
"12630-RS-030","030","Hspa1b",1.37482943642489,"37","cGASKO_37"
"12630-RS-030","030","Hsph1",6.75915185013444,"37","cGASKO_37"
"12630-RS-030","030","Hspa1a",0.618866813923705,"37","cGASKO_37"
"12630-RS-030","030","Dnajb1",6.05711369333018,"37","cGASKO_37"
"12630-RS-031","031","Hspa1b",3.33564940208879,"39","WT_39"
"12630-RS-031","031","Hsph1",7.86903231695044,"39","WT_39"
"12630-RS-031","031","Hspa1a",2.32156235130634,"39","WT_39"
"12630-RS-031","031","Dnajb1",6.38020099791431,"39","WT_39"
"12630-RS-032","032","Hspa1b",2.96903938405019,"39","WT_39"
"12630-RS-032","032","Hsph1",7.8552994920916,"39","WT_39"
"12630-RS-032","032","Hspa1a",1.99838144101926,"39","WT_39"
"12630-RS-032","032","Dnajb1",6.34867185368449,"39","WT_39"
"12630-RS-033","033","Hspa1b",3.39878131796012,"39","WT_39"
"12630-RS-033","033","Hsph1",7.91732079500862,"39","WT_39"
"12630-RS-033","033","Hspa1a",2.5626435137718,"39","WT_39"
"12630-RS-033","033","Dnajb1",6.3872363337955,"39","WT_39"
"12630-RS-034","034","Hspa1b",3.47372670673309,"39","WT_39"
"12630-RS-034","034","Hsph1",7.93395307648884,"39","WT_39"
"12630-RS-034","034","Hspa1a",2.46023804623864,"39","WT_39"
"12630-RS-034","034","Dnajb1",6.27672506683022,"39","WT_39"
"12630-RS-035","035","Hspa1b",3.15829013962432,"39","WT_39"
"12630-RS-035","035","Hsph1",8.07020992501561,"39","WT_39"
"12630-RS-035","035","Hspa1a",2.17131131812555,"39","WT_39"
"12630-RS-035","035","Dnajb1",6.32578267373717,"39","WT_39"
"12630-RS-036","036","Hspa1b",3.28786598366763,"39","cGASKO_39"
"12630-RS-036","036","Hsph1",7.84169600922657,"39","cGASKO_39"
"12630-RS-036","036","Hspa1a",2.28605862182618,"39","cGASKO_39"
