"gene","tf","in_regulon","gene_heat_t","tf_heatmain_score","gene_contrib"
"Eno2","Jun",0,14.8123491,6.06145105,11.0047832
"Rora","Jun",0,15.3902312,6.06145105,10.9548796
"Timp1","Myc",0,34.9667956,1.82785323,24.92499
"Sdc1","Myc",0,31.8805472,1.82785323,22.8929997
"Itga5","Myc",0,25.6423661,1.82785323,18.4582531
"Glb1","Myc",1,23.1779999,1.82785323,17.3885345
"Lgals3","Myc",0,24.5416628,1.82785323,16.8033147
"Bcl2l1","Myc",1,21.9815052,1.82785323,16.0796093
"Spp1","Myc",1,21.5604773,1.82785323,15.3649512
"Bcr","Myc",1,18.0259596,1.82785323,13.575037
"Adora2b","Myc",0,18.3350333,1.82785323,13.2383987
"Ar","Myc",1,19.9423457,1.82785323,13.1463934
"Cd44","Myc",1,16.9222666,1.82785323,12.5050003
"Pcx","Myc",0,17.7163281,1.82785323,12.5002699
"Pak1","Myc",0,16.2427678,1.82785323,12.3992924
"Cdkn1a","Myc",1,18.2908659,1.82785323,12.3278744
"Sphk1","Myc",0,17.3319052,1.82785323,12.1468456
"Furin","Myc",0,15.6114066,1.82785323,11.6903423
"Serpine1","Myc",1,17.2744473,1.82785323,11.2113044
"Ccl4","Myc",0,15.324919,1.82785323,11.0280306
"Eno2","Myc",0,14.8123491,1.82785323,11.0047832
"Rora","Myc",0,15.3902312,1.82785323,10.9548796
"Timp1","Rela",1,34.9667956,5.24945295,24.92499
"Sdc1","Rela",1,31.8805472,5.24945295,22.8929997
"Itga5","Rela",0,25.6423661,5.24945295,18.4582531
"Glb1","Rela",0,23.1779999,5.24945295,17.3885345
"Lgals3","Rela",0,24.5416628,5.24945295,16.8033147
"Bcl2l1","Rela",1,21.9815052,5.24945295,16.0796093
"Spp1","Rela",0,21.5604773,5.24945295,15.3649512
"Bcr","Rela",1,18.0259596,5.24945295,13.575037
"Adora2b","Rela",0,18.3350333,5.24945295,13.2383987
"Ar","Rela",1,19.9423457,5.24945295,13.1463934
"Cd44","Rela",1,16.9222666,5.24945295,12.5050003
"Pcx","Rela",0,17.7163281,5.24945295,12.5002699
"Pak1","Rela",0,16.2427678,5.24945295,12.3992924
"Cdkn1a","Rela",1,18.2908659,5.24945295,12.3278744
"Sphk1","Rela",0,17.3319052,5.24945295,12.1468456
"Furin","Rela",0,15.6114066,5.24945295,11.6903423
"Serpine1","Rela",1,17.2744473,5.24945295,11.2113044
"Ccl4","Rela",1,15.324919,5.24945295,11.0280306
"Eno2","Rela",0,14.8123491,5.24945295,11.0047832
"Rora","Rela",0,15.3902312,5.24945295,10.9548796
"Timp1","Ap1",1,34.9667956,4.04581644,24.92499
"Sdc1","Ap1",0,31.8805472,4.04581644,22.8929997
"Itga5","Ap1",1,25.6423661,4.04581644,18.4582531
"Glb1","Ap1",0,23.1779999,4.04581644,17.3885345
"Lgals3","Ap1",0,24.5416628,4.04581644,16.8033147
"Bcl2l1","Ap1",1,21.9815052,4.04581644,16.0796093
"Spp1","Ap1",1,21.5604773,4.04581644,15.3649512
"Bcr","Ap1",0,18.0259596,4.04581644,13.575037
"Adora2b","Ap1",0,18.3350333,4.04581644,13.2383987
"Ar","Ap1",1,19.9423457,4.04581644,13.1463934
"Cd44","Ap1",1,16.9222666,4.04581644,12.5050003
"Pcx","Ap1",1,17.7163281,4.04581644,12.5002699
"Pak1","Ap1",0,16.2427678,4.04581644,12.3992924
"Cdkn1a","Ap1",1,18.2908659,4.04581644,12.3278744
"Sphk1","Ap1",1,17.3319052,4.04581644,12.1468456
"Furin","Ap1",0,15.6114066,4.04581644,11.6903423
"Serpine1","Ap1",1,17.2744473,4.04581644,11.2113044
"Ccl4","Ap1",1,15.324919,4.04581644,11.0280306
"Eno2","Ap1",0,14.8123491,4.04581644,11.0047832
"Rora","Ap1",0,15.3902312,4.04581644,10.9548796
"Timp1","Esr1",0,34.9667956,1.60431472,24.92499
"Sdc1","Esr1",0,31.8805472,1.60431472,22.8929997
"Itga5","Esr1",0,25.6423661,1.60431472,18.4582531
"Glb1","Esr1",1,23.1779999,1.60431472,17.3885345
"Lgals3","Esr1",0,24.5416628,1.60431472,16.8033147
"Bcl2l1","Esr1",1,21.9815052,1.60431472,16.0796093
"Spp1","Esr1",1,21.5604773,1.60431472,15.3649512
"Bcr","Esr1",0,18.0259596,1.60431472,13.575037
"Adora2b","Esr1",0,18.3350333,1.60431472,13.2383987
"Ar","Esr1",1,19.9423457,1.60431472,13.1463934
"Cd44","Esr1",1,16.9222666,1.60431472,12.5050003
"Pcx","Esr1",1,17.7163281,1.60431472,12.5002699
"Pak1","Esr1",0,16.2427678,1.60431472,12.3992924
"Cdkn1a","Esr1",1,18.2908659,1.60431472,12.3278744
"Sphk1","Esr1",0,17.3319052,1.60431472,12.1468456
"Furin","Esr1",0,15.6114066,1.60431472,11.6903423
"Serpine1","Esr1",1,17.2744473,1.60431472,11.2113044
"Ccl4","Esr1",0,15.324919,1.60431472,11.0280306
"Eno2","Esr1",0,14.8123491,1.60431472,11.0047832
"Rora","Esr1",1,15.3902312,1.60431472,10.9548796
"Timp1","Stat3",1,34.9667956,4.22317985,24.92499
"Sdc1","Stat3",0,31.8805472,4.22317985,22.8929997
"Itga5","Stat3",0,25.6423661,4.22317985,18.4582531
"Glb1","Stat3",0,23.1779999,4.22317985,17.3885345
"Lgals3","Stat3",0,24.5416628,4.22317985,16.8033147
"Bcl2l1","Stat3",1,21.9815052,4.22317985,16.0796093
"Spp1","Stat3",0,21.5604773,4.22317985,15.3649512
"Bcr","Stat3",0,18.0259596,4.22317985,13.575037
"Adora2b","Stat3",0,18.3350333,4.22317985,13.2383987
"Ar","Stat3",1,19.9423457,4.22317985,13.1463934
"Cd44","Stat3",0,16.9222666,4.22317985,12.5050003
"Pcx","Stat3",0,17.7163281,4.22317985,12.5002699
"Pak1","Stat3",0,16.2427678,4.22317985,12.3992924
"Cdkn1a","Stat3",1,18.2908659,4.22317985,12.3278744
"Sphk1","Stat3",0,17.3319052,4.22317985,12.1468456
"Furin","Stat3",0,15.6114066,4.22317985,11.6903423
"Serpine1","Stat3",0,17.2744473,4.22317985,11.2113044
"Ccl4","Stat3",0,15.324919,4.22317985,11.0280306
"Eno2","Stat3",1,14.8123491,4.22317985,11.0047832
"Rora","Stat3",0,15.3902312,4.22317985,10.9548796
"Timp1","Egr1",1,34.9667956,5.54191188,24.92499
"Sdc1","Egr1",0,31.8805472,5.54191188,22.8929997
"Itga5","Egr1",0,25.6423661,5.54191188,18.4582531
"Glb1","Egr1",1,23.1779999,5.54191188,17.3885345
"Lgals3","Egr1",0,24.5416628,5.54191188,16.8033147
"Bcl2l1","Egr1",0,21.9815052,5.54191188,16.0796093
"Spp1","Egr1",1,21.5604773,5.54191188,15.3649512
"Bcr","Egr1",1,18.0259596,5.54191188,13.575037
"Adora2b","Egr1",0,18.3350333,5.54191188,13.2383987
"Ar","Egr1",1,19.9423457,5.54191188,13.1463934
"Cd44","Egr1",1,16.9222666,5.54191188,12.5050003
"Pcx","Egr1",0,17.7163281,5.54191188,12.5002699
"Pak1","Egr1",0,16.2427678,5.54191188,12.3992924
"Cdkn1a","Egr1",1,18.2908659,5.54191188,12.3278744
"Sphk1","Egr1",0,17.3319052,5.54191188,12.1468456
"Furin","Egr1",0,15.6114066,5.54191188,11.6903423
"Serpine1","Egr1",1,17.2744473,5.54191188,11.2113044
"Ccl4","Egr1",1,15.324919,5.54191188,11.0280306
"Eno2","Egr1",0,14.8123491,5.54191188,11.0047832
"Rora","Egr1",0,15.3902312,5.54191188,10.9548796
"Timp1","Nfkb1",1,34.9667956,5.12470586,24.92499
"Sdc1","Nfkb1",1,31.8805472,5.12470586,22.8929997
"Itga5","Nfkb1",0,25.6423661,5.12470586,18.4582531
"Glb1","Nfkb1",0,23.1779999,5.12470586,17.3885345
"Lgals3","Nfkb1",0,24.5416628,5.12470586,16.8033147
"Bcl2l1","Nfkb1",1,21.9815052,5.12470586,16.0796093
"Spp1","Nfkb1",0,21.5604773,5.12470586,15.3649512
"Bcr","Nfkb1",0,18.0259596,5.12470586,13.575037
"Adora2b","Nfkb1",0,18.3350333,5.12470586,13.2383987
"Ar","Nfkb1",1,19.9423457,5.12470586,13.1463934
"Cd44","Nfkb1",0,16.9222666,5.12470586,12.5050003
"Pcx","Nfkb1",0,17.7163281,5.12470586,12.5002699
"Pak1","Nfkb1",0,16.2427678,5.12470586,12.3992924
"Cdkn1a","Nfkb1",1,18.2908659,5.12470586,12.3278744
"Sphk1","Nfkb1",0,17.3319052,5.12470586,12.1468456
"Furin","Nfkb1",0,15.6114066,5.12470586,11.6903423
"Serpine1","Nfkb1",1,17.2744473,5.12470586,11.2113044
"Ccl4","Nfkb1",1,15.324919,5.12470586,11.0280306
"Eno2","Nfkb1",0,14.8123491,5.12470586,11.0047832
"Rora","Nfkb1",0,15.3902312,5.12470586,10.9548796
"Timp1","Ar",0,34.9667956,2.9498455,24.92499
"Sdc1","Ar",0,31.8805472,2.9498455,22.8929997
"Itga5","Ar",0,25.6423661,2.9498455,18.4582531
"Glb1","Ar",0,23.1779999,2.9498455,17.3885345
"Lgals3","Ar",0,24.5416628,2.9498455,16.8033147
"Bcl2l1","Ar",1,21.9815052,2.9498455,16.0796093
"Spp1","Ar",0,21.5604773,2.9498455,15.3649512
"Bcr","Ar",0,18.0259596,2.9498455,13.575037
"Adora2b","Ar",0,18.3350333,2.9498455,13.2383987
"Ar","Ar",1,19.9423457,2.9498455,13.1463934
"Cd44","Ar",0,16.9222666,2.9498455,12.5050003
"Pcx","Ar",1,17.7163281,2.9498455,12.5002699
"Pak1","Ar",0,16.2427678,2.9498455,12.3992924
"Cdkn1a","Ar",1,18.2908659,2.9498455,12.3278744
"Sphk1","Ar",0,17.3319052,2.9498455,12.1468456
"Furin","Ar",0,15.6114066,2.9498455,11.6903423
"Serpine1","Ar",1,17.2744473,2.9498455,11.2113044
"Ccl4","Ar",0,15.324919,2.9498455,11.0280306
"Eno2","Ar",1,14.8123491,2.9498455,11.0047832
"Rora","Ar",1,15.3902312,2.9498455,10.9548796
