"tf","target","aligned_contrib","is_stress_contaminant","member_class"
"Hif1a","Pik3ca",3.70872216,FALSE,"regulon member"
"Hif1a","Pfkfb3",3.60954975,FALSE,"regulon member"
"Hif1a","Tlr2",3.56005324,FALSE,"regulon member"
"Hif1a","Pparg",3.54900365,FALSE,"regulon member"
"Hif1a","Arnt2",3.38808737,FALSE,"regulon member"
"Hif1a","Il10",3.36953476,FALSE,"regulon member"
"Hif1a","Ddit4",3.25348972,FALSE,"regulon member"
"Hif1a","Mxi1",3.20675021,FALSE,"regulon member"
"Hif1a","Id2",3.1467808,FALSE,"regulon member"
"Hif1a","Cd151",3.09302543,FALSE,"regulon member"
"Hif1a","Rps6kb1",2.99457735,FALSE,"regulon member"
"Hif1a","Tert",2.94399146,FALSE,"regulon member"
"Hif1a","Mif",2.86604733,FALSE,"regulon member"
"Hif1a","Pgam1",2.80832446,FALSE,"regulon member"
"Hif1a","Tlr4",2.70083311,FALSE,"regulon member"
"Hif1a","Slc2a3",2.64641663,FALSE,"regulon member"
"Hif1a","Tff1",2.62020782,FALSE,"regulon member"
"Hif1a","Spry2",2.60186373,FALSE,"regulon member"
"Hif1a","Hmox1",2.5754022,FALSE,"regulon member"
"Hif1a","Brca1",2.53202254,FALSE,"regulon member"
"Hif1a","Kdm5b",2.48542568,FALSE,"regulon member"
"Hif1a","Flt1",2.47548349,FALSE,"regulon member"
"Hif1a","Epor",2.38617336,FALSE,"regulon member"
"Hif1a","Atrip",2.37998024,FALSE,"regulon member"
"Hif1a","Sdhb",2.18509695,FALSE,"regulon member"
"Hif1a","Esr1",2.16849078,FALSE,"regulon member"
"Hif1a","Aqp4",2.11098599,FALSE,"regulon member"
"Hif1a","Aqp1",2.0886532,FALSE,"regulon member"
"Hif1a","Psmc6",2.05918803,FALSE,"regulon member"
"Hif1a","Hey1",1.99920773,FALSE,"regulon member"
"Hif1a","Pmaip1",1.97332686,FALSE,"regulon member"
"Hif1a","Ptges",1.94541139,FALSE,"regulon member"
"Hif1a","Met",1.91219045,FALSE,"regulon member"
"Hif1a","Vegfb",1.89517802,FALSE,"regulon member"
"Hif1a","Gys1",1.89454558,FALSE,"regulon member"
"Hif1a","Egln1",1.85136711,FALSE,"regulon member"
"Hif1a","Hif1an",1.84811381,FALSE,"regulon member"
"Hif1a","Ccnd1",1.79983993,FALSE,"regulon member"
"Hif1a","Mmp9",1.77805523,FALSE,"regulon member"
"Hif1a","Vasp",1.70974464,FALSE,"regulon member"
"Hif1a","Vegfc",1.61748862,FALSE,"regulon member"
"Hif1a","Ddx3x",1.59394148,FALSE,"regulon member"
"Hif1a","Mdk",1.57300576,FALSE,"regulon member"
"Hif1a","Rpsa",1.54149802,FALSE,"regulon member"
"Hif1a","Gper1",1.49191646,FALSE,"regulon member"
"Hif1a","Gk",1.48639405,FALSE,"regulon member"
"Hif1a","Ppp1r3c",1.44430572,FALSE,"regulon member"
"Hif1a","Hipk2",1.39536033,FALSE,"regulon member"
"Hif1a","Carm1",1.39080762,FALSE,"regulon member"
"Hif1a","Ngb",1.33644149,FALSE,"regulon member"
"Hif1a","Kcnmb1",1.31901743,FALSE,"regulon member"
"Hif1a","Ghr",1.2579719,FALSE,"regulon member"
"Hif1a","Prkg1",1.22959468,FALSE,"regulon member"
"Hif1a","Slc11a1",1.22657115,FALSE,"regulon member"
"Hif1a","Cd164",1.21525236,FALSE,"regulon member"
"Hif1a","Ercc2",1.17146472,FALSE,"regulon member"
"Hif1a","Nbn",1.16171444,FALSE,"regulon member"
"Hif1a","Mt1",1.14722965,FALSE,"regulon member"
"Hif1a","Vhl",1.09279445,FALSE,"regulon member"
"Hif1a","Ccr7",1.07843889,FALSE,"regulon member"
"Hif1a","Kdm4c",0.997243157,FALSE,"regulon member"
"Hif1a","Mrc1",0.993199272,FALSE,"regulon member"
"Hif1a","Akt1",0.904740591,FALSE,"regulon member"
"Hif1a","Vldlr",0.894819005,FALSE,"regulon member"
"Hif1a","Cxcr1",0.881180368,FALSE,"regulon member"
"Hif1a","Hif3a",0.81480123,FALSE,"regulon member"
"Hif1a","Dld",0.803390769,FALSE,"regulon member"
"Hif1a","Dio3",0.797957728,FALSE,"regulon member"
"Hif1a","Hes1",0.773830471,FALSE,"regulon member"
"Hif1a","Sox9",0.750979277,FALSE,"regulon member"
"Hif1a","Prdx2",0.734412211,FALSE,"regulon member"
"Hif1a","Epas1",0.652666182,FALSE,"regulon member"
"Hif1a","Atpif1",0.64165892,FALSE,"regulon member"
"Hif1a","Snai1",0.640243688,FALSE,"regulon member"
"Hif1a","Erbb2",0.62275579,FALSE,"regulon member"
"Hif1a","Foxm1",0.613846398,FALSE,"regulon member"
"Hif1a","Angpt1",0.591379356,FALSE,"regulon member"
"Hif1a","Angpt2",0.571406289,FALSE,"regulon member"
"Hif1a","Nos1",0.545271461,FALSE,"regulon member"
"Hif1a","Slc2a4",0.544697636,FALSE,"regulon member"
"Hif1a","Il6",0.533988604,FALSE,"regulon member"
"Hif1a","Aqp9",0.493675135,FALSE,"regulon member"
"Hif1a","Smad4",0.479644106,FALSE,"regulon member"
"Hif1a","Wsb1",0.389519761,FALSE,"regulon member"
"Hif1a","Prdx3",0.356316078,FALSE,"regulon member"
"Hif1a","Casp3",0.304054291,FALSE,"regulon member"
"Hif1a","Cdkn1c",0.279144978,FALSE,"regulon member"
"Hif1a","Kcnj8",0.276966211,FALSE,"regulon member"
"Hif1a","Abcc9",0.275119171,FALSE,"regulon member"
"Hif1a","Bcl2",0.26231868,FALSE,"regulon member"
"Hif1a","Fn1",0.262240528,FALSE,"regulon member"
"Hif1a","Pfkl",0.250312826,FALSE,"regulon member"
"Hif1a","Fgf2",0.145563073,FALSE,"regulon member"
"Hif1a","Birc3",0.106819063,FALSE,"regulon member"
"Hif1a","Cxcr2",0.0946467147,FALSE,"regulon member"
"Hif1a","Col2a1",0.0945978856,FALSE,"regulon member"
"Hif1a","Socs1",0.0607606977,FALSE,"regulon member"
"Hif1a","Myc",0.0399942987,FALSE,"regulon member"
"Hif1a","Ppfia4",-0.0056201837,FALSE,"regulon member"
"Hif1a","S100a4",-0.0494922045,FALSE,"regulon member"
"Hif1a","Sod2",-0.0852772474,FALSE,"regulon member"
"Hif1a","Txn2",-0.0973823373,FALSE,"regulon member"
"Hif1a","Nedd8",-0.113034018,FALSE,"regulon member"
"Hif1a","Chka",-0.125555303,FALSE,"regulon member"
"Hif1a","Ctf1",-0.1735934,FALSE,"regulon member"
"Hif1a","Dll4",-0.273475297,FALSE,"regulon member"
"Hif1a","Gbe1",-0.278237401,FALSE,"regulon member"
"Hif1a","Grin1",-0.379272511,FALSE,"regulon member"
"Hif1a","Igf2bp1",-0.471418106,FALSE,"regulon member"
"Hif1a","Setd2",-0.537595587,FALSE,"regulon member"
"Hif1a","Ang",-0.546937981,FALSE,"regulon member"
"Hif1a","Stc1",-0.554744436,FALSE,"regulon member"
"Hif1a","Pepd",-0.636263417,FALSE,"regulon member"
"Hif1a","Il1b",-0.64497348,FALSE,"regulon member"
"Hif1a","Afp",-0.667009927,FALSE,"regulon member"
"Hif1a","Tubb3",-0.713587881,FALSE,"regulon member"
"Hif1a","Fbln5",-0.721001169,FALSE,"regulon member"
"Hif1a","Muc3a",-0.743710155,FALSE,"regulon member"
"Hif1a","Arc",-0.806964071,FALSE,"regulon member"
"Hif1a","Rbms1",-0.902554082,FALSE,"regulon member"
"Hif1a","Hs2st1",-0.956234097,FALSE,"regulon member"
"Hif1a","Kdr",-0.9802187,FALSE,"regulon member"
"Hif1a","Pfkfb1",-1.02762098,FALSE,"regulon member"
"Hif1a","Tnfsf13b",-1.02892486,FALSE,"regulon member"
"Hif1a","Hmox2",-1.06794044,FALSE,"regulon member"
"Hif1a","Rapgef3",-1.06852458,FALSE,"regulon member"
"Hif1a","Bhlhe41",-1.08652805,FALSE,"regulon member"
"Hif1a","Ccna2",-1.09564584,FALSE,"regulon member"
"Hif1a","Lifr",-1.09980709,FALSE,"regulon member"
"Hif1a","Hdc",-1.13383094,FALSE,"regulon member"
"Hif1a","Rac1",-1.14533642,FALSE,"regulon member"
