"target","module","contrib","direction"
"Hspa1a","heatshock_stress",10.8117413,"Up"
"Eno2","heatshock_stress",11.0047832,"Up"
"Serpine1","heatshock_stress",11.2113044,"Up"
"Cdkn1a","heatshock_stress",12.3278744,"Up"
"Spp1","heatshock_stress",15.3649512,"Up"
"Sdc1","heatshock_stress",22.8929997,"Up"
"Timp1","heatshock_stress",24.92499,"Up"
"Slc2a1","shared_angio_glucose",6.53352096,"Up"
"Vegfa","shared_angio_glucose",9.39257455,"Up"
"Egln3","autoreg_feedback",6.807492,"Up"
"Pdk1","hif1a_hypoxic_core",-4.15782848,"Down"
"Bnip3l","hif1a_hypoxic_core",-1.81453926,"Down"
"Bnip3","hif1a_hypoxic_core",-1.42890799,"Down"
"Car9","hif1a_hypoxic_core",-1.06121839,"Down"
