"source","statistic","rank","tf_axis"
"Ap1","consensus
rho=0.97",16,"other"
"Ap1","corr_wsum
rho=0.97",10,"other"
"Ap1","MLM  [multivariate]
rho=0.62",533,"other"
"Ap1","norm_wsum
rho=1.00",27,"other"
"Ap1","ULM
rho=1.00",24,"other"
"Ap1","wsum
rho=0.97",10,"other"
"Egr1","consensus
rho=0.97",6,"other"
"Egr1","corr_wsum
rho=0.97",6,"other"
"Egr1","MLM  [multivariate]
rho=0.62",292,"other"
"Egr1","norm_wsum
rho=1.00",1,"other"
"Egr1","ULM
rho=1.00",2,"other"
"Egr1","wsum
rho=0.97",6,"other"
"Epas1","consensus
rho=0.97",30,"HIF"
"Epas1","corr_wsum
rho=0.97",32,"HIF"
"Epas1","MLM  [multivariate]
rho=0.62",32,"HIF"
"Epas1","norm_wsum
rho=1.00",28,"HIF"
"Epas1","ULM
rho=1.00",27,"HIF"
"Epas1","wsum
rho=0.97",36,"HIF"
"Fos","consensus
rho=0.97",7,"other"
"Fos","corr_wsum
rho=0.97",8,"other"
"Fos","MLM  [multivariate]
rho=0.62",22,"other"
"Fos","norm_wsum
rho=1.00",16,"other"
"Fos","ULM
rho=1.00",4,"other"
"Fos","wsum
rho=0.97",8,"other"
"Hif1a","consensus
rho=0.97",8,"HIF"
"Hif1a","corr_wsum
rho=0.97",7,"HIF"
"Hif1a","MLM  [multivariate]
rho=0.62",142,"HIF"
"Hif1a","norm_wsum
rho=1.00",3,"HIF"
"Hif1a","ULM
rho=1.00",12,"HIF"
"Hif1a","wsum
rho=0.97",7,"HIF"
"Hoxa10","consensus
rho=0.97",71,"other"
"Hoxa10","corr_wsum
rho=0.97",106,"other"
"Hoxa10","MLM  [multivariate]
rho=0.62",9,"other"
"Hoxa10","norm_wsum
rho=1.00",149,"other"
"Hoxa10","ULM
rho=1.00",164,"other"
"Hoxa10","wsum
rho=0.97",140,"other"
"Hoxd3","consensus
rho=0.97",21,"other"
"Hoxd3","corr_wsum
rho=0.97",97,"other"
"Hoxd3","MLM  [multivariate]
rho=0.62",5,"other"
"Hoxd3","norm_wsum
rho=1.00",8,"other"
"Hoxd3","ULM
rho=1.00",10,"other"
"Hoxd3","wsum
rho=0.97",113,"other"
"Hsf2","consensus
rho=0.97",27,"other"
"Hsf2","corr_wsum
rho=0.97",72,"other"
"Hsf2","MLM  [multivariate]
rho=0.62",8,"other"
"Hsf2","norm_wsum
rho=1.00",12,"other"
"Hsf2","ULM
rho=1.00",18,"other"
"Hsf2","wsum
rho=0.97",85,"other"
"Irf1","consensus
rho=0.97",601,"IFN"
"Irf1","corr_wsum
rho=0.97",465,"IFN"
"Irf1","MLM  [multivariate]
rho=0.62",651,"IFN"
"Irf1","norm_wsum
rho=1.00",526,"IFN"
"Irf1","ULM
rho=1.00",537,"IFN"
"Irf1","wsum
rho=0.97",623,"IFN"
"Irf3","consensus
rho=0.97",612,"IFN"
"Irf3","corr_wsum
rho=0.97",618,"IFN"
"Irf3","MLM  [multivariate]
rho=0.62",522,"IFN"
"Irf3","norm_wsum
rho=1.00",600,"IFN"
"Irf3","ULM
rho=1.00",596,"IFN"
"Irf3","wsum
rho=0.97",636,"IFN"
"Irf7","consensus
rho=0.97",187,"IFN"
"Irf7","corr_wsum
rho=0.97",239,"IFN"
"Irf7","MLM  [multivariate]
rho=0.62",71,"IFN"
"Irf7","norm_wsum
rho=1.00",217,"IFN"
"Irf7","ULM
rho=1.00",225,"IFN"
"Irf7","wsum
rho=0.97",235,"IFN"
"Jun","consensus
rho=0.97",2,"other"
"Jun","corr_wsum
rho=0.97",2,"other"
"Jun","MLM  [multivariate]
rho=0.62",214,"other"
"Jun","norm_wsum
rho=1.00",4,"other"
"Jun","ULM
rho=1.00",1,"other"
"Jun","wsum
rho=0.97",2,"other"
"Ncoa1","consensus
rho=0.97",17,"other"
"Ncoa1","corr_wsum
rho=0.97",26,"other"
"Ncoa1","MLM  [multivariate]
rho=0.62",24,"other"
"Ncoa1","norm_wsum
rho=1.00",10,"other"
"Ncoa1","ULM
rho=1.00",8,"other"
"Ncoa1","wsum
rho=0.97",27,"other"
"Nfkb","consensus
rho=0.97",3,"other"
"Nfkb","corr_wsum
rho=0.97",3,"other"
"Nfkb","MLM  [multivariate]
rho=0.62",170,"other"
"Nfkb","norm_wsum
rho=1.00",5,"other"
"Nfkb","ULM
rho=1.00",9,"other"
"Nfkb","wsum
rho=0.97",3,"other"
"Nfkb1","consensus
rho=0.97",5,"IFN"
"Nfkb1","corr_wsum
rho=0.97",5,"IFN"
"Nfkb1","MLM  [multivariate]
rho=0.62",86,"IFN"
"Nfkb1","norm_wsum
rho=1.00",7,"IFN"
"Nfkb1","ULM
rho=1.00",6,"IFN"
"Nfkb1","wsum
rho=0.97",5,"IFN"
"Onecut1","consensus
rho=0.97",134,"other"
"Onecut1","corr_wsum
rho=0.97",281,"other"
"Onecut1","MLM  [multivariate]
rho=0.62",4,"other"
"Onecut1","norm_wsum
rho=1.00",292,"other"
"Onecut1","ULM
rho=1.00",269,"other"
"Onecut1","wsum
rho=0.97",291,"other"
"Rarg","consensus
rho=0.97",78,"other"
"Rarg","corr_wsum
rho=0.97",146,"other"
"Rarg","MLM  [multivariate]
rho=0.62",10,"other"
"Rarg","norm_wsum
rho=1.00",129,"other"
"Rarg","ULM
rho=1.00",122,"other"
"Rarg","wsum
rho=0.97",157,"other"
"Rela","consensus
rho=0.97",4,"IFN"
"Rela","corr_wsum
rho=0.97",4,"IFN"
"Rela","MLM  [multivariate]
rho=0.62",350,"IFN"
"Rela","norm_wsum
rho=1.00",2,"IFN"
