"target","n_other_TFs","t_wt","co_regulated"
"Cdkn1a",253,12.3278744,TRUE
"Ccnd1",173,1.79983993,TRUE
"Tnf",158,4.28954106,TRUE
"Myc",154,-0.0399942987,TRUE
"Vegfa",141,9.39257455,TRUE
"Trp53",140,-5.30949686,TRUE
"Il6",135,0.533988604,TRUE
"Bcl2",134,0.26231868,TRUE
"Cdh1",131,-4.58162421,TRUE
"Esr1",110,2.16849078,TRUE
"Ptgs2",109,7.60821714,TRUE
"Cdkn1b",106,-9.02931744,TRUE
"Ar",99,13.1463934,TRUE
"Jun",95,-1.26834548,TRUE
"Tert",94,2.94399146,TRUE
"Nos2",90,5.51788649,TRUE
"Crebbp",90,-1.62410063,TRUE
"Abcb1a",90,3.94791367,TRUE
"Il10",90,3.36953476,TRUE
"Mmp9",86,1.77805523,TRUE
"Pparg",83,3.54900365,TRUE
"Il1b",83,-0.64497348,TRUE
"Serpine1",80,11.2113044,TRUE
"Il4",80,4.68993805,TRUE
"Cd44",77,12.5050003,TRUE
"Tgfb1",76,4.34110161,TRUE
"Spp1",73,15.3649512,TRUE
"Akt1",71,0.904740591,TRUE
"Mdm2",67,4.93090001,TRUE
"Brca1",67,2.53202254,TRUE
"Bcl2l1",67,16.0796093,TRUE
"Fn1",64,0.262240528,TRUE
"Hmox1",63,2.5754022,TRUE
"Foxp3",63,-7.60676755,TRUE
"Erbb2",62,0.62275579,TRUE
"Bax",62,-3.30682541,TRUE
"Sp1",59,5.47154245,TRUE
"Fgf2",57,0.145563073,TRUE
"Mapk1",57,-1.49940928,TRUE
"Kdr",57,-0.9802187,TRUE
"Birc5",56,-2.6204697,TRUE
"Ccna2",54,-1.09564584,TRUE
"Hes1",53,0.773830471,TRUE
"Il17a",52,4.49447237,TRUE
"Col2a1",52,0.0945978856,TRUE
"Cxcr4",51,-5.75780146,TRUE
"Pten",51,-4.63382782,TRUE
"Vim",50,-2.57465499,TRUE
"App",48,-4.86068325,TRUE
"Plau",48,4.41987376,TRUE
"Id2",45,3.1467808,TRUE
"Slc2a4",44,0.544697636,TRUE
"Hif1a",43,7.48596014,TRUE
"Egf",43,-3.69944647,TRUE
"Abca1",41,-18.9943599,TRUE
"Sox9",41,0.750979277,TRUE
"Ccl5",41,4.53508249,TRUE
"Nr3c1",41,-3.25759166,TRUE
"Afp",40,-0.667009927,TRUE
"Hspa4",40,4.30130657,TRUE
"Sod2",39,-0.0852772474,TRUE
"Pik3r1",38,-1.54256204,TRUE
"Cdkn1c",38,0.279144978,TRUE
"Edn1",37,-1.3700518,TRUE
"Timp1",37,24.92499,TRUE
"Hgf",37,-1.37042147,TRUE
"Snai1",37,0.640243688,TRUE
"Casp3",36,0.304054291,TRUE
"Mcl1",36,-3.16876158,TRUE
"Thbs1",34,7.24984774,TRUE
"Fasn",34,-5.24567748,TRUE
"Cish",33,3.7684227,TRUE
"Gata1",33,-7.67014518,TRUE
"Tff1",32,2.62020782,TRUE
"Met",31,1.91219045,TRUE
"Src",30,-2.15375009,TRUE
"Muc1",29,7.03772058,TRUE
"Flt1",28,2.47548349,TRUE
"Stat3",28,-13.479087,TRUE
"Nr4a1",27,10.2439985,TRUE
"Pdgfb",27,8.59721986,TRUE
"Apc",27,2.46865244,TRUE
"Twist1",26,6.60200754,TRUE
"Hspa1a",26,10.8117413,TRUE
"Plaur",26,9.82270186,TRUE
"Trf",26,-1.15238568,TRUE
"Abl1",25,-5.66066284,TRUE
"Tubb3",25,-0.713587881,TRUE
"Birc3",25,0.106819063,TRUE
"F3",24,10.8903537,TRUE
"Pmaip1",24,1.97332686,TRUE
"Mapk14",24,-1.36667792,TRUE
"Cd36",23,8.08069431,TRUE
