"gene_symbol","ensembl","logFC_WT_heat","adjP_WT_heat","logFC_KO_heat","adjP_KO_heat","logFC_Interaction","adjP_Interaction","cgas_dependent","in_stringent_gate","reverses_without_cgas","arm_class","interaction_rank"
"Isg15","ENSMUSG00000035692.7",0.556336366,0.00147470154,-0.32797912,0.0539732706,0.884315486,0.074818007,FALSE,FALSE,TRUE,"no_detectable_difference",NA
"Cbx3-ps6","ENSMUSG00000057886.5",-0.648941654,0.000179387545,0.183289642,0.279399916,-0.832231296,0.0930885849,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Ifi27l2a","ENSMUSG00000079017.3",0.799373389,5.72627975e-06,0.100687733,0.473024654,0.698685656,0.144091385,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Gm7887","ENSMUSG00000044211.9",0.0716860229,0.179054846,0.317421281,3.1477084e-07,-0.245735258,0.211435348,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Wdfy1","ENSMUSG00000073643.11",0.232354186,0.000701164689,-0.0721797683,0.292953343,0.304533955,0.263066529,FALSE,FALSE,TRUE,"no_detectable_difference",NA
"Stat2","ENSMUSG00000040033.16",-0.441023628,3.64673836e-09,-0.694448891,3.41280198e-13,0.253425263,0.312710446,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Trim25","ENSMUSG00000000275.16",0.0861646871,0.0221974234,-0.0834703139,0.0261781383,0.169635001,0.312710446,FALSE,FALSE,TRUE,"no_detectable_difference",NA
"Cbx3-ps7","ENSMUSG00000059647.5",-0.383382949,0.000144141161,0.0420884544,0.700663985,-0.425471403,0.32038531,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Gm12786","ENSMUSG00000085581.1",-0.383693705,0.00119837122,0.128701948,0.279694905,-0.512395652,0.330262085,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Gm37569","ENSMUSG00000102556.1",0.0710364486,0.630588122,0.653124401,7.91248755e-06,-0.582087953,0.33407694,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Slfn5","ENSMUSG00000054404.13",-0.628038277,1.95276642e-06,-1.13180104,3.25441483e-11,0.503762761,0.357841186,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Oas2","ENSMUSG00000032690.16",0.434476117,0.00449810156,-0.223304902,0.142947566,0.657781019,0.379174547,FALSE,FALSE,TRUE,"no_detectable_difference",NA
"Oas3","ENSMUSG00000032661.9",1.31275203,2.06232887e-06,0.362683663,0.0853890102,0.950068366,0.38382056,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Slfn1","ENSMUSG00000078763.2",-0.012279007,0.935827719,-0.543893138,5.8279495e-05,0.531614131,0.38382056,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Bax","ENSMUSG00000003873.11",-0.126262505,0.00764294475,0.0754988244,0.109287801,-0.20176133,0.400016029,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Gm9392","ENSMUSG00000087298.3",-0.200009568,0.000262307922,0.0230408017,0.701147834,-0.22305037,0.400016029,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Ifi203","ENSMUSG00000039997.16",-0.895476139,2.43263302e-09,-1.28121481,1.23680428e-11,0.385738668,0.400016029,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Ifit3","ENSMUSG00000074896.3",-0.393393935,0.0358992419,-1.18668975,1.58678616e-07,0.793295817,0.423739852,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Rps2-ps10","ENSMUSG00000091957.3",-0.255584466,3.77695134e-05,-0.0163827799,0.809187788,-0.239201686,0.423739852,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Pde8b","ENSMUSG00000021684.17",0.00161510141,0.993706802,-0.489941494,8.82337283e-05,0.491556596,0.45107861,FALSE,FALSE,TRUE,"no_detectable_difference",NA
"Ifi214","ENSMUSG00000070501.14",-0.4964362,0.00987298889,-1.29562084,4.77072947e-08,0.799184643,0.456069301,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Oasl1","ENSMUSG00000041827.15",0.360324231,0.00110829279,-0.0871173348,0.449086165,0.447441566,0.456069301,FALSE,FALSE,TRUE,"no_detectable_difference",NA
"Oas1a","ENSMUSG00000052776.10",0.392401029,0.00386921885,-0.160193384,0.244064547,0.552594413,0.486221187,FALSE,FALSE,TRUE,"no_detectable_difference",NA
"Rpl13-ps6","ENSMUSG00000059776.7",-0.173420735,0.202743789,0.374237795,0.00506862175,-0.54765853,0.486221187,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"2900041M22Rik","ENSMUSG00000054418.6",0.412338845,0.00139276962,-0.0934921406,0.491132598,0.505830985,0.533927464,FALSE,FALSE,TRUE,"no_detectable_difference",NA
"Gm10257","ENSMUSG00000114759.1",-0.473436875,2.21576711e-07,-0.165192876,0.0291760502,-0.308243999,0.533927464,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Gm12430","ENSMUSG00000081152.1",-0.0502478614,0.603212743,0.301101526,0.000732804107,-0.351349388,0.533927464,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Gm7666","ENSMUSG00000067547.6",-0.413343315,1.70115025e-06,-0.122126778,0.0872009734,-0.291216537,0.533927464,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Tmem189","ENSMUSG00000090213.1",0.316156439,4.30337868e-07,0.104126426,0.0475566406,0.212030013,0.533927464,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Trim12a","ENSMUSG00000066258.13",-0.602802753,7.03083333e-10,-0.887897603,2.42885892e-13,0.285094849,0.533927464,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Zc3h6","ENSMUSG00000042851.17",-0.973116737,1.55123648e-13,-1.27484665,3.80264474e-16,0.301729908,0.533927464,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Adar","ENSMUSG00000027951.16",-0.197152262,6.12041254e-06,-0.350781009,1.88534644e-10,0.153628747,0.591030684,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Gm22043","ENSMUSG00000064927.1",0.293063093,0.0658004899,-0.33292471,0.0355400065,0.625987802,0.591030684,FALSE,FALSE,TRUE,"no_detectable_difference",NA
"Gm37943","ENSMUSG00000102960.1",-0.0822520232,0.553676083,0.414918374,0.00128968296,-0.497170397,0.591030684,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Gm48627","ENSMUSG00000111292.1",-0.420692811,0.0014957721,0.0884691835,0.529926782,-0.509161994,0.591030684,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Hsh2d","ENSMUSG00000062007.13",-0.0428413032,0.760575205,-0.514301852,5.93985488e-05,0.471460549,0.591030684,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Apex1","ENSMUSG00000035960.14",-0.267927064,8.4079693e-06,-0.0572821652,0.306464674,-0.210644899,0.627987032,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"BC049715","ENSMUSG00000047515.8",-0.405758319,0.00544506276,0.153375997,0.307190086,-0.559134316,0.675373727,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Gm37873","ENSMUSG00000102172.1",-0.0715807671,0.572457456,0.370439858,0.00156389738,-0.442020625,0.676134748,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Sobp","ENSMUSG00000038248.8",-0.384103618,0.000701724492,0.0380698309,0.769276931,-0.422173449,0.676134748,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Gm10123","ENSMUSG00000062933.7",-0.137794224,0.00196172669,0.0279038569,0.559148265,-0.165698081,0.73126395,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Gm7962","ENSMUSG00000114999.1",0.0350792981,0.606655356,0.266819237,4.75238331e-05,-0.231739939,0.73126395,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"1700017M07Rik","ENSMUSG00000105651.1",-0.360151076,0.00172849086,-0.784972542,2.63598205e-08,0.424821466,0.752387695,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Gm20559","ENSMUSG00000106734.3",-1.26602261,3.61276873e-08,-1.91268733,2.77740432e-11,0.646664727,0.752387695,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Cryzl2","ENSMUSG00000033488.11",0.158831233,0.281216711,-0.360329511,0.0109840237,0.519160744,0.862569264,FALSE,FALSE,TRUE,"no_detectable_difference",NA
"Fam173a","ENSMUSG00000057411.9",-0.344661638,7.74016315e-08,-0.151326535,0.00400337532,-0.193335103,0.862569264,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Gbp9","ENSMUSG00000029298.15",-1.69731242,9.40483466e-09,-2.35961294,8.1505258e-11,0.662300517,0.862569264,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Gm13577","ENSMUSG00000082127.2",-0.401181763,0.00127278866,0.0317244022,0.823484376,-0.432906165,0.862569264,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Gm13841","ENSMUSG00000083833.4",-0.360251458,0.0328026939,0.259230902,0.126972057,-0.61948236,0.862569264,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Gm25395","ENSMUSG00000087968.1",-0.239641246,0.076812799,0.253860831,0.059396262,-0.493502077,0.862569264,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Gm43544","ENSMUSG00000105936.1",0.428140897,0.0059966651,-0.134870702,0.411091486,0.563011599,0.862569264,FALSE,FALSE,TRUE,"no_detectable_difference",NA
"Gpnmb","ENSMUSG00000029816.10",-0.391068832,0.00285237609,0.0850306357,0.546614676,-0.476099468,0.862569264,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Klhl8","ENSMUSG00000029312.12",0.109497029,0.264649791,0.453825517,1.33885096e-05,-0.344328488,0.862569264,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Mrc2","ENSMUSG00000020695.14",-0.621554534,0.000174952275,-1.20000285,4.84191265e-09,0.578448314,0.862569264,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Ost4","ENSMUSG00000038803.7",0.0726444968,0.105745706,0.235005828,3.18206689e-06,-0.162361331,0.862569264,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Oxnad1","ENSMUSG00000021906.14",0.0777166572,0.325706515,0.351214238,2.01402963e-05,-0.27349758,0.862569264,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Rnf180","ENSMUSG00000021720.11",0.185741275,0.00484263233,-0.0520385979,0.457207652,0.237779873,0.862569264,FALSE,FALSE,TRUE,"no_detectable_difference",NA
"Rnf5","ENSMUSG00000015478.13",-0.016759515,0.837724862,0.230388621,0.000959087877,-0.247148136,0.862569264,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Rps15a-ps7","ENSMUSG00000081087.1",0.152583901,0.0164310649,-0.079810559,0.215204795,0.23239446,0.862569264,FALSE,FALSE,TRUE,"no_detectable_difference",NA
"Gm18335","ENSMUSG00000116561.1",0.105283526,0.483598165,0.602321505,5.14668792e-05,-0.49703798,0.922595515,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Zcchc17","ENSMUSG00000028772.19",-0.0966207797,0.0631946524,0.0886006419,0.08790614,-0.185221422,0.960654289,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"Crlf2","ENSMUSG00000033467.12",-0.156456316,0.00764939368,-0.36338505,2.00057103e-07,0.206928735,0.986247184,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"0610005C13Rik","ENSMUSG00000109644.1",-0.261789571,0.0469687975,-0.00826438998,0.964040093,-0.253525181,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"0610009B22Rik","ENSMUSG00000007777.9",0.0984115236,0.297043997,0.359424665,0.000163415496,-0.261013141,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"0610009E02Rik","ENSMUSG00000086714.1",-0.105541847,0.422162251,-0.0630132005,0.649595056,-0.0425286461,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"0610009L18Rik","ENSMUSG00000043644.4",0.0613827699,0.711691967,-0.0722776271,0.658325069,0.133660397,1,FALSE,FALSE,TRUE,"no_detectable_difference",NA
"0610010F05Rik","ENSMUSG00000042208.15",-0.183300105,0.00479506815,-0.26199942,0.000119822854,0.0786993149,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"0610010K14Rik","ENSMUSG00000020831.18",-0.461628758,0.000731894143,-0.519821279,0.000184688265,0.0581925206,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
"0610012G03Rik","ENSMUSG00000107002.1",-0.110750434,0.134618422,-0.0866126828,0.248633502,-0.0241377513,1,FALSE,FALSE,FALSE,"no_detectable_difference",NA
