"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","arm","collection","n_query_in_background","hit_genes","n_hits","size_tested","k_null_matched_mean","p_matched","frac_matched_reaching_q","p_uniform"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS","GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS","13/183","302/11067",0.043046357615894,2.60324611877103,3.66288482384117,0.00151936750710382,0.0270919652111283,0.0218071381887305,"C3/CD40LG/CD70/CD80/CLU/IGKC/IL17F/IL2/IL23A/IL9/KLRC1/LTA/SEMA4A",13,"WT_heat_up","GO_BP",199,"C3/CD40LG/CD70/CD80/CLU/IGKC/IL17F/IL2/IL23A/IL9/KLRC1/LTA/SEMA4A",13,302,10.4255,0.220889555222389,0.167,0.00199900049975012
"GOBP_SMOOTH_MUSCLE_CELL_PROLIFERATION","GOBP_SMOOTH_MUSCLE_CELL_PROLIFERATION","7/183","103/11067",0.0679611650485437,4.10997930924717,4.1116696084923,0.00157145996609665,0.0277777591909369,0.0223591544035064,"CDKN1A/HBEGF/NOTCH3/NPPC/NR4A3/PAK1/PDGFB",7,"WT_heat_up","GO_BP",199,"CDKN1A/HBEGF/NOTCH3/NPPC/NR4A3/PAK1/PDGFB",7,103,4.222,0.12543728135932,0.0691220988900101,0.00149925037481259
"GOBP_MUSCLE_ADAPTATION","GOBP_MUSCLE_ADAPTATION","6/183","76/11067",0.0789473684210526,4.77437446074202,4.28114353085366,0.00157887983275504,0.0277777591909369,0.0223591544035064,"ASB2/ATP2B4/GATM/NR4A3/PAK1/PDGFB",6,"WT_heat_up","GO_BP",199,"ASB2/ATP2B4/GATM/NR4A3/PAK1/PDGFB",6,76,3.131,0.0954522738630685,0.0546021840873635,0.00199900049975012
"GOBP_REGULATION_OF_NEURON_APOPTOTIC_PROCESS","GOBP_REGULATION_OF_NEURON_APOPTOTIC_PROCESS","10/183","197/11067",0.050761421319797,3.06981775817592,3.80081788467603,0.00160008341021769,0.0277863122890003,0.0223660390495612,"ADAM8/ADORA2A/CCL3/CLU/EGR1/FASLG/HSPG2/NPPC/NR4A2/NR4A3",10,"WT_heat_up","GO_BP",199,"ADAM8/ADORA2A/CCL3/CLU/EGR1/FASLG/HSPG2/NPPC/NR4A2/NR4A3",10,197,7.0215,0.15992003998001,0.101,0.00149925037481259
"GOBP_LUNG_EPITHELIUM_DEVELOPMENT","GOBP_LUNG_EPITHELIUM_DEVELOPMENT","4/183","31/11067",0.129032258064516,7.80327868852459,4.91835501881816,0.00160552203702057,0.0277863122890003,0.0223660390495612,"FOSL2/STRA6/TP73/YAP1",4,"WT_heat_up","GO_BP",199,"FOSL2/STRA6/TP73/YAP1",4,31,1.0025,0.0139930034982509,0.00922367409684858,0.000999500249875062
"GOBP_CARDIAC_CELL_DEVELOPMENT","GOBP_CARDIAC_CELL_DEVELOPMENT","5/183","52/11067",0.0961538461538462,5.81494325346784,4.51260380686749,0.00162148241474272,0.0277863122890003,0.0223660390495612,"ASB2/INHBA/NEB/PAK1/SPRY1",5,"WT_heat_up","GO_BP",199,"ASB2/INHBA/NEB/PAK1/SPRY1",5,52,1.9165,0.0424787606196902,0.0237268518518519,0.00299850074962519
"GOBP_MAMMARY_GLAND_EPITHELIUM_DEVELOPMENT","GOBP_MAMMARY_GLAND_EPITHELIUM_DEVELOPMENT","5/183","52/11067",0.0961538461538462,5.81494325346784,4.51260380686749,0.00162148241474272,0.0277863122890003,0.0223660390495612,"AREG/EPHA2/IRF6/TNFSF11/WNT3",5,"WT_heat_up","GO_BP",199,"AREG/EPHA2/IRF6/TNFSF11/WNT3",5,52,2.1495,0.0599700149925037,0.0346368715083799,0.00249875062468766
"GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS","GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS","7/183","104/11067",0.0673076923076923,4.07046027742749,4.07926629583863,0.00166180177971748,0.0282935154624157,0.0227743021492012,"CCL3/CCL4/F3/IL23A/PDGFB/SERPINE1/TNFSF14",7,"WT_heat_up","GO_BP",199,"CCL3/CCL4/F3/IL23A/PDGFB/SERPINE1/TNFSF14",7,104,4.1885,0.118440779610195,0.0729853015712114,0.00199900049975012
"GOBP_POSITIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION","GOBP_POSITIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION","3/183","15/11067",0.2,12.0950819672131,5.57548071116205,0.00174794844017426,0.0295409903295409,0.0237784322151587,"EMILIN2/PLAUR/TNFSF11",3,"WT_heat_up","GO_BP",199,"EMILIN2/PLAUR/TNFSF11",3,15,0.5715,0.0229885057471264,0.0212527964205817,0.00249875062468766
"GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY","GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY","12/183","270/11067",0.0444444444444444,2.68779599271403,3.64063293872195,0.00175745944741869,0.0295409903295409,0.0237784322151587,"ATF3/CCN1/DAB2/EGR1/FAM83G/GDF6/HSPA1A/IL17F/INHBA/ITGA3/NEO1/SPRY1",12,"WT_heat_up","GO_BP",199,"ATF3/CCN1/DAB2/EGR1/FAM83G/GDF6/HSPA1A/IL17F/INHBA/ITGA3/NEO1/SPRY1",12,270,8.2535,0.109445277361319,0.0685,0.00199900049975012
