"arm","term_a","term_b","n_a","n_b","n_shared","jaccard"
"WT_heat_up","HALLMARK_HYPOXIA","GOBP_RESPONSE_TO_OXYGEN_LEVELS",18,11,3,0.115384615384615
"WT_heat_up","HALLMARK_HYPOXIA","GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS",18,4,1,0.0476190476190476
"WT_heat_up","GOBP_RESPONSE_TO_OXYGEN_LEVELS","GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS",11,4,4,0.363636363636364
"KO_heat_up","HALLMARK_HYPOXIA","GOBP_RESPONSE_TO_OXYGEN_LEVELS",19,11,4,0.153846153846154
"KO_heat_up","HALLMARK_HYPOXIA","GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS",19,3,1,0.0476190476190476
"KO_heat_up","GOBP_RESPONSE_TO_OXYGEN_LEVELS","GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS",11,3,3,0.272727272727273
