"row_grain","arm","collection","term","status","size_in_background","n_arm_hits","hits","p.adjust","p_matched","term_a","term_b","n_a","n_b","n_shared","jaccard","n_union","union_share_of_arm"
"set","Interaction_up","GO_BP","GOBP_HYPOXIA_INDUCIBLE_FACTOR_1ALPHA_SIGNALING_PATHWAY","below min_gs_size (7)",7,0,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0
"set","Interaction_up","GO_MF",NA,"collection carries no hypoxia set",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"set","Interaction_up","KEGG",NA,"collection carries no hypoxia set",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"set","Interaction_up","Reactome","REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA","tested, not enriched",61,0,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0
"set","Interaction_fdrOnly_up","Hallmark","HALLMARK_HYPOXIA","tested, not enriched",171,0,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0
"set","Interaction_fdrOnly_up","GO_BP","GOBP_RESPONSE_TO_OXYGEN_LEVELS","tested, not enriched",274,0,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0
"set","Interaction_fdrOnly_up","GO_BP","GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS","tested, not enriched",142,0,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0
"set","Interaction_fdrOnly_up","GO_BP","GOBP_HYPOXIA_INDUCIBLE_FACTOR_1ALPHA_SIGNALING_PATHWAY","below min_gs_size (7)",7,0,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0
"set","Interaction_fdrOnly_up","GO_MF",NA,"collection carries no hypoxia set",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"set","Interaction_fdrOnly_up","KEGG",NA,"collection carries no hypoxia set",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"set","Interaction_fdrOnly_up","Reactome","REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA","tested, not enriched",61,0,"",NA,NA,NA,NA,NA,NA,NA,NA,0,0
