"arm","collection","ID","Count","p.adjust","p_matched","frac_matched_reaching_q","size_tested","enriched","pinned","fails_p_matched","fails_recurrence","pruned_by","pruned_hit_jaccard","rank_in_collection","selected","variant"
"WT_heat_up","GO_BP","GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY",7,0.021096551469882,0.0144927536231884,0.0100849256900212,93,TRUE,FALSE,FALSE,FALSE,NA,NA,52,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_B_CELL_MEDIATED_IMMUNITY",8,0.0214378009499309,0.0339830084957521,0.0294416243654822,121,TRUE,FALSE,FALSE,FALSE,NA,NA,73,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION",11,0.0216196311677016,0.188905547226387,0.151575787893947,215,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_NEURON_PROJECTION_GUIDANCE",9,0.0233981594993761,0.0169915042478761,0.0106544901065449,153,TRUE,FALSE,FALSE,FALSE,NA,NA,58,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_REGULATION_OF_CHEMOTAXIS",9,0.0233981594993761,0.102948525737131,0.0766917293233083,153,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM",5,0.0237102321896303,0.0214892553723138,0.015470297029703,47,TRUE,FALSE,FALSE,FALSE,NA,NA,62,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE",9,0.0237812654853878,0.0809595202398801,0.0546914199698946,154,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_PROTEIN_KINASE_B_SIGNAL_TRANSDUCTION",9,0.0237812654853878,0.12143928035982,0.087218045112782,154,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_FIBROBLAST_PROLIFERATION",6,0.0237812654853878,0.0249875062468766,0.015625,71,TRUE,FALSE,FALSE,FALSE,"GOBP_POSITIVE_REGULATION_OF_FIBROBLAST_PROLIFERATION",0.833333333333333,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION",6,0.0237812654853878,0.0299850074962519,0.0214285714285714,71,TRUE,FALSE,FALSE,FALSE,NA,NA,70,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_BRANCH_ELONGATION_OF_AN_EPITHELIUM",3,0.0237812654853878,0.0124937531234383,0.0147420147420147,13,TRUE,FALSE,FALSE,FALSE,NA,NA,51,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_EYELID_DEVELOPMENT_IN_CAMERA_TYPE_EYE",3,0.0237812654853878,0.00599700149925037,0.00772797527047913,13,TRUE,FALSE,FALSE,FALSE,NA,NA,36,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_FIBRINOLYSIS",3,0.0237812654853878,0.000999500249875062,0.00259067357512953,13,TRUE,FALSE,FALSE,FALSE,"REACTOME_DISSOLUTION_OF_FIBRIN_CLOT",1,NA,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_HEAT_GENERATION",3,0.0237812654853878,0.00499750124937531,0.0107238605898123,13,TRUE,FALSE,FALSE,FALSE,NA,NA,32,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_BONE_RESORPTION",3,0.0237812654853878,0.00399800099950025,0.00351493848857645,13,TRUE,FALSE,FALSE,FALSE,NA,NA,25,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION",3,0.0237812654853878,0.00199900049975012,0.00177619893428064,13,TRUE,FALSE,FALSE,FALSE,NA,NA,17,FALSE,"hypoxia_anchored"
"WT_heat_up","GO_BP","GOBP_METANEPHROS_DEVELOPMENT",5,0.0238878911863062,0.0389805097451274,0.0253310305123777,48,TRUE,FALSE,FALSE,FALSE,NA,NA,78,FALSE,"hypoxia_anchored"
