"set_id","set_label","origin","contrast","nes","padj","set_size","sig"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE193605","GSE193605 · other · Neuro2a (N2a) neuroblastoma cells","Interaction_up (cGAS-specific ISG)","Geno_main",3.45283927,1.18946889e-28,46,TRUE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62757","GSE62757 · viral infection · spinal cord","Interaction_up (cGAS-specific ISG)","Geno_main",3.32713887,2.2250996e-22,46,TRUE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE89069","GSE89069 · viral infection · embryonic brain (E17.5)","Interaction_up (cGAS-specific ISG)","Geno_main",3.30372071,2.04227749e-20,48,TRUE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62758","GSE62758 · viral infection · spinal cord","Interaction_up (cGAS-specific ISG)","Geno_main",3.155521,4.55566605e-16,47,TRUE
"CORESH_Q_sig_Interaction_up_fdr_only_GSE94388","GSE94388 · nucleic acid sensing · fetal brain","Interaction_up (cGAS-specific ISG)","Geno_main",3.11231007,4.47640877e-15,48,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE48870","GSE48870 · developmental · B cell subsets from bone marrow, spleen, and small intestinal lamina propria","WT_heat_up (generic thermal)","Geno_main",-2.01189653,0.000678499952,37,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE80205","GSE80205 · other · Neuro2a (N2a) neuroblastoma cells and neural/stem cells","WT_heat_up (generic thermal)","Geno_main",-1.79313745,0.00490605236,46,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE174225","GSE174225 · cancer tumor · CD4+ and CD8+ tumor-infiltrating lymphocytes (TILs) and draining lymph node T cells","WT_heat_up (generic thermal)","Geno_main",-1.57991412,0.0220761895,49,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE169006","GSE169006 · metabolic · colonic CD4+ T cells (naive, effector, regulatory T cells)","WT_heat_up (generic thermal)","Geno_main",1.39815939,0.101197852,48,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE65083","GSE65083 · metabolic · CD4+ T helper (Th2) cells","WT_heat_up (generic thermal)","Geno_main",1.36096953,0.112,46,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE46185","GSE46185 · developmental · CD4+ Th2 cells","WT_heat_up (generic thermal)","Geno_main",1.34191184,0.115922029,49,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE41833","GSE41833 · inflammation other · bone marrow-derived macrophages (BMDMs)","WT_heat_up (generic thermal)","Geno_main",1.20634343,0.203384419,44,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE163856","GSE163856 · thermal heat shock · skeletal muscle stem cells (satellite cells) and liver / muscle single nuclei","WT_heat_up (generic thermal)","Geno_main",-0.921309362,0.661472149,48,FALSE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE212127","GSE212127 · cancer tumor · B16 melanoma tumor tissue","WT_heat_up (generic thermal)","Geno_main",-0.75307662,0.888888889,46,FALSE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62757","GSE62757 · viral infection · spinal cord","Interaction_up (cGAS-specific ISG)","Interaction",3.23335491,2.81395206e-22,46,TRUE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE193605","GSE193605 · other · Neuro2a (N2a) neuroblastoma cells","Interaction_up (cGAS-specific ISG)","Interaction",3.20757606,1.0875071e-21,46,TRUE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE89069","GSE89069 · viral infection · embryonic brain (E17.5)","Interaction_up (cGAS-specific ISG)","Interaction",3.14901834,1.12214091e-19,48,TRUE
"CORESH_Q_sig_Interaction_up_fdr_only_GSE94388","GSE94388 · nucleic acid sensing · fetal brain","Interaction_up (cGAS-specific ISG)","Interaction",3.05447241,3.60988983e-17,48,TRUE
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62758","GSE62758 · viral infection · spinal cord","Interaction_up (cGAS-specific ISG)","Interaction",2.84878547,2.49513315e-13,47,TRUE
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE174225","GSE174225 · cancer tumor · CD4+ and CD8+ tumor-infiltrating lymphocytes (TILs) and draining lymph node T cells","WT_heat_up (generic thermal)","Interaction",1.28403465,0.247349823,49,FALSE
