"source","axis","contrast","score","padj","significant"
"Nfkb","other","WT_heat",2.5,1.21957481e-05,TRUE
"Nfkb","other","KO_heat",2.5,0.000747662269,TRUE
"Nfkb","other","Interaction",2.5,0.389027909,FALSE
"Nfkb","other","Temp_main",2.5,8.27105293e-05,TRUE
"Nfkb","other","Geno_at_39",2.5,0.132555687,FALSE
"Nfkb","other","Geno_at_37",0.00758204915,0.997504935,FALSE
"Nfkb","other","Geno_main",2.09422704,0.61164508,FALSE
"Hoxd3","other","WT_heat",2.5,1.32005535e-05,TRUE
"Hoxd3","other","KO_heat",2.5,4.53407527e-05,TRUE
"Hoxd3","other","Interaction",-0.0322836798,0.993561341,FALSE
"Hoxd3","other","Temp_main",2.5,1.64662745e-05,TRUE
"Hoxd3","other","Geno_at_39",1.27948002,0.836006319,FALSE
"Hoxd3","other","Geno_at_37",1.51084759,0.96184218,FALSE
"Hoxd3","other","Geno_main",1.79633384,0.829060071,FALSE
"Hif1a","HIF","WT_heat",2.5,1.7797704e-05,TRUE
"Hif1a","HIF","KO_heat",2.5,4.74523185e-05,TRUE
"Hif1a","HIF","Interaction",-0.185579667,0.974129663,FALSE
"Hif1a","HIF","Temp_main",2.5,1.97940072e-05,TRUE
"Hif1a","HIF","Geno_at_39",-1.89669056,0.710599089,FALSE
"Hif1a","HIF","Geno_at_37",-1.91952403,0.96184218,FALSE
"Hif1a","HIF","Geno_main",-2.46979555,0.41844078,FALSE
"Jund","other","WT_heat",2.5,1.7797704e-05,TRUE
"Jund","other","KO_heat",2.5,6.42111264e-05,TRUE
"Jund","other","Interaction",0.122342943,0.993561341,FALSE
"Jund","other","Temp_main",2.5,2.04437237e-05,TRUE
"Jund","other","Geno_at_39",0.618844967,0.966770201,FALSE
"Jund","other","Geno_at_37",0.541568878,0.973027706,FALSE
"Jund","other","Geno_main",0.754673869,0.971449651,FALSE
"Rel","other","WT_heat",2.5,2.93222028e-05,TRUE
"Rel","other","KO_heat",2.5,0.00176890089,TRUE
"Rel","other","Interaction",2.5,0.388866417,FALSE
"Rel","other","Temp_main",2.5,0.00022290288,TRUE
"Rel","other","Geno_at_39",2.5,0.0176223811,TRUE
"Rel","other","Geno_at_37",0.753463511,0.973027706,FALSE
"Rel","other","Geno_main",2.5,0.130565868,FALSE
"Runx2","other","WT_heat",2.5,4.230052e-05,TRUE
"Runx2","other","KO_heat",2.5,0.00056784978,TRUE
"Runx2","other","Interaction",1.19228454,0.869122905,FALSE
"Runx2","other","Temp_main",2.5,0.000125393619,TRUE
"Runx2","other","Geno_at_39",0.498355047,0.97353165,FALSE
"Runx2","other","Geno_at_37",-1.06360145,0.973027706,FALSE
"Runx2","other","Geno_main",-0.29703976,0.971449651,FALSE
"Hsf2","other","WT_heat",2.5,0.000379839445,TRUE
"Hsf2","other","KO_heat",2.5,0.000149588546,TRUE
"Hsf2","other","Interaction",-1.31758716,0.869122905,FALSE
"Hsf2","other","Temp_main",2.5,0.000179016499,TRUE
"Hsf2","other","Geno_at_39",-0.0259667589,0.992770311,FALSE
"Hsf2","other","Geno_at_37",1.77695927,0.96184218,FALSE
"Hsf2","other","Geno_main",1.05403282,0.951260333,FALSE
"Irf2","other","WT_heat",-0.862033752,0.604111263,FALSE
"Irf2","other","KO_heat",-1.93262638,0.20389038,FALSE
"Irf2","other","Interaction",2.5,0.0791594093,FALSE
"Irf2","other","Temp_main",-1.42394521,0.372332048,FALSE
"Irf2","other","Geno_at_39",2.5,0.000191376952,TRUE
"Irf2","other","Geno_at_37",0.862349215,0.973027706,FALSE
"Irf2","other","Geno_main",2.5,0.01546225,TRUE
"Irf7","IFN","WT_heat",1.38364091,0.389527779,FALSE
"Irf7","IFN","KO_heat",1.060727,0.526650215,FALSE
"Irf7","IFN","Interaction",0.881016754,0.912978396,FALSE
"Irf7","IFN","Temp_main",1.23637203,0.447636709,FALSE
"Irf7","IFN","Geno_at_39",2.44880772,0.341175845,FALSE
"Irf7","IFN","Geno_at_37",1.59851051,0.96184218,FALSE
"Irf7","IFN","Geno_main",2.5,0.304564602,FALSE
