pathway_id,pathway_name,database,nes,pvalue,padj,set_size,core_enrichment,contrast,direction
HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon-gamma Response,Hallmark,-1.98747622,1.80705115e-8,1.80705115e-7,187,Wars/Ptpn6/Pml/B2m/Psma2/Itgb7/Xcl1/Gbp10/Ifit3/Eif2ak2/Lats2/Arid5b/Arl4a/Btg1/Parp12/Irf1/Rnf213/Psmb8/H2-M3/Rtp4/Ogfr/Ncoa3/Tap1/Psmb9/Rbck1/Irf2/H2-Aa/Trafd1/Irf9/H2-DMa/Nmi/Nod1/Xaf1/Psme1/Gpr18/Isoc1/Nlrc5/Herc6/Adar/Trim14/Ifi35/Tnfsf10/Ciita/Slc25a28/Stat1/Ddx58/Parp14/Trim26/Ifit2/Trim21/Casp7/Bank1/Txnip/Psmb10/Peli1/Tapbp/Gbp4/Stat2/Rapgef6/Gbp3/Sp110/Gbp8/Stat3/Gbp9/Samhd1/Samd9l/Cd40,Temp_main,Down
WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,Overview of Proinflammatory and Profibrotic Mediators,WikiPathways,2.46769021,8.71322998e-10,3.6334169e-7,48,Spp1/Lta/Nfkb1/Il9/Il2/Ccl4/Ccl22/Il23a/Ccl20/Il1a/Vegfa/Csf2/Ebi3/Areg/Cxcl2/Ccl17/Ifng/Lif/Il4/Tnf/Tgfb1/Il13/Il33/Cx3cl1/Cxcl3/Ccl5/Il10/Csf1,Temp_main,Up
GOCC_ENDOPLASMIC_RETICULUM_LUMEN,Endoplasmic Reticulum Lumen,GO_CC,2.19961316,3.69500961e-9,3.8304933e-7,99,Timp1/C3/Ctsz/Spp1/Plod3/Pdia6/Il23a/Hyou1/Plaur/Igfbp7/Clu/Hsp90b1/Pdgfb/Pdgfa/Adam17/Tor1b/Serpinc1/Ctsc/Tspan5/Ptgs2/Thbs1/P4ha1/Lamc1/Ckap4/Ccn1/Sdc2/Ebi3/Hspa5/Ero1l/Col5a2/Calu/Lgals1/P4ha2/Cercam,Temp_main,Up
GOBP_TISSUE_MORPHOGENESIS,Tissue Morphogenesis,GO_BP,2.00901703,1.84156517e-9,1.10362504e-6,219,Itga5/Ophn1/Itga3/Itgav/Ctsz/Aldh1a2/Perp/Ar/Epha2/Plod3/Plxnb2/Actg1/Itgb5/Ret/Cd44/Pak1/Rbpj/Inhba/Nr4a3/Egfr/Acvrl1/Eomes/Vegfa/Itgb1/Hbegf/Kdm6b/Sdc4/Pdgfa/Wdr1/Nup50/Adam17/Bmpr1a/Etv5/Klf4/Exoc4/Hif1a/Efemp2/Fst/Adm/Srf/Nrp2/Areg/Nrp1/Krt17/Jag1/Smad3/Nf2/Bsg/Vcl/Pafah1b1/Notch2/Lhx2/Mdm2/Spint2/Tgm2/Taf10/Sos1/Mpp5/Rara/Ext1/Lif/Bcl10/Tnf/Actb/Tgfb1/Ptch1/Pkp2/Fermt2/Nphp1/Ezr/Tnni1/Tmed2/Cdc42/Dlg1/Acvr1/Apaf1,Temp_main,Up
GOBP_EMBRYO_DEVELOPMENT,Embryo Development,GO_BP,1.85561756,1.8470712e-9,1.10362504e-6,346,Gja5/Crabp2/Itga5/Itga3/Itgav/Bcl2l1/Aldh1a2/Ar/Epha2/Top1/Cebpb/Plod3/Cdkn1a/Bcr/Plxnb2/Itgb5/Ret/Rbpj/Inhba/Furin/Nr4a3/Egfr/Lman1/Dusp5/Acvrl1/Fosl1/Eomes/Sh2b3/Vegfa/Itgb1/Rbbp8/Noct/Myh10/Kdm6b/Csf2/Map3k20/Pdgfb/Sdc4/Cdon/Pdgfa/Nup50/Zfp36l1/Bmpr1a/Basp1/Chek1/Itgb2/Klf4/Exoc4/Hif1a/Lamc1/Adm/Ccn1/Lats1/Zbtb17/Srf/Bysl/Dusp4/Tra2b/Nrp2/Nrp1/Gins1/Smad3/Polb/Col5a2/Ruvbl2/Acsl4/Nf2/Nolc1/Sulf2/Hdac1/Hdac2/Nf1/Pafah1b1/Psph/Notch2/Lhx2/Sec24d/Spint2/Rock1/Dusp1/Ets2/Taf10/Sos1/Mpp5/Rara/Ext1/Cul4a/Slc35d1/Sparc/Lif/Bcl10/Dusp2/Tnf/Itga4/Junb/Pik3cb/Tgfb1/Ptch1/Plk4/Nectin3/Cdk1/Tead4/Rab14/Rad23b/Tmed2/Cdc42/Dlg1/Acvr1/Nectin1/Marcks/Apaf1/Hopx/Slc30a1/Zbtb16,Temp_main,Up
GOBP_GENERATION_OF_NEURONS,Generation of Neurons,GO_BP,1.80213364,2.33174533e-9,1.11457427e-6,407,Crabp2/C3/Ophn1/Itga3/Spp1/Aldh1a2/Axl/Epha2/Ncs1/Jak2/Cebpb/Ywhag/Plxnb2/Actg1/Ehd1/Ret/Pak1/Rbpj/Inhba/Nr4a2/Il2/Rora/Nr4a3/Egfr/Arl3/Arhgef2/Ccr4/Dab2/Xbp1/Dlg4/Notch3/Eomes/Dennd5a/Vegfa/Itgb1/Fkbp4/Gfi1/Aplp1/Cttn/Ppt1/Myh10/Eif4e/Sdc4/Foxo3/Cdk6/Egr2/Cdon/Adam17/Cd38/Bmpr1a/Kif13b/Hsp90aa1/Thy1/Id1/Klf4/Hif1a/Ppp2r5b/Kif5b/Map6/Tspo/Nlgn2/Arf6/Nfe2l1/Sdc2/Golga4/Pin1/Srf/Xk/Nrp2/Areg/Cflar/Nrp1/Htra2/Vapa/Jag1/Klk8/Apbb1/Arf4/Smad3/Tiam1/Olfm1/Acsl4/Kif5c/Cdc27/Bsg/Hdac1/Vcl/Hdac2/Nf1/Pafah1b1/Notch2/Cul5/Lhx2/Cln8/Rock1/Pak4/Map1b/Cyfip1/Sos1/Aurka/Mpp5/Rara/Pmp22/Ctnna1/Ext1/Atf5/Lif/Wasf1/Ddit4/Ntrk3/Itga4/Ywhae/Ywhah/Actb/Tpbg/Tgfb1/Ptch1/Ogdh/Sema3b/Mettl3/Alcam,Temp_main,Up
HALLMARK_HYPOXIA,Hypoxia,Hallmark,1.95509884,1.73314272e-7,1.4442856e-6,172,Fosl2/Adora2b/Cdkn1a/Serpine1/Ier3/Rbpj/Rora/F3/Eno2/Egfr/Hk2/Plin2/Plaur/Vegfa/Noct/Pdgfb/Sdc4/Foxo3/Cavin1/Jmjd6/Bhlhe40/Tes/Anxa2/P4ha1/Slc2a1/Adm/Ccn1/Sdc2/Hspa5/Hs3st1/Ero1l/Chst2/Ak4/B3galt6/Rragd/Fam162a/Errfi1/Mt2/Tpd52/Pfkp/Stbd1/Pim1/Ndrg1/Tgm2/Dusp1/Csrp2/P4ha2/Aldoa/Kdm3a/Pgf/Atf3/Gcnt2/Ext1/Isg20/Stc2/Ddit4/Gpc1/Tpbg/Cavin3/Pfkfb3/Akap12/Irs2/Hdlbp/Hmox1/Ugp2/Mif,Temp_main,Up
GOBP_APOPTOTIC_SIGNALING_PATHWAY,Apoptotic Signaling Pathway,GO_BP,1.88771521,5.46049807e-9,2.1750984e-6,295,Lgals3/Itgav/Bcl2l1/Hspe1/Perp/Lta/Ar/Epha2/Jak2/Sfn/Dap/Tnfsf11/Cebpb/Fasl/Cdkn1a/Ret/Serpine1/Ier3/Cd44/Bag3/Inhba/Eef1e1/Nr4a2/Hspa1a/Il2/Rrp8/Cd70/Arhgef2/Hyou1/Xbp1/Plaur/Dnaja1/Il1a/Clu/Cttn/Aen/Cd40lg/Ghitm/Csf2/Foxo3/Pycr1/Cd38/Ctsc/Ptgs2/Csnk2a2/Muc1/Thbs1/Klf4/Hif1a/Traf1/Cth/Bcl2l2/Hyal2/Casp8ap2/Phlda3/Cflar/Nrp1/Nupr1/Htra2/Ero1l/Hspb1/Smad3/Polb/Fam162a/Chac1/Hdac1/Bik/Nf1/Cul5/Prkcd/Ppard/Mdm2/Psme3/Sp1/Taf6/Lmna/Ifng/Cd74/Ctnna1/Atf3/Hells/Cul4a/Bcl10/Tnf/Ddit4/Pik3cb/Tgfb1/Tnfrsf1b/Fgfr3/Sfpq/Rhot1/Ubqln1/Usp15/Il33/E2f2/Hmox1/Acvr1/Mif/Apaf1/Cx3cl1/Rps27l/Pparg/Ppif/Brca1/Ltbr/Ripk1/Gclm/Bcl3/Trib3/Hras/Bcap31/Il10/Cycs,Temp_main,Up
GOBP_INFLAMMATORY_RESPONSE,Inflammatory Response,GO_BP,1.7943502,7.05606636e-9,2.40914266e-6,372,Timp1/C3/Plk2/Ptger2/Lta/Irak2/Axl/Fosl2/Epha2/Scn9a/Jak2/Olr1/Tnfsf11/Cebpb/Adora2b/Bcr/Irf5/Sphk1/Serpine1/Ier3/Rhbdf2/Cd44/Nfkb1/Slamf1/Rbpj/Il9/Furin/Il2/Rora/Ccl4/Ccl22/Map2k3/Il23a/F3/Nr4a3/Tnfrsf4/Nr4a1/Ccr4/Adam8/Ccl20/Xbp1/Fosl1/Il1a/Itgb1/Clu/Rel/Cd40lg/Tfrc/Kdm6b/Camk4/Map3k20/Il1r2/Tyro3/Cd36/Adam17/Ctsc/Itgb2/Ptgs2/Ddt/Thbs1/Lrp1/Klf4/Hif1a/Pdcd1/Plscr1/Nfe2l1/Hyal2/Adm/Pbk/Lats1/Il1rl1/Nupr1/Nos2/Stk39/Chst2/Smad3/Cxcl2/Polb/Ecm1/Gzma/Mapk13/Notch2/Gzmb/Prkcd/Nfkbib/Ppard/Lgals1/Ccl17/Acp5/Ly96/Ifng/Mapkapk2/Ext1/Il18r1/Il4/Alox15/Ifngr2/Tnf,Temp_main,Up
GOCC_ANCHORING_JUNCTION,Anchoring Junction,GO_CC,1.76648079,4.50404475e-8,3.50189479e-6,348,Gja5/Itga5/Epcam/Itga3/Itgav/Perp/Epha2/Procr/Lcp2/Mpp1/Ywhag/Actg1/Itgb5/Cd44/Pak1/Hspa1a/Tpm4/Egfr/Arhgef2/Dab2/Hyou1/Anxa5/Plaur/Tns1/Dlg4/Itk/Vegfa/Zyx/Itgb1/Cttn/Traf4/Hsp90b1/Pdlim7/Atp2a2/Sdc4/Wdr1/Cap1/Cldn4/Adam17/S100a11/Gsn/Tes/Plec/Thy1/Itgb2/Pvr/Anxa2/Lrp1/Ahnak/G3bp1/Fscn1/Slc2a1/Arf6/Crb3/Rhog/Bcar1/Hmga1/Nrp1/Hspa5/Vapa/Hspb1/Jag1/Ywhaq/Synpo/Tiam1/Nedd9/Nf2/Bsg/Fhl2/Vcl/Cnn3/Hspa9/Prkcd/Ndrg1/Pcdh1/Sdcbp/Mpp2/Tgm2/Cav2/Csrp2/Pak4/Cyfip1/Prkch/Mpp5/Pmp22/Ctnna1/Lsr/Grb7/Wasf1/Flnb/Itga4/Ywhae/Ywhah/Actb/Sorbs3/Pkp3/Wwp1/Pkp2/Fgfr3/Arf1/Alcam/Plau/Fermt2/Akap12/Sympk/Nectin3/Nphp1/Rras/Cltc/Pik3ca/Trim29/Ezr/Cdc42/Dlg1/Nectin1/Rpl22/Cldn7/Marcks/Cnn2/Sirt2/Cdc42bpa/Adam15/Ect2,Temp_main,Up
