"gene_symbol","ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","contrast"
"Cgas","ENSMUSG00000032344.17",1.12927382,3.28847947,26.0630478,6.08106316e-22,1.19669242e-17,"Geno_main"
"5830416I19Rik","ENSMUSG00000106219.1",1.79005148,0.316741469,21.529026,1.30905232e-19,1.28804203e-15,"Geno_main"
"Rell1","ENSMUSG00000047881.14",0.66391189,3.88965963,17.0317162,8.03686485e-17,5.27191544e-13,"Geno_main"
"Ifit1","ENSMUSG00000034459.8",1.18593658,0.415313199,14.029695,1.33928858e-14,6.58896501e-11,"Geno_main"
"Irf7","ENSMUSG00000025498.15",0.938006863,1.96495256,12.3942348,3.11339544e-13,1.02114182e-09,"Geno_main"
"Ifi27","ENSMUSG00000064215.13",0.583027652,5.11836604,13.190703,2.64584561e-13,1.02114182e-09,"Geno_main"
"Isg15","ENSMUSG00000035692.7",1.05774052,0.675632447,10.791099,9.08940431e-12,2.55529125e-08,"Geno_main"
"Helz2","ENSMUSG00000027580.17",0.30000131,6.32792908,10.2035309,3.38594568e-11,8.32900313e-08,"Geno_main"
"Oasl2","ENSMUSG00000029561.17",0.928405753,1.3023181,9.93396716,6.28220865e-11,1.37363982e-07,"Geno_main"
"Trim12c","ENSMUSG00000057143.15",0.266164342,5.21816241,9.20411926,3.51168433e-10,6.9106436e-07,"Geno_main"
"Oas2","ENSMUSG00000032690.16",0.777652625,-0.205922023,8.95664518,6.3950141e-10,1.14406802e-06,"Geno_main"
"Mx1","ENSMUSG00000000386.16",0.830618556,0.252481613,8.77809169,9.90474635e-10,1.49935003e-06,"Geno_main"
"Ifi208","ENSMUSG00000066677.12",0.823618275,0.996970835,8.79054294,9.6058253e-10,1.49935003e-06,"Geno_main"
"Dhx58","ENSMUSG00000017830.15",0.524935073,3.08158754,8.70564421,1.18428244e-09,1.66467816e-06,"Geno_main"
"Ifi206","ENSMUSG00000037849.8",0.804735875,1.24764544,8.36917913,2.74042426e-09,3.59525393e-06,"Geno_main"
"Zfp362","ENSMUSG00000028799.15",-0.321640911,6.43353035,-8.73443135,3.42536373e-09,4.2129833e-06,"Geno_main"
"Samd9l","ENSMUSG00000047735.14",0.532282373,3.84848685,8.53565855,5.03683698e-09,5.83058323e-06,"Geno_main"
"Rnf213","ENSMUSG00000070327.14",0.756783477,5.15950369,10.4849517,5.36480295e-09,5.86521985e-06,"Geno_main"
"Rtp4","ENSMUSG00000033355.6",0.946758123,1.43571706,8.42067824,7.48553529e-09,7.75304468e-06,"Geno_main"
"Trim25","ENSMUSG00000000275.16",0.169337805,6.59911236,7.82974633,1.08450246e-08,1.06709619e-05,"Geno_main"
"Xaf1","ENSMUSG00000040483.15",0.676933938,2.86632137,7.86803318,4.23976789e-08,3.79247237e-05,"Geno_main"
"Trim30d","ENSMUSG00000057596.13",0.53432638,2.81280405,7.35483972,4.09782304e-08,3.79247237e-05,"Geno_main"
"Ifit3","ENSMUSG00000074896.3",0.779108836,0.350058146,7.22971101,5.22626919e-08,4.47164137e-05,"Geno_main"
"Ifi27l2a","ENSMUSG00000079017.3",0.647215984,5.54915277,8.74993041,1.07640217e-07,8.82604932e-05,"Geno_main"
"Trim30a","ENSMUSG00000030921.17",0.427793323,5.38903517,7.77816558,1.61097703e-07,0.000126809668,"Geno_main"
"Eif2ak2","ENSMUSG00000024079.4",0.251436682,5.52471814,6.59904643,3.2251045e-07,0.000244103198,"Geno_main"
"Pgm2","ENSMUSG00000029171.12",0.221843451,4.32788351,6.45491489,4.22646185e-07,0.000308046455,"Geno_main"
"Oas3","ENSMUSG00000032661.9",0.876655396,2.60192756,7.42511793,4.87370024e-07,0.000342534097,"Geno_main"
"Oasl1","ENSMUSG00000041827.15",0.383513007,-0.740521642,6.21928381,8.07258214e-07,0.000547794289,"Geno_main"
"Mx2","ENSMUSG00000023341.15",0.578643721,1.1444422,6.06393065,1.23980917e-06,0.000813273487,"Geno_main"
