"pathway_id","pathway_name","nes","padj","set_size","sig","direction","contrast"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE193605","Coresh Q Sig Interaction Up Fdr Logfc Gse193605",3.45283927,1.18946889e-28,46,TRUE,"Up","Geno_main"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62757","Coresh Q Sig Interaction Up Fdr Logfc Gse62757",3.32713887,2.2250996e-22,46,TRUE,"Up","Geno_main"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE89069","Coresh Q Sig Interaction Up Fdr Logfc Gse89069",3.30372071,2.04227749e-20,48,TRUE,"Up","Geno_main"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62758","Coresh Q Sig Interaction Up Fdr Logfc Gse62758",3.155521,4.55566605e-16,47,TRUE,"Up","Geno_main"
"CORESH_Q_sig_Interaction_up_fdr_only_GSE94388","Coresh Q Sig Interaction Up Fdr Only Gse94388",3.11231007,4.47640877e-15,48,TRUE,"Up","Geno_main"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE48870","Coresh Q Sig Wt Heat Up Fdr Only Gse48870",-2.01189653,0.000678499952,37,TRUE,"Down","Geno_main"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE80205","Coresh Q Sig Wt Heat Up Fdr Only Gse80205",-1.79313745,0.00490605236,46,TRUE,"Down","Geno_main"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE174225","Coresh Q Sig Wt Heat Up Fdr Only Gse174225",-1.57991412,0.0220761895,49,TRUE,"Down","Geno_main"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE169006","Coresh Q Sig Wt Heat Up Fdr Logfc Gse169006",1.39815939,0.101197852,48,FALSE,"Up","Geno_main"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE65083","Coresh Q Sig Wt Heat Up Fdr Logfc Gse65083",1.36096953,0.112,46,FALSE,"Up","Geno_main"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE46185","Coresh Q Sig Wt Heat Up Fdr Logfc Gse46185",1.34191184,0.115922029,49,FALSE,"Up","Geno_main"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE41833","Coresh Q Sig Wt Heat Up Fdr Logfc Gse41833",1.20634343,0.203384419,44,FALSE,"Up","Geno_main"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE163856","Coresh Q Sig Wt Heat Up Fdr Only Gse163856",-0.921309362,0.661472149,48,FALSE,"Down","Geno_main"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE212127","Coresh Q Sig Wt Heat Up Fdr Only Gse212127",-0.75307662,0.888888889,46,FALSE,"Down","Geno_main"
