"contrast","database","pathway_id","pathway_name","direction","nes","pvalue","padj","padj_pooled","set_size","n_tests_in_db","n_tests_pooled","sig_before_in_db","sig_after_in_db","sig_lost_in_db","core_enrichment"
"Interaction","Hallmark","HALLMARK_INTERFERON_ALPHA_RESPONSE","Interferon-alpha Response","Up",3.14455856,5.29773145e-26,2.64886572e-24,2.53549427e-22,95,50,4786,5,4,1,"Ifi27/Helz2/Irf7/Rtp4/Samd9l/Eif2ak2/Lgals3bp/Trim12c/Mx2/Dhx58/Usp18/Isg15/Trim25/Stat2/Ifit3/Oasl1/Oas1a/Adar/Trafd1/Ddx60/Uba7/Ifih1/Ogfr/Irf9/Cmpk2/Cd47/Herc6/Parp12/Parp14/Sp110/Parp9/Rsad2/Trim5/Trim26/Slc25a28/Ifi44/Ifit2/Il4ra"
"Interaction","Hallmark","HALLMARK_INTERFERON_GAMMA_RESPONSE","Interferon-gamma Response","Up",2.82535921,1.9794685e-23,4.94867124e-22,4.73686812e-20,185,50,4786,5,4,1,"Ifi27/Helz2/Irf7/Rtp4/Xaf1/Samd9l/Rnf213/Eif2ak2/Lgals3bp/Mx2/Dhx58/Usp18/Isg15/Oas3/Trim25/Stat2/Oas2/Ifit3/Oasl1/Adar/Gbp9/Trafd1/Ddx60/Pml/Ifih1/Ogfr/Il2rb/Irf9/Cmpk2/Tapbp/Herc6/Ccl5/Parp12/Parp14/Auts2/Sp110/Rsad2/Znfx1/Cd38/Trim26/Slc25a28/Klrk1/Ifi44/Ifit2/Il4ra/Zbp1/Lcp2/Psme2/Casp4/Stat1/Epsti1/Lysmd2/Tap1/Rbck1/Nmi/Gbp10/Cd40/Cxcl10/Plscr1/Vamp5/Rapgef6/Trim14/Gbp4"
"Interaction","GO_BP","GOBP_DEFENSE_RESPONSE_TO_VIRUS","Defense Response to Virus","Up",2.73728352,1.94142455e-16,4.63806325e-13,3.0972193e-13,117,2389,4786,66,68,-2,"Ifi27/Irf7/Rtp4/Eif2ak2/Trim12c/Mx2/Dhx58/Usp18/Isg15/Oas3/Trim25/Stat2/Oas2/Ifit3/Oasl1/Oas1a/Adar/Ddx60/Pml/Ifih1/Irf9/Tlr7/Il12rb1/Parp9/Rsad2/Znfx1/Rnasel/Trim5/Trim26/Ifit2/Zbp1"
"Interaction","Reactome","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","Interferon-alpha beta Signaling","Up",2.85721084,8.16471927e-16,5.41320887e-13,9.76908661e-13,57,663,4786,63,40,23,"Ifi27/Irf7/Xaf1/Eif2ak2/Mx2/Usp18/Isg15/Oas3/Stat2/Oas2/Ifit3/Oasl1/Oas1a/Adar/Irf9/H2-T23/Rsad2/Rnasel/Ubc/Ifit2"
"Interaction","Reactome","REACTOME_INTERFERON_SIGNALING","Interferon Signaling","Up",2.4533498,1.1626081e-13,3.85404584e-11,9.27373728e-11,164,663,4786,63,40,23,"Ifi27/Irf7/Xaf1/Eif2ak2/Trim12c/Mx2/Usp18/Isg15/Oas3/Trim25/Stat2/Oas2/Ifit3/Oasl1/Oas1a/Adar/Gbp9/Pml/Uba7/Ifih1/Eif4g2/Irf9/H2-T23/Nup98/Rsad2/Rnasel/Trim5/Trim26/Ubc/Ifi44/Ifit2/Pom121"
"Interaction","GO_BP","GOBP_RESPONSE_TO_VIRUS","Response to Virus","Up",2.45986903,4.43689409e-14,5.29986999e-11,4.24699502e-11,167,2389,4786,66,68,-2,"Ifi27/Irf7/Rtp4/Eif2ak2/Trim12c/Mx2/Dhx58/Usp18/Isg15/Oas3/Trim25/Stat2/Oas2/Ifit3/Oasl1/Oas1a/Adar/Ddx60/Pml/Ifih1/Irf9/Tlr7/Ccl5/Il12rb1/Parp9/Rsad2/Znfx1/Rnasel/Trim5/Trim26/Gbf1/Ifi44/Ifit2/Zbp1"
"Interaction","Reactome","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM","Cytokine Signaling in Immune System","Up",2.02088987,1.27938658e-12,2.82744434e-10,7.65393021e-10,436,663,4786,63,40,23,"Ifi27/Irf7/Xaf1/Eif2ak2/Trim12c/Mx2/Usp18/Isg15/Oas3/Trim25/Stat2/Oas2/Ifit3/Oasl1/Oas1a/Adar/Gbp9/Crlf2/Serpinb2/Pml/Uba7/Ifih1/Eif4g2/Il2rb/Irf9/H2-T23/Lcp1/Ccl5/Nup98/Il12rb1/Map3k7/Il11/Rsad2/Hras/Rnasel/Prlr/Trim5/Trim26/Birc3/Cd4/Ubc/Ifi44/Ltbr/Ifit2/Il4ra/Cul1/Relb/Prkaca/Pom121/Il17rb/Irak2/Psme2/Cdk1/Socs2/Mapk9/Src/Cebpd/Grb2/Zeb1/Stat1/Usp14/Rae1/Ptprj/Rps6ka5/Mapkapk2/Csk/Gsto1/Mapk14/H2-Q1/Ager/Msn/Tnfrsf1b/Pou2f1/Shc1/Gbp10/Cbl/Psmd3/Foxo1/Il2ra/Cd40/Cxcl10/Stat5a/Ptpn14/Adrm1/Fyn/Ip6k2/Trim14/Smad3/Gbp4/Tnfrsf1a/Cish/Akt1/Bola2/Nlrc5/Ptk2b/Ptpn1/Mcl1/Trp53/Ebi3/Cd70/Ripk2/Pik3r3/Ppp2cb/Socs5/Dusp3/Furin/Trim21/Map2k3/Rps6ka3/Raf1/Ikbkb/Cnn2/Il18bp/Lck/Adam17/Ilf3/Il10rb/Sod1/Ifitm3/Eif2ak3/Chuk/Eif4a1/Hif1a/Fbxw11/Psmd14/Ccr5/Ywhaz/Ifit1bl1/Il1a/Traf2/Cd44/Bcl2l1/Il18rap/Itgb2/Nup153/Irak1/Plcg1/Ppia/Eif4g3/Kpna2/Mmp9/Nod1/Ccl22/Tnfrsf11b/B2m/Flna/Sos1/Peli1/Mapk8/Fgf2"
"Interaction","GO_BP","GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE","Regulation of Viral Life Cycle","Up",2.72059415,6.54207033e-13,5.20966868e-10,4.47290694e-10,55,2389,4786,66,68,-2,"Eif2ak2/Trim12c/Mx2/Isg15/Oas3/Trim25/Oas2/Oasl1/Oas1a/Adar/Ifih1/Pabpc1/Ccl5/Axl/Rsad2/Znfx1/Rnasel/Trim5/Vps37b"
"Interaction","GO_BP","GOBP_REGULATION_OF_VIRAL_PROCESS","Regulation of Viral Process","Up",2.62857564,1.20529428e-11,7.1986201e-09,6.40948714e-09,60,2389,4786,66,68,-2,"Eif2ak2/Trim12c/Mx2/Isg15/Oas3/Trim25/Oas2/Oasl1/Oas1a/Adar/Ifih1/Pabpc1/Ccl5/Axl/Rsad2/Znfx1/Rnasel/Trim5/Vps37b"
"Interaction","WikiPathways","WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION","Type I Interferon Induction and Signaling During Sarscov2 Infection","Up",2.64437127,3.85585296e-11,1.60789069e-08,1.84541123e-08,19,417,4786,30,19,11,"Irf7/Eif2ak2/Oas3/Stat2/Oas2/Oas1a/Ifih1/Irf9/Tlr7"
