"contrast","database","pathway_id","pathway_name","direction","nes","pvalue","padj","padj_pooled","set_size","n_tests_in_db","n_tests_pooled","sig_before_in_db","sig_after_in_db","sig_lost_in_db","core_enrichment"
"WT_heat","GO_MF","GOMF_ACETYLTRANSFERASE_ACTIVITY","Acetyltransferase Activity","Down",-1.55765917,0.0222376919,0.0984036694,0.0910402957,27,386,4787,64,64,0,"Brpf3/Fasn/Arrb1/Gtf2b/Hadhb/Ncoa3/Sat1/Acaa2/Kat2b/Acat1"
"WT_heat","GO_BP","GOBP_CELLULAR_COMPONENT_DISASSEMBLY","Cellular Component Disassembly","Up",1.31308619,0.031757691,0.0986594587,0.11430381,165,2389,4787,546,508,38,"C3/Plek/Dyrk3/Furin/Adam8/Arhgef2/Itgb1/Atp2a2/Abce1/Dusp3/Wdr1/Plin2/Gsn/Grwd1/Arf6/Lrp1/Lamc1/Kif5b/Etf1/Fscn1/Plk3/Nedd9/Gabarapl1/Hmga1/Pafah1b1/Aurka/Cltc/Cdk1/Pak4/Tgfb1/Tnf/Ubqln1/Cul5/Adam15/Map1b/Try5/Map1s/Pik3ca/Tpx2/Prkaa2/Tmprss6/Scaf4/Gspt1/Ddit4/Apaf1/Snx14/Cx3cl1/Rac2/Upf1/Scaf8/Diaph3/Sptb"
"WT_heat","WikiPathways","WP_TCELL_ACTIVATION_SARSCOV2","Tcell Activation Sarscov2","Up",1.49115086,0.0168294642,0.0988434731,0.0763856522,65,417,4787,51,57,-6,"Bcl2l1/Lta/Lcp2/Jak2/Cdkn1a/Cd80/Nfkb1/Il2/Il23a/Foxo3/Il12rb1/Sos1/Ifng/Bcl10/Il4/Hras/Tnf/Il18r1/Myd88"
"WT_heat","GO_BP","GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS","Proteolysis Involved in Protein Catabolic Process","Down",-1.26947703,0.0318717049,0.0988850689,0.114456003,249,2389,4787,546,508,38,"Cdk2/Psmb2/Fbxo9/Psmd8/Dtx4/Egf/Ptk2b/Hdac6/Psma7/Ypel5/Arrb2/Vps37b/Chmp1a/Casp8/Pkd1/Uchl5/Araf/Pten/Dnajb9/Adrm1/Rchy1/Psma2/Ctso/Fbxw7/Ikbkg/Arrb1/Psmb3/Rbck1/Spop/Fbxo7/Fbxo4/Klhl24/Ranbp10/Huwe1/Psmb8/Smurf2/Pias1/Psmb9/Herc6/Ctss/Dcaf11/Nfe2l2/Ctnnb1/Psme1/Trim26/Nub1/Gclc/Ddit3/Trim21/Spsb1/Mapk9/Birc2/Ube2i/Peli1/Psmb10/Rnf123/Herc3/Socs2/Trib2/Uba7/Smurf1"
"WT_heat","GO_CC","GOCC_TIGHT_JUNCTION","Tight Junction","Up",1.52439088,0.0234141029,0.0989830558,0.0942668718,39,311,4787,41,49,-8,"Epcam/Epha2/Arhgef2/Traf4/Cldn4/Crb3/Vapa/Synpo/Pmp22/Actb/Sympk/Ect2/Lsr/Nphp1/Cldn7"
"WT_heat","GO_CC","GOCC_PLATELET_ALPHA_GRANULE","Platelet alpha Granule","Up",1.51686477,0.0238075331,0.0989830558,0.0952102431,41,311,4787,41,49,-8,"Timp1/Srgn/Serpine1/Vegfa/Clu/Pdgfb/Cd36/Thbs1/Pdgfa/Cyb5r1/Aldoa/Tgfb1"
"WT_heat","GO_CC","GOCC_VACUOLE","Vacuole","Up",1.27947517,0.0238705119,0.0989830558,0.0953413667,264,311,4787,41,49,-8,"Sdc1/C3/Ctsz/Srgn/Fasl/M6pr/Dab2/Adam8/Stx7/Ppt1/Bst2/Slc29a3/Cap1/Ctsb/Stom/Tfrc/Sdc4/Akr1b8/Ggh/Trip10/Gm2a/Ctsc/Ahnak/Lrp1/Anxa2/Ckap4/Vapa/Kif5b/Glipr1/Hsp90aa1/Gabarapl1/Hyal2/Tmem9b/Dram1/Slc12a4/Tmem97/Pikfyve/Sdc2/Litaf/Sdcbp/Cd74/Prkcd/Bcl10/Cltc/Rragd/Ap1g1/Gpc1/Gzmb/Acp5/Enpp1/Ap2b1/Ubqln1/Gnb4/Gzma/Try5/Gca/Fabp5/Ctsf/Lamp3/Dram2/Arl8a/Cpa2/Rab14/Vamp4/Ifitm1/Atp6v0b/Gnai3"
"WT_heat","GO_BP","GOBP_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT","Negative Regulation of Neuron Projection Development","Up",1.47509472,0.0321043128,0.0994775658,0.115032444,40,2389,4787,546,508,38,"Spp1/Dab2/Dennd5a/Cd38/Gfi1/Adam17/Thy1/Fkbp4/Arf6/Nrp1/Pafah1b1/Hdac2/Pmp22"
"WT_heat","GO_BP","GOBP_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION","Negative Regulation of Cytoskeleton Organization","Down",-1.44314295,0.032177367,0.0995747795,0.115121378,53,2389,4787,546,508,38,"Sptan1/Npm1/Katnb1/Add1/Hdac6/Swap70/Mapre1/Ssh2/Stmn1/Gmfb/Clasp1/Sptbn2/Fgf13/Sptbn1/Was/Add3/Kat2b/Tbcd/Coro1a"
"WT_heat","GO_BP","GOBP_NEGATIVE_REGULATION_OF_NEURON_DIFFERENTIATION","Negative Regulation of Neuron Differentiation","Up",1.55914881,0.0326177056,0.100072307,0.115774686,16,2389,4787,546,508,38,"Notch3/Foxo3/Eif4e/Jag1/Id2/Notch1/Lsm1/Hey1"
"WT_heat","GO_BP","GOBP_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS","Regulation of Cell Migration Involved in Sprouting Angiogenesis","Up",1.55317156,0.0327749907,0.100072307,0.11596,18,2389,4787,546,508,38,"Plk2/Vegfa/Ptgs2/Thbs1/Klf4/Nrp1/Anxa1/Itgb1bp1/Notch1/Hmox1"
"WT_heat","GO_BP","GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION","CD8 Positive alpha beta T Cell Differentiation","Down",-1.54908195,0.0330073822,0.100072307,0.116184581,16,2389,4787,546,508,38,"Psma4/Psmb2/Psma7/Psma2/Psmb3/Irf1/Psmb9/Gpr18/Psmb10"
