"pathway_id","pathway_name","nes","padj","set_size","sig","direction","contrast"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE193605","Coresh Q Sig Interaction Up Fdr Logfc Gse193605",3.39251505,4.0623982e-28,46,TRUE,"Up","Geno_at_39"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE89069","Coresh Q Sig Interaction Up Fdr Logfc Gse89069",3.33624873,5.11202897e-25,48,TRUE,"Up","Geno_at_39"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62757","Coresh Q Sig Interaction Up Fdr Logfc Gse62757",3.3149696,3.20878788e-24,46,TRUE,"Up","Geno_at_39"
"CORESH_Q_sig_Interaction_up_fdr_only_GSE94388","Coresh Q Sig Interaction Up Fdr Only Gse94388",3.18163436,1.3973736e-19,48,TRUE,"Up","Geno_at_39"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62758","Coresh Q Sig Interaction Up Fdr Logfc Gse62758",3.0937441,1.516284e-16,47,TRUE,"Up","Geno_at_39"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE48870","Coresh Q Sig Wt Heat Up Fdr Only Gse48870",-1.60711471,0.0504565992,37,FALSE,"Down","Geno_at_39"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE65083","Coresh Q Sig Wt Heat Up Fdr Logfc Gse65083",1.44315504,0.0972222222,46,FALSE,"Up","Geno_at_39"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE41833","Coresh Q Sig Wt Heat Up Fdr Logfc Gse41833",1.42977399,0.0972222222,44,FALSE,"Up","Geno_at_39"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE80205","Coresh Q Sig Wt Heat Up Fdr Only Gse80205",-1.38069084,0.101010101,46,FALSE,"Down","Geno_at_39"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE174225","Coresh Q Sig Wt Heat Up Fdr Only Gse174225",-1.13253072,0.308959157,49,FALSE,"Down","Geno_at_39"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE169006","Coresh Q Sig Wt Heat Up Fdr Logfc Gse169006",1.12190019,0.308959157,48,FALSE,"Up","Geno_at_39"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE46185","Coresh Q Sig Wt Heat Up Fdr Logfc Gse46185",0.989589822,0.556866304,49,FALSE,"Up","Geno_at_39"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE212127","Coresh Q Sig Wt Heat Up Fdr Only Gse212127",-0.933686213,0.624708625,46,FALSE,"Down","Geno_at_39"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE163856","Coresh Q Sig Wt Heat Up Fdr Only Gse163856",-0.792430617,0.84,48,FALSE,"Down","Geno_at_39"
