pathway_id,pathway_name,database,nes,pvalue,padj,set_size,core_enrichment,contrast,direction
REACTOME_REGULATION_OF_MECP2_EXPRESSION_AND_ACTIVITY,Regulation of Mecp2 Expression and Activity,Reactome,1.59693779,0.0405847698,0.164919665,15,Ago2/Ncor2/Camk4/Hipk2/Aurkb/Prkaca,Geno_at_39,Up
REACTOME_SUMOYLATION_OF_UBIQUITINYLATION_PROTEINS,Sumoylation of Ubiquitinylation Proteins,Reactome,1.59650606,0.0406839506,0.164919665,15,Pml/Nup98/Pom121/Nup153,Geno_at_39,Up
REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING,Interleukin 6 Family Signaling,Reactome,1.58153684,0.0404321719,0.164919665,18,Cbl/Jak2/Stat1/Il11/Ptpn11/Il6,Geno_at_39,Up
REACTOME_TURBULENT_OSCILLATORY_DISTURBED_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_INTEGRINS_IN_ENDOTHELIAL_CELLS,Turbulent Oscillatory Disturbed Flow Shear Stress Activates Signaling by Piez...,Reactome,1.57000335,0.040794608,0.164919665,20,Itgav/Ptk2/Nfkb1/Ptpn1/Stat1/Vcl/Chuk/Ikbkb,Geno_at_39,Up
GOBP_INTRACELLULAR_TRANSPORT,Intracellular Transport,GO_BP,1.3074409,0.016160397,0.164987984,408,Ifi27/Adar/Pml/Cltc/Nup98/Wasf1/Gbf1/Cblb/Abcd3/Inpp5f/Ap1g1/Evi5/Nf1/Pex14/Vps37b/Cul3/Bard1/Xpot/Uso1/Fbxw11/E2f3/Trak2/Tsc2/Srpr/Tgfbrap1/Jak2/Dennd5a/Pom121/Atp2a2/Ptpn1/Gsk3b/Picalm/Lcp1/Tap1/Diaph3/Cdh1/Ap2b1/Agfg1/Smad3/Ppif/Map6/Nup153/Itsn1/Edem1/Vps45/Hif1a/Alms1/Dync1h1/Xpo7/Ptpn11/Pafah1b1/Atp6v0d1/Ptpn14/Slc30a3/Mon2/Pex7/Flna/Pikfyve/Kpnb1/Ehd1/Sfpq/Lrpprc/Pcnt/Eif4a3/Snx9/Arhgef2/Abca2/Tlk1/Tnpo2/Hspa1a/M6pr/Cttn/Ube2j1/Bcr/Notch1/Tmem97/Prkaca/Xpo1/Syne1/Copa/Kif5b/Vapa/Mapk14/Bak1/Clu/Ipo7/Upf1/Nup205/Stard4/Erh/Yipf6/Cse1l/Vps37d/Hyou1/Kifap3/Bcl2l1/Ect2/Ccdc88a/Trim28/Bid/Als2/Msn/Timm17a/Ldlr/Rae1/Pex1/Abcd1/Atxn1/Stxbp1,Geno_at_39,Up
REACTOME_IRON_UPTAKE_AND_TRANSPORT,Iron Uptake and Transport,Reactome,-1.49535325,0.0415590228,0.165115362,25,Slc11a2/Tfrc/Atp6ap1/Cp/Atp6v0b/Trf/Atp6v1f/Hmox2/Tcirg1/Ftl1/Atp6v0e/Atp6v1e1/Atp6v1g1/Atp6v1d,Geno_at_39,Down
REACTOME_CIRCADIAN_CLOCK,Circadian Clock,Reactome,1.47316913,0.0415901439,0.165115362,51,Helz2/Rxra/Cul1/Ncoa6/Fbxw11/Psmd14/Crebbp/Ubc/Csnk1e/Csnk2a2/Sik1,Geno_at_39,Up
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,G alpha Q Signalling Events,Reactome,1.46042319,0.0413510942,0.165115362,57,Rps6ka3/Avpr1a/Dgkg/Itpr2/Gpr65/Egfr/Gngt2/Sos1/Trio/Kalrn/Prkce/Dgkh/Grb2/Prkca/Mgll/Grk2/Rps6ka1/Grk5,Geno_at_39,Up
WP_EMBRYONIC_STEM_CELL_PLURIPOTENCY_PATHWAYS,Embryonic Stem Cell Pluripotency Pathways,WikiPathways,1.44414265,0.0466133252,0.166134672,56,Apc/Mtor/Fgf13/Gsk3b/Egfr/Sos1/Ptpn11/Acvr1/Map2k3/Braf/Raf1/Grb2/Fgfr3/Pik3cd/Bmpr2/Mapk1/Fgf18/Lif/Axin1/Pdgfb/Akt1/Araf/Akt3/Wnt16/Egf,Geno_at_39,Up
REACTOME_REGULATION_OF_EXPRESSION_AND_FUNCTION_OF_TYPE_II_CLASSICAL_CADHERINS,Regulation of Expression and Function of Type II Classical Cadherins,Reactome,1.58002176,0.0424115106,0.166383618,16,Adam19/Ago2/Sp1,Geno_at_39,Up
REACTOME_NOD1_2_SIGNALING_PATHWAY,Nod1 2 Signaling Pathway,Reactome,1.54214764,0.0423263773,0.166383618,25,Casp4/Birc3/Casp9/Nod1/Ubc/Chuk/Irak2/Ikbkb/Mapk14/Irak1,Geno_at_39,Up
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Unfolded Protein Response,Hallmark,1.31041307,0.0700095828,0.166689483,109,Dcp1a/Dcp2/Iars/Dkc1/Ern1/Xpot/Arfgap1/Shc1/Serp1/Srpr/Srprb/Ifit1bl1/Slc1a4/Edc4/Pdia5/Eif4g1/Exosc4/Edem1/Exosc2/Spcs3/Atp6v0d1/Atf3/Tatdn2/Eif4a3/Cebpg,Geno_at_39,Up
GOBP_POSITIVE_REGULATION_OF_MIRNA_METABOLIC_PROCESS,Positive Regulation of miRNA Metabolic Process,GO_BP,1.62501802,0.0164477485,0.167207112,43,Notch2/Pnpt1/Nfkb1/Egfr/Smad3/Gata3/Pou2f1/Hif1a/Srebf2/Il6/Ar/Bmp2/Srf,Geno_at_39,Up
GOBP_IMMUNE_EFFECTOR_PROCESS,Immune Effector Process,GO_BP,1.34817749,0.0165349041,0.167380873,285,Irf7/Dhx58/Ddx60/H2-T23/Rsad2/Bst2/Gbf1/Itgal/Mtor/Notch2/Ap1g1/Cbl/Il12rb1/Il2rb/Cd70/Dock10/Ptk2/H2-Q7/Tmbim6/Camk4/Relb/Lcp1/Abcc1/Gpr65/Irf4/Arg1/Nmi/Gata3/Cd86/Cd28/Eomes/C2/Ywhag/Dock2/Vav3/Adam17/Il4/Atp7a/Ptprc/Stat5a/Prkce/C1qbp/Il6/Cebpg/Jagn1/H2-Q1/H2-D1/Grb2/Cd160/Exo1/Nsd2/Bcr/Icosl/Kif5b/Cfi,Geno_at_39,Up
