arm,arm_label,arm_hypothesis,method,feature,feature_kind,contrast,score,pvalue,padj,direction,significant
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Cell Surface Receptor Signaling Pathway Via Jak Stat,gene_set,KO_heat,-1.57926016,0.00625721699,0.0406209005,Down,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Cell Surface Receptor Signaling Pathway Via Jak Stat,gene_set,Interaction,1.58343564,0.00493582099,0.111990388,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Cell Surface Receptor Signaling Pathway Via Jak Stat,gene_set,Temp_main,-1.47021468,0.0200272513,0.0779236213,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Cellular Response To Type Ii Interferon,gene_set,WT_heat,-1.17795086,0.189239332,0.315400128,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Cellular Response To Type Ii Interferon,gene_set,KO_heat,-1.34658955,0.0654867257,0.180995005,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Cellular Response To Type Ii Interferon,gene_set,Interaction,1.39731194,0.0658594973,0.414079136,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Cellular Response To Type Ii Interferon,gene_set,Temp_main,-1.24444982,0.123861566,0.253015608,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Interferon Beta Production,gene_set,WT_heat,1.29989392,0.115789474,0.226738568,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Interferon Beta Production,gene_set,KO_heat,-0.973058198,0.489130435,0.578378808,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Interferon Beta Production,gene_set,Interaction,2.13734612,1.5258223e-5,0.00101255263,Up,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Interferon Beta Production,gene_set,Temp_main,0.966630919,0.502183406,0.588384579,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Interferon Mediated Signaling Pathway,gene_set,WT_heat,-1.46222834,0.0305743657,0.092932629,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Interferon Mediated Signaling Pathway,gene_set,KO_heat,-1.76071824,0.0021273826,0.0210396433,Down,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Interferon Mediated Signaling Pathway,gene_set,Interaction,2.52028914,1.85684521e-9,4.92889244e-7,Up,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Interferon Mediated Signaling Pathway,gene_set,Temp_main,-1.62820444,0.00694473973,0.0407640865,Down,TRUE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Negative Regulation Of Receptor Signaling Pathway Via Jak Stat,gene_set,WT_heat,-1.19037839,0.24853229,0.374601666,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Negative Regulation Of Receptor Signaling Pathway Via Jak Stat,gene_set,KO_heat,-1.31084363,0.143403442,0.286118168,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Negative Regulation Of Receptor Signaling Pathway Via Jak Stat,gene_set,Interaction,1.03547023,0.421052632,0.851788698,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Negative Regulation Of Receptor Signaling Pathway Via Jak Stat,gene_set,Temp_main,-1.26574609,0.184261036,0.327067916,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Negative Regulation Of Type I Interferon Production,gene_set,WT_heat,0.780583168,0.792607803,0.814075684,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Negative Regulation Of Type I Interferon Production,gene_set,KO_heat,-1.16544055,0.273244782,0.416049575,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Negative Regulation Of Type I Interferon Production,gene_set,Interaction,1.72308007,0.00867015733,0.153429673,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Negative Regulation Of Type I Interferon Production,gene_set,Temp_main,-1.05746826,0.381226054,0.498252872,Down,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Negative Regulation Of Type Ii Interferon Production,gene_set,WT_heat,1.31839082,0.130165289,0.245822036,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Negative Regulation Of Type Ii Interferon Production,gene_set,KO_heat,1.24277331,0.180043384,0.331885528,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Negative Regulation Of Type Ii Interferon Production,gene_set,Interaction,0.836842455,0.695984704,0.959992758,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Negative Regulation Of Type Ii Interferon Production,gene_set,Temp_main,1.23859015,0.182012848,0.325846028,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Positive Regulation Of Interferon Beta Production,gene_set,WT_heat,1.29248673,0.13963039,0.256767936,Up,FALSE
IFN_ISG,IFN/ISG (cGAS-dependent hypothesis),cGAS-dependent,GSEA:GO_BP,Positive Regulation Of Interferon Beta Production,gene_set,KO_heat,-0.956291979,0.495344507,0.582698306,Down,FALSE
