pathway_id,pathway_name,database,nes,pvalue,padj,set_size,core_enrichment,contrast,direction
HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNF-alpha Signaling via NF-kappaB,Hallmark,2.36401715,1.10991002e-14,5.54955009e-13,189,Plek/Plk2/Cebpb/Fosl2/Olr1/Gfpt2/Tnfaip8/Ehd1/Cd44/Gch1/Cdkn1a/Cd80/Sphk1/Inhba/Nfkb1/Nr4a2/Map2k3/Serpine1/Ccl4/F3/Nr4a3/Ier3/Il23a/Ccl20/Nr4a1/Dusp5/Il1a/Fosl1/Plaur/Rel/Dennd5a/Vegfa/Atp2b1/Nfkb2/Hbegf/Kdm6b/Nfat5/Egr2/Btg3/Msc/Csf2/Yrdc/Gpr183/Sdc4/Ptgs2/Bhlhe40/Egr3/Trip10/Rcan1/Cd83/Cflar/Tnfsf9/Egr1/Tnfrsf9/Klf4/Ccn1/Traf1/Smad3/Areg/Nfkbie/Dusp4/Dram1/Sik1/Jag1/Cxcl2/Litaf/Ifih1/Dusp1/Atf3/Marcks/Serpinb2/Ccl5/Dusp2/Eif1/Plau/Ifngr2/Il7r/Gem/Tnf/Lif/Ets2,WT_heat,Up
GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION,Positive Regulation of Cell Population Proliferation,GO_BP,2.02250794,4.03020675e-13,9.62816393e-10,369,Timp1/Itgav/Epcam/Bcl2l1/Pdcd1lg2/Lta/Aldh1a2/Fosl2/Jak2/Fasl/Ar/Pak1/Cdkn1a/Rbpj/Cd80/Sphk1/Slamf1/Il9/Egfr/Il2/Cd70/F3/Nr4a3/Tgm1/Il23a/Tnfrsf4/Nr4a1/Xbp1/Il1a/Fosl1/Bst2/Slc7a1/Notch3/Vegfa/Itgb1/Acvrl1/Avpr1a/Hbegf/Cd38/Cdon/Cd40lg/Pdgfb/Nop2/Cdk6/Odc1/Adam17/Csf2/Cd274/Bmpr1a/Ccnd2/Tfrc/Il12rb1/Gpr183/Nlgn2/Hif1a/Egr3/Thbs1/Cflar/Tspo/Htr1b/Tnfsf9/Ebi3/Lamc2/Egr1/Rhog/Pdgfa/Lamc1/Sertad1/Ccn1/Klf5/Nrp2/Areg/Hdac1/Nrp1/Gcnt2/Grk5/Tiam1/Notch2/Ntrk3/Sp1/Tipin/Ppard/Nf1/Adm/E2f3/Lhx2/Crip2/Hdac2/Rara/Ecm1/Pgf/Ifng/Mdm2/Sdcbp/Cd74/Atf3/Cdk1/Il4/Pim1/Cul4a/Fgfr3/Ccl5/Actb/Tpd52/Cav2/Il7r/Tgfb1/Hras/Tnf/Lif/Prkch,WT_heat,Up
GOBP_EPITHELIUM_DEVELOPMENT,Epithelium Development,GO_BP,1.99203909,1.24960715e-12,1.49265574e-9,389,Gja5/C3/Itga5/Ophn1/Lgals3/Itgav/Epcam/Ctsz/Anxa4/Cebpb/Aldh1a2/Fosl2/Perp/Jak2/Tnfsf11/Epha2/Irf6/Sfn/Bcr/Plod3/Ar/Plxnb2/Cd44/Actg1/Pak1/Itgb5/Cdkn1a/Rbpj/Ret/Inhba/Egfr/Serpine1/Bdh2/Dab2/Tgm1/Etv4/Xbp1/Vegfa/Itgb1/Acvrl1/Hbegf/Kdm6b/Spred2/Etv5/Ctsb/Pdgfb/Wdr1/Cdk6/Adam17/Ipo7/Bmpr1a/Basp1/Sdc4/Zfp36l1/Nup50/Plec/Cldn4/Hif1a/Nfe2l1/Srf/Lats1/Id1/Pdgfa/Klf4/Gstk1/Klf5/Smad3/Fst/Areg/Hdac1/Nrp1/Pafah1b1/E2f4/Edf1/Notch2/Jag1/Nf2/Ntrk3/Cnn3/Taf10/Spint2/Bsg/Nf1/Krt17/Adm/Lhx2/Sos1/Hdac2/Rara/Ext1/Ifng/Vcl/Gpat4/Bcl10/Tgm2/Marcks/Cdk1/Acadvl/Errfi1/Actb/Rock1/Acvr1/Tgfb1/Tnf/Lif/Prkch/Ptch1/Flnb/Ezr/Myd88/Plk4/Akt2/Lsr/Nphp1/Il13/Tmed2,WT_heat,Up
GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY,Signaling Receptor Regulator Activity,GO_MF,2.22469902,4.20636957e-12,1.62365865e-9,174,Timp1/C3/Lgals3/Pdcd1lg2/Spp1/Lta/Jak2/Tnfsf11/Fasl/Cd80/Inhba/Il9/Tnfrsf11b/Ccl22/Il2/Ccl4/Cd70/Hspa1a/Il23a/Ccl20/Il1a/Vegfa/Clu/Hbegf/Cd40lg/Pdgfb/Csf2/Igfbp7/Cd274/Pvr/Tnfsf9/Ebi3/Pdgfa/Lamc1/Cd48/Ccl17/Fst/Areg/Jag1/Cxcl2/Adm/Pgf/Ifng/Il4/Ccl5/Plau/Lgals1/Tgfb1/Tnf/Lif/Stc2/Sema3b/Il13/Cxcl16/Il11,WT_heat,Up
GOMF_CYTOKINE_ACTIVITY,Cytokine Activity,GO_MF,2.48662436,1.30674783e-11,2.52202332e-9,77,Timp1/C3/Spp1/Lta/Tnfsf11/Fasl/Inhba/Il9/Tnfrsf11b/Ccl22/Il2/Ccl4/Il23a/Ccl20/Il1a/Vegfa/Cd40lg/Csf2/Tnfsf9/Ebi3/Ccl17/Areg/Cxcl2/Ifng/Il4/Ccl5/Tgfb1/Tnf/Lif/Il13/Cxcl16/Il11,WT_heat,Up
HALLMARK_IL2_STAT5_SIGNALING,IL-2/STAT5 Signaling,Hallmark,2.08853169,7.36847917e-10,1.84211979e-8,197,Galm/Serpinb6a/Fah/Itgav/Myo1c/Bcl2l1/Ctsz/Spp1/Anxa4/Ptger2/Ncs1/Tnfsf11/Irf6/Glipr2/Scn9a/Cd44/Rnh1/Furin/Batf3/Rora/Tnfrsf4/Ccr4/Etv4/Xbp1/Eomes/Hk2/Aplp1/Dennd5a/Irf8/Spred2/Cdcp1/Plin2/Nop2/Praf2/Odc1/Csf2/Lrrc8c/Ccnd2/Rgs16/Serpinc1/Il1r2/Bhlhe40/Plec/Plscr1/Cd83/Muc1/Ahnak/Tnfrsf9/Ckap4/Map6/P4ha1/Cd48/Slc1a5/Traf1/Gabarapl1/Nrp1/Tiam1/Umps/Gpr83/Mapkapk2/Alcam/St3gal4/Batf/Il1rl1/Ecm1/Pus1/Tgm2/Tnfrsf1b/Plagl1/Rragd/Pim1/Ndrg1/Cyfip1/Enpp1/Lif/Prkch/Il18r1/Ptch1/Irf4,WT_heat,Up
WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,Overview of Proinflammatory and Profibrotic Mediators,WikiPathways,2.50545137,4.85385173e-11,2.02405617e-8,48,Spp1/Lta/Nfkb1/Il9/Ccl22/Il2/Ccl4/Il23a/Ccl20/Il1a/Vegfa/Csf2/Ebi3/Ccl17/Areg/Cxcl2/Ifng/Il4/Ccl5/Tgfb1/Tnf/Lif/Il13/Cxcl16/Il11,WT_heat,Up
GOCC_CELL_SURFACE,Cell Surface,GO_CC,1.94436939,1.18840961e-10,3.6959539e-8,332,Sdc1/C3/Itga5/Lgals3/Itga3/Itgav/Epcam/Axl/Ctsz/Pdcd1lg2/Anxa4/Procr/Epha2/Slc39a6/Fasl/Plxnb2/Cd44/Bcam/Itgb5/Cd80/Slamf1/Furin/Egfr/S100a10/Eno2/F3/Adam8/Tns1/Tnfrsf4/Ccr4/Plaur/Anxa5/Bst2/Notch3/Vegfa/Cpm/Clu/Itgb1/Acvrl1/Hbegf/Cd38/Cd40lg/Myh10/Ctsb/Pdgfb/Adam17/Cd274/Tyro3/Cd36/Bmpr1a/Tfrc/Il12rb1/Itgb2/Sdc4/Thy1/Il1r2/Nlgn2/Cd83/Thbs1/Pvr/Sulf2/Pdcd1/Mbp/Anxa2/Tnfrsf9/Pdgfa/Antxr2/Hspd1/Hsp90aa1/Slamf7/Areg/Hyal2/Hspa5/Itga10/Notch2/Alcam/Klrd1/Anxa9/Sdc2/Il1rl1/Cd74/Gpc1/Plau/Il7r/Enpp1/Tgfb1/Tnf/Il18r1/Hmmr/Myd88/Itga4/C1s1/Il13/Abcb1a/Gsr/Adam15/Il18rap/Fermt2,WT_heat,Up
GOBP_APOPTOTIC_SIGNALING_PATHWAY,Apoptotic Signaling Pathway,GO_BP,1.97316555,4.68858154e-11,3.73367377e-8,294,Lgals3/Itgav/Bcl2l1/Lta/Cebpb/Perp/Jak2/Tnfsf11/Epha2/Sfn/Fasl/Dap/Ar/Hspe1/Cd44/Cdkn1a/Ret/Inhba/Bag3/Rrp8/Nr4a2/Serpine1/Il2/Cd70/Hspa1a/Arhgef2/Ier3/Eef1e1/Xbp1/Il1a/Hyou1/Plaur/Cttn/Ifi27/Clu/Cd38/Cd40lg/Dnaja1/Aen/Foxo3/Csf2/Csnk2a2/Ptgs2/Ghitm/Hif1a/Thbs1/Cflar/Bcl2l2/Muc1/Pycr1/Ctsc/Cth/Klf4/Traf1/Smad3/Htra2/Hdac1/Nrp1/Psme3/Hyal2/Phlda3/Nupr1/Casp8ap2/Hspb1/Chac1/Sp1/Polb/Ppard/Nf1/Bik/Fam162a/Ifng/Lmna/Mdm2/Cd74/Prkcd/Bcl10/Taf6/Tnfrsf1b/Atf3/Cul4a/Fgfr3/Ctnna1/Acvr1/Tgfb1/Hras/Tnf/Ubqln1/Ltbr/Cul5/Sfpq/Ppif/Hells,WT_heat,Up
GOBP_TISSUE_MORPHOGENESIS,Tissue Morphogenesis,GO_BP,2.08831305,1.09844961e-10,6.5604903e-8,218,Itga5/Ophn1/Itga3/Itgav/Ctsz/Aldh1a2/Perp/Epha2/Plod3/Ar/Plxnb2/Cd44/Actg1/Pak1/Itgb5/Rbpj/Ret/Inhba/Egfr/Nr4a3/Eomes/Vegfa/Itgb1/Acvrl1/Hbegf/Kdm6b/Etv5/Wdr1/Adam17/Bmpr1a/Sdc4/Nup50/Hif1a/Srf/Exoc4/Pdgfa/Klf4/Nrp2/Smad3/Fst/Efemp2/Areg/Nrp1/Pafah1b1/Notch2/Jag1/Nf2/Taf10/Spint2/Bsg/Krt17/Adm/Lhx2/Sos1/Rara/Ext1/Vcl/Mdm2/Bcl10/Tgm2/Pkp2/Actb/Acvr1/Tgfb1/Tnf/Lif/Ptch1/Ezr/Nphp1/Tmed2,WT_heat,Up
GOBP_INFLAMMATORY_RESPONSE,Inflammatory Response,GO_BP,1.88646718,1.76279608e-10,8.42263969e-8,371,Timp1/C3/Axl/Irak2/Plk2/Lta/Ptger2/Cebpb/Fosl2/Jak2/Tnfsf11/Epha2/Bcr/Olr1/Adora2b/Scn9a/Cd44/Rbpj/Rhbdf2/Sphk1/Irf5/Slamf1/Furin/Nfkb1/Il9/Map2k3/Ccl22/Serpine1/Il2/Ccl4/Rora/F3/Adam8/Nr4a3/Ier3/Il23a/Ccl20/Tnfrsf4/Ccr4/Nr4a1/Xbp1/Il1a/Fosl1/Rel/Ifi27/Clu/Itgb1/Cd40lg/Kdm6b/Camk4/Adam17/Tyro3/Map3k20/Cd36/Tfrc/Itgb2/Il1r2/Ptgs2/Hif1a/Plscr1/Nfe2l1/Thbs1/Ctsc/Lrp1/Ddt/Lats1/Pdcd1/Klf4/Stk39/Smad3/Ccl17/Chst2/Hyal2/Pbk/Notch2/Nupr1/Cxcl2/Nos2/Mapkapk2/Polb/Ppard/Adm/Nfkbib/Il1rl1/Ext1/Ecm1/Ifng/Prkcd/Tnfrsf1b/Alox15/Il4/Gzmb/Ccl5/Acvr1/Acp5/Ifngr2/Sirt2/Lgals1/Tgfb1/Tnf/Il18r1,WT_heat,Up
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE,External Encapsulating Structure,GO_CC,2.20788406,7.38932072e-10,1.14903937e-7,138,Timp1/Serpinb6a/Lgals3/Ctsz/Anxa4/Srgn/Plod3/Bcam/Tnfrsf11b/Serpine1/Plod2/S100a10/F3/Lman1/Anxa5/Aplp1/Vegfa/Ctsb/Pdgfb/Igfbp7/Plod1/Serpinc1/Thbs1/Ctsc/Anxa2/Lamc2/Lamc1/Ccn1/Lad1/Hsp90aa1/Efemp2/Thbs3/Sdc2/Ecm1/Tgm2/Eln/Col5a2/Gpc1/Lgals1/Tgfb1,WT_heat,Up
