database,n_overlap_before_alias,gene_set,n_unique_set_genes,n_matched,n_matched_via_alias,n_alias_flagged_for_review,n_alias_rejected_ambiguous,n_expression_filtered,n_below_detection,n_absent_from_reference,set_size_resolved,n_alias_collapsed,reference_vocabulary_available,alias_pairs_applied,alias_pairs_flagged,alias_pairs_rejected
GO_BP,126,GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE,136,126,1,0,2,0,7,0,127,0,FALSE,Rigi->Ddx58,->,Oas1g->Oas1b/Pak3->Stk4
GO_BP,1,GOBP_ACTIVATION_OF_MEIOSIS,3,1,0,0,0,0,2,0,1,0,FALSE,->,->,->
GO_BP,4,GOBP_ACTIVATION_OF_MEMBRANE_ATTACK_COMPLEX,6,4,0,0,1,0,1,0,4,0,FALSE,->,->,Cfb->C2
GO_BP,7,GOBP_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY,8,7,0,0,0,0,1,0,7,0,FALSE,->,->,->
GO_BP,21,GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY,24,21,0,0,0,0,3,0,21,0,FALSE,->,->,->
GO_BP,2,GOBP_ACTIVATION_OF_PROTEIN_KINASE_A_ACTIVITY,2,2,0,0,0,0,0,0,2,0,FALSE,->,->,->
GO_BP,3,GOBP_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY,4,3,0,0,0,0,1,0,3,0,FALSE,->,->,->
GO_BP,23,GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY,29,23,0,0,0,0,6,0,23,0,FALSE,->,->,->
GO_BP,5,GOBP_ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION,5,5,0,0,0,0,0,0,5,0,FALSE,->,->,->
GO_BP,83,GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,101,83,0,0,1,0,17,0,83,0,FALSE,->,->,Tacr1->Spr
GO_BP,37,GOBP_ACUTE_INFLAMMATORY_RESPONSE,56,37,0,0,0,0,19,0,37,0,FALSE,->,->,->
GO_BP,8,GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,11,8,0,0,0,0,3,0,8,0,FALSE,->,->,->
GO_BP,16,GOBP_ACUTE_PHASE_RESPONSE,28,16,0,0,0,0,12,0,16,0,FALSE,->,->,->
GO_BP,10,GOBP_ACYLGLYCEROL_HOMEOSTASIS,20,10,0,0,0,0,10,0,10,0,FALSE,->,->,->
GO_BP,2,GOBP_ACYLGLYCEROL_TRANSPORT,3,2,0,0,0,0,1,0,2,0,FALSE,->,->,->
GO_BP,32,GOBP_ACYL_COA_BIOSYNTHETIC_PROCESS,37,32,0,0,0,0,5,0,32,0,FALSE,->,->,->
GO_BP,55,GOBP_ACYL_COA_METABOLIC_PROCESS,64,55,0,0,0,0,9,0,55,0,FALSE,->,->,->
GO_BP,3,GOBP_ADAPTIVE_IMMUNE_MEMORY_RESPONSE,3,3,0,0,0,0,0,0,3,0,FALSE,->,->,->
GO_BP,224,GOBP_ADAPTIVE_IMMUNE_RESPONSE,249,224,1,0,1,0,23,0,225,0,FALSE,Gfus->Tsta3,->,Il4i1b->Il4i1
GO_BP,166,GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,187,166,1,0,1,0,19,0,167,0,FALSE,Gfus->Tsta3,->,Il4i1b->Il4i1
GO_BP,73,GOBP_ADAPTIVE_THERMOGENESIS,89,73,0,0,0,0,16,0,73,0,FALSE,->,->,->
GO_BP,5,GOBP_ADENINE_TRANSPORT,5,5,0,0,0,0,0,0,5,0,FALSE,->,->,->
GO_BP,3,GOBP_ADENOHYPOPHYSIS_DEVELOPMENT,6,3,0,0,0,0,3,0,3,0,FALSE,->,->,->
GO_BP,3,GOBP_ADENOSINE_METABOLIC_PROCESS,3,3,0,0,0,0,0,0,3,0,FALSE,->,->,->
GO_BP,2,GOBP_ADENOSINE_TO_INOSINE_EDITING,2,2,0,0,0,0,0,0,2,0,FALSE,->,->,->
GO_BP,5,GOBP_ADENOSINE_TRANSPORT,5,5,0,0,0,0,0,0,5,0,FALSE,->,->,->
GO_BP,6,GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY,7,6,0,0,0,0,1,0,6,0,FALSE,->,->,->
GO_BP,4,GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY,4,4,0,0,0,0,0,0,4,0,FALSE,->,->,->
GO_BP,44,GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,58,44,0,0,1,0,13,0,44,0,FALSE,->,->,Tacr1->Spr
GO_BP,3,GOBP_ADENYLATE_CYCLASE_ACTIVATING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY,3,3,0,0,0,0,0,0,3,0,FALSE,->,->,->
GO_BP,0,GOBP_ADENYLATE_CYCLASE_INHIBITING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY,2,0,0,0,0,0,2,0,0,0,FALSE,->,->,->
GO_BP,2,GOBP_ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY,2,2,0,0,0,0,0,0,2,0,FALSE,->,->,->
GO_BP,1,GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY,1,1,0,0,0,0,0,0,1,0,FALSE,->,->,->
GO_BP,0,GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY,1,0,0,0,0,0,1,0,0,0,FALSE,->,->,->
GO_BP,20,GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,33,20,0,0,0,0,13,0,20,0,FALSE,->,->,->
GO_BP,3,GOBP_ADENYLATE_CYCLASE_INHIBITING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY,6,3,0,0,0,0,3,0,3,0,FALSE,->,->,->
GO_BP,60,GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,87,60,0,0,1,0,26,0,60,0,FALSE,->,->,Tacr1->Spr
GO_BP,7,GOBP_ADHERENS_JUNCTION_ASSEMBLY,7,7,0,0,0,0,0,0,7,0,FALSE,->,->,->
GO_BP,3,GOBP_ADHERENS_JUNCTION_MAINTENANCE,3,3,0,0,0,0,0,0,3,0,FALSE,->,->,->
GO_BP,21,GOBP_ADHERENS_JUNCTION_ORGANIZATION,27,21,0,0,0,0,6,0,21,0,FALSE,->,->,->
GO_BP,8,GOBP_ADHESION_OF_SYMBIONT_TO_HOST,11,8,0,0,0,0,3,0,8,0,FALSE,->,->,->
GO_BP,5,GOBP_ADHESION_OF_SYMBIONT_TO_HOST_CELL,8,5,0,0,0,0,3,0,5,0,FALSE,->,->,->
GO_BP,5,GOBP_ADIPONECTIN_ACTIVATED_SIGNALING_PATHWAY,6,5,0,0,0,0,1,0,5,0,FALSE,->,->,->
GO_BP,28,GOBP_ADIPOSE_TISSUE_DEVELOPMENT,33,28,0,0,0,0,5,0,28,0,FALSE,->,->,->
GO_BP,4,GOBP_ADP_BIOSYNTHETIC_PROCESS,4,4,0,0,0,0,0,0,4,0,FALSE,->,->,->
GO_BP,5,GOBP_ADP_TRANSPORT,5,5,0,0,0,0,0,0,5,0,FALSE,->,->,->
GO_BP,9,GOBP_ADRENAL_GLAND_DEVELOPMENT,11,9,0,0,0,0,2,0,9,0,FALSE,->,->,->
GO_BP,7,GOBP_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY,10,7,0,0,0,0,3,0,7,0,FALSE,->,->,->
GO_BP,2,GOBP_ADRENOMEDULLIN_RECEPTOR_SIGNALING_PATHWAY,2,2,0,0,0,0,0,0,2,0,FALSE,->,->,->
GO_BP,41,GOBP_ADULT_BEHAVIOR,55,41,0,0,0,0,14,0,41,0,FALSE,->,->,->
GO_BP,1,GOBP_ADULT_FEEDING_BEHAVIOR,5,1,0,0,0,0,4,0,1,0,FALSE,->,->,->
GO_BP,4,GOBP_ADULT_HEART_DEVELOPMENT,8,4,0,0,0,0,4,0,4,0,FALSE,->,->,->
