"contrast","role","direction","gate","n_genes"
"WT_heat","primary","down","fdr_logfc",126
"WT_heat","primary","up","fdr_logfc",213
"WT_heat","primary","down","fdr_only",4516
"WT_heat","primary","up","fdr_only",4207
"KO_heat","comparator","down","fdr_logfc",153
"KO_heat","comparator","up","fdr_logfc",239
"KO_heat","comparator","down","fdr_only",4620
"KO_heat","comparator","up","fdr_only",4281
"Interaction","comparator","down","fdr_logfc",0
"Interaction","comparator","up","fdr_logfc",9
"Interaction","comparator","down","fdr_only",0
"Interaction","comparator","up","fdr_only",23
"Geno_at_39","comparator","down","fdr_logfc",0
"Geno_at_39","comparator","up","fdr_logfc",17
"Geno_at_39","comparator","down","fdr_only",5
"Geno_at_39","comparator","up","fdr_only",59
"Geno_at_37","comparator","down","fdr_logfc",0
"Geno_at_37","comparator","up","fdr_logfc",2
"Geno_at_37","comparator","down","fdr_only",1
"Geno_at_37","comparator","up","fdr_only",4
"Temp_main","comparator","down","fdr_logfc",130
"Temp_main","comparator","up","fdr_logfc",216
"Temp_main","comparator","down","fdr_only",5709
"Temp_main","comparator","up","fdr_only",5444
"Geno_main","comparator","down","fdr_logfc",0
"Geno_main","comparator","up","fdr_logfc",4
"Geno_main","comparator","down","fdr_only",4
"Geno_main","comparator","up","fdr_only",56
