"source","contrast","score","p_value","padj"
"Irf3","Interaction",5.9251867,3.17139607e-09,1.04338931e-06
"Irf9","Interaction",5.98616828,2.18568071e-09,1.04338931e-06
"Stat2","Interaction",5.8487094,5.0324488e-09,1.10378377e-06
"Stat1","Interaction",5.30465365,1.14107817e-07,1.87707358e-05
"Irf1","Interaction",3.38168907,0.000721818322,0.0791594093
"Irf2","Interaction",3.39797316,0.000680215697,0.0791594093
"Srebf1","Interaction",3.28387908,0.00102567547,0.084361807
"Usf2","Interaction",3.31342847,0.000923259544,0.084361807
"Gata3","Interaction",2.90188735,0.00371333272,0.271485881
"Cdx2","Interaction",2.56806895,0.0102339933,0.388866417
"Cux1","Interaction",2.5800023,0.00988714706,0.388866417
"Mtf2","Interaction",-2.55462508,0.0106376831,0.388866417
"Nfkb2","Interaction",2.55479013,0.0106326423,0.388866417
"Rel","Interaction",2.60516055,0.00919003119,0.388866417
"Srebf2","Interaction",2.67855792,0.0074001378,0.388866417
"Usf1","Interaction",2.66579017,0.00768703509,0.388866417
"Zfp148","Interaction",2.62217281,0.00874383968,0.388866417
"Znf331","Interaction",-2.55753652,0.0105490769,0.388866417
"Meox2","Interaction",-2.50223547,0.0123492299,0.389027909
"Nfatc2","Interaction",2.48380345,0.0130070122,0.389027909
"Nfkb","Interaction",2.52064202,0.0117219357,0.389027909
"Nr2e1","Interaction",2.48907875,0.012815658,0.389027909
"Rfxank","Interaction",2.46718041,0.0136266225,0.389839896
"Hand2","Interaction",2.42739205,0.0152167243,0.417191857
"Eomes","Interaction",2.28250494,0.0224701663,0.514892993
"Hnf4a","Interaction",2.28733608,0.0221867774,0.514892993
"Hsf1","Interaction",-2.28752997,0.0221754695,0.514892993
"Nr0b1","Interaction",2.27874568,0.0226928523,0.514892993
"Vsx2","Interaction",2.29034788,0.0220116866,0.514892993
