"gene","arm","WT_heat_lfc","KO_heat_lfc","Inter_lfc","Inter_adjP","Inter_sig"
"Ifit1","ISG",0.496594484313308,-0.510561814461705,1.00715629877501,0.00327810716048088,TRUE
"Isg15","ISG",0.556336365880485,-0.3279791199865,0.884315485866984,0.0748180070260787,FALSE
"Irf7","ISG",0.0924178960809021,-0.994001739790504,1.08641963587141,0.000393746858353036,TRUE
"Slc2a1","HIF-specific",0.982895795580667,1.02691653285757,-0.0440207372769024,0.999999999999996,FALSE
"Vegfa","HIF-specific",0.969969171058307,0.954340868094105,0.0156283029642017,0.999999999999996,FALSE
"Egln3","HIF-specific",0.939222396954047,0.863605652265072,0.0756167446889746,0.999999999999996,FALSE
"Bnip3","HIF-specific",-0.210590611511161,-0.155188557891633,-0.0554020536195274,0.999999999999996,FALSE
"Pgk1","shared-glyco",0.225039447623684,0.288560878549079,-0.0635214309253946,0.999999999999996,FALSE
"Ldha","shared-glyco",0.0207723233875772,0.0372744376573824,-0.0165021142698052,0.999999999999996,FALSE
