"gene","arm","hif_class","group","genotype","temp","mean_log2cpm","inter_logFC","inter_adjP"
"Pgk1","HIF / glycolysis arm","shared-glycolytic","WT_37","WT","37C",7.94447963380659,-0.0635214309253946,0.999999999999996
"Pgk1","HIF / glycolysis arm","shared-glycolytic","cGASKO_37","cGASKO","37C",7.93836451979785,-0.0635214309253946,0.999999999999996
"Pgk1","HIF / glycolysis arm","shared-glycolytic","WT_39","WT","39C",8.16951908143027,-0.0635214309253946,0.999999999999996
"Pgk1","HIF / glycolysis arm","shared-glycolytic","cGASKO_39","cGASKO","39C",8.22692539834693,-0.0635214309253946,0.999999999999996
"Ldha","HIF / glycolysis arm","shared-glycolytic","WT_37","WT","37C",11.086168071456,-0.0165021142698052,0.999999999999996
"Ldha","HIF / glycolysis arm","shared-glycolytic","cGASKO_37","cGASKO","37C",11.1081687246056,-0.0165021142698052,0.999999999999996
"Ldha","HIF / glycolysis arm","shared-glycolytic","WT_39","WT","39C",11.1069403948436,-0.0165021142698052,0.999999999999996
"Ldha","HIF / glycolysis arm","shared-glycolytic","cGASKO_39","cGASKO","39C",11.145443162263,-0.0165021142698052,0.999999999999996
"Aldoa","HIF / glycolysis arm","shared-glycolytic","WT_37","WT","37C",10.1770394719948,-0.0184072101822057,0.999999999999996
"Aldoa","HIF / glycolysis arm","shared-glycolytic","cGASKO_37","cGASKO","37C",10.2047911166988,-0.0184072101822057,0.999999999999996
"Aldoa","HIF / glycolysis arm","shared-glycolytic","WT_39","WT","39C",10.5364565850572,-0.0184072101822057,0.999999999999996
"Aldoa","HIF / glycolysis arm","shared-glycolytic","cGASKO_39","cGASKO","39C",10.5826154399434,-0.0184072101822057,0.999999999999996
"Hk2","HIF / glycolysis arm","shared-glycolytic","WT_37","WT","37C",5.227237332232,-0.0553858547358317,0.999999999999996
"Hk2","HIF / glycolysis arm","shared-glycolytic","cGASKO_37","cGASKO","37C",5.08578002795988,-0.0553858547358317,0.999999999999996
"Hk2","HIF / glycolysis arm","shared-glycolytic","WT_39","WT","39C",6.57744381749868,-0.0553858547358317,0.999999999999996
"Hk2","HIF / glycolysis arm","shared-glycolytic","cGASKO_39","cGASKO","39C",6.4913723679624,-0.0553858547358317,0.999999999999996
