pathway_id,pathway_name,database,contrast,nes,pvalue,padj,set_size,core_enrichment,direction
TF_Ahr,Ahr,CollecTRI,Temp_main,0.6477634195573039,0.5171455359918393,0.7133789574059335,130,Cyp1b1/Cyp1a1/Cdkn1b/Ctsd/Ahr/Trf/Rb1/Ache/Xpo1/Crebbp/Mdm2/Cd40/Abcb1a/Myc/Hspb1/Arnt/Bax/Tnf/Star/Polk/Ahrr/Brca1/Smarca4/Serpine1/Ptgs2/Il6/Tgfb1/Ltbp1/Cdkn2a/Atm/Tnfrsf11a/Esr1/Fasl/Btk/Cd2/Nfe2l2/Sdhb/Nrip1/Insm1/Cad/Gucy1a1/Fst/Cdkn2b/Trp53/Aip/Vegfa/Cbr1/Fgfr1/L1cam/Pdlim7,Up
TF_Ahr,Ahr,CollecTRI,WT_heat,0.6032911590446365,0.5463219669913197,0.7396704820582065,130,Cyp1b1/Cyp1a1/Cdkn1b/Ctsd/Ahr/Trf/Rb1/Ache/Xpo1/Crebbp/Mdm2/Cd40/Abcb1a/Myc/Hspb1/Arnt/Bax/Tnf/Star/Polk/Ahrr/Brca1/Smarca4/Serpine1/Ptgs2/Il6/Tgfb1/Ltbp1/Cdkn2a/Atm/Tnfrsf11a/Esr1/Fasl/Btk/Cd2/Nfe2l2/Sdhb/Nrip1/Insm1/Cad/Gucy1a1/Fst/Cdkn2b/Trp53/Aip/Vegfa/Cbr1/Fgfr1/L1cam/Pdlim7,Up
TF_Ahrr,Ahrr,CollecTRI,Geno_at_37,0.7255108567102737,0.46814731512259466,0.9730277056151729,5,Ahr/Ahrr/Myc/Cyp1a1/Arnt,Up
TF_Ahrr,Ahrr,CollecTRI,Geno_at_39,-0.7992243537915781,0.42416997996273664,0.9387630145331737,5,Ahr/Ahrr/Myc/Cyp1a1/Arnt,Down
TF_Ahrr,Ahrr,CollecTRI,Geno_main,-0.1149677296047844,0.9084718735227044,0.9768538453111302,5,Ahr/Ahrr/Myc/Cyp1a1/Arnt,Down
TF_Ahrr,Ahrr,CollecTRI,Interaction,-1.1972287437946414,0.23123183202470396,0.8691229053516896,5,Ahr/Ahrr/Myc/Cyp1a1/Arnt,Down
TF_Ahrr,Ahrr,CollecTRI,KO_heat,1.6438962768974035,0.10021360500803295,0.2930691204234919,5,Ahr/Ahrr/Myc/Cyp1a1/Arnt,Up
TF_Ahrr,Ahrr,CollecTRI,Temp_main,1.4915891368969842,0.1358229185834263,0.33981551493496004,5,Ahr/Ahrr/Myc/Cyp1a1/Arnt,Up
TF_Ahrr,Ahrr,CollecTRI,WT_heat,1.2944928747645945,0.19551041958320067,0.42317715817679613,5,Ahr/Ahrr/Myc/Cyp1a1/Arnt,Up
TF_Aip,Aip,CollecTRI,Geno_at_37,-0.4192945334751193,0.675005468361076,0.9730277056151729,5,Ahr/Esr1/Nfkb2/Rsf1/Tff1,Down
TF_Aip,Aip,CollecTRI,Geno_at_39,-0.2614969220605352,0.7937120597313949,0.9757313304979699,5,Ahr/Esr1/Nfkb2/Rsf1/Tff1,Down
TF_Aip,Aip,CollecTRI,Geno_main,-0.4337908941107941,0.6644450503641053,0.9714496507023326,5,Ahr/Esr1/Nfkb2/Rsf1/Tff1,Down
TF_Aip,Aip,CollecTRI,Interaction,0.08719633604000462,0.9305163389508386,0.9935613412509966,5,Ahr/Esr1/Nfkb2/Rsf1/Tff1,Up
TF_Aip,Aip,CollecTRI,KO_heat,-3.633004634028737,2.8085240082757735e-4,0.005133357770681831,5,Ahr/Esr1/Nfkb2/Rsf1/Tff1,Down
TF_Aip,Aip,CollecTRI,Temp_main,-3.720336624748481,1.9951057799277503e-4,0.004285756497849281,5,Ahr/Esr1/Nfkb2/Rsf1/Tff1,Down
TF_Aip,Aip,CollecTRI,WT_heat,-3.7094206950967235,2.0830523283820867e-4,0.004283276350235666,5,Ahr/Esr1/Nfkb2/Rsf1/Tff1,Down
TF_Aire,Aire,CollecTRI,Geno_at_37,-0.02268012383252054,0.9819056606141185,0.9975049347486656,16,Crebbp/Fos/Tg/Muc6/Cstb/Pias1/Cd28/Aire/Il2ra/Tspoap1/Ica1/Bmp2/Nfkbia/Ifnb1/Rac1/Col2a1,Down
