"gene_symbol","ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","contrast"
"5830416I19Rik","ENSMUSG00000106219.1",1.97062146,0.316741469,16.7589603,1.24001599e-16,1.36931934e-12,"Geno_at_37"
"Cgas","ENSMUSG00000032344.17",1.02250964,3.28847947,16.6870034,1.39165541e-16,1.36931934e-12,"Geno_at_37"
"Rell1","ENSMUSG00000047881.14",0.729633697,3.88965963,13.2354237,5.95992642e-14,3.90951306e-10,"Geno_at_37"
"Zfp362","ENSMUSG00000028799.15",-0.321032286,6.43353035,-6.16448878,1.64923457e-06,0.00811382176,"Geno_at_37"
"Ifit1","ENSMUSG00000034459.8",0.682358434,0.415313199,5.7080048,3.33359783e-06,0.0131203743,"Geno_at_37"
"Pgm2","ENSMUSG00000029171.12",0.248103918,4.32788351,5.1046096,1.80484082e-05,0.0591957709,"Geno_at_37"
"Gm44164","ENSMUSG00000107756.1",0.90409043,3.522218,5.22926085,6.96455459e-05,0.171287561,"Geno_at_37"
"Lbp","ENSMUSG00000016024.9",-0.494251891,1.16579343,-4.61926023,7.02594993e-05,0.171287561,"Geno_at_37"
"Agrn","ENSMUSG00000041936.18",0.435724111,2.1692716,4.58026928,7.83367064e-05,0.171287561,"Geno_at_37"
"Isg15","ENSMUSG00000035692.7",0.615582778,0.675632447,4.44076712,0.000115536301,0.206694442,"Geno_at_37"
"5830444B04Rik","ENSMUSG00000084803.8",-0.572866645,1.77561733,-4.44336493,0.000115495938,0.206694442,"Geno_at_37"
"Cryzl2","ENSMUSG00000033488.11",-0.498969285,0.852542922,-4.33821441,0.00015359449,0.238080405,"Geno_at_37"
"Rnf180","ENSMUSG00000021720.11",-0.229364397,4.8517362,-4.32966741,0.000157276552,0.238080405,"Geno_at_37"
"Chic1","ENSMUSG00000031327.10",0.422009544,0.942505558,4.17407043,0.000241780732,0.339857359,"Geno_at_37"
"Ppp2r2c","ENSMUSG00000029120.10",-0.431846373,-0.00521689468,-4.05406047,0.000336254082,0.441142939,"Geno_at_37"
"Sobp","ENSMUSG00000038248.8",0.353541462,-0.743652708,3.97432145,0.000418215184,0.514378537,"Geno_at_37"
"Gm48627","ENSMUSG00000111292.1",0.409816666,-0.426090429,3.90412768,0.000506367143,0.552200294,"Geno_at_37"
"Gm7887","ENSMUSG00000044211.9",0.164872356,4.89632383,3.88516717,0.000533147293,0.552200294,"Geno_at_37"
"Usp24","ENSMUSG00000028514.15",0.104495572,7.52266289,3.90827132,0.000500692378,0.552200294,"Geno_at_37"
"Gm16299","ENSMUSG00000089679.1",0.623127601,0.689256584,3.85305218,0.00061747295,0.607562509,"Geno_at_37"
"Pyroxd1","ENSMUSG00000041671.13",0.238389267,3.53979926,3.77925656,0.00071023368,0.665556599,"Geno_at_37"
"Gm14327","ENSMUSG00000074521.9",-0.358391252,-0.292838654,-3.73326187,0.000803954211,0.687870214,"Geno_at_37"
"Tmem189","ENSMUSG00000090213.1",-0.160064944,5.16319704,-3.73848611,0.000792730286,0.687870214,"Geno_at_37"
"Irf7","ENSMUSG00000025498.15",0.394797045,1.96495256,3.68869376,0.000906214793,0.743058371,"Geno_at_37"
"Oas2","ENSMUSG00000032690.16",0.448762116,-0.205922023,3.65477728,0.00099241448,0.768362302,"Geno_at_37"
"1810062G17Rik","ENSMUSG00000027713.6",-0.376974631,0.356829506,-3.64630414,0.00101516438,0.768362302,"Geno_at_37"
"Xirp1","ENSMUSG00000079243.4",-0.39103988,2.72267368,-3.57528353,0.0012952576,0.849502784,"Geno_at_37"
"Rgs7bp","ENSMUSG00000021719.9",-0.368296892,-0.439858108,-3.53059919,0.00138137553,0.849502784,"Geno_at_37"
"Tmeff1","ENSMUSG00000028347.14",-0.20344186,5.67406503,-3.59052302,0.00130983538,0.849502784,"Geno_at_37"
"Gprin3","ENSMUSG00000045441.5",0.128850231,7.30490867,3.53850667,0.00135272198,0.849502784,"Geno_at_37"
"Dlg1","ENSMUSG00000022770.17",0.105739729,6.50544716,3.55907428,0.00128086444,0.849502784,"Geno_at_37"
"Smg1","ENSMUSG00000030655.15",0.100201259,8.41346146,3.5558083,0.00129202243,0.849502784,"Geno_at_37"
"Cd86","ENSMUSG00000022901.13",0.303060164,2.49360335,3.50239915,0.00148842614,0.887598121,"Geno_at_37"
"Pdk3","ENSMUSG00000035232.8",-0.120719274,5.51703416,-3.48836637,0.001544646,0.894032019,"Geno_at_37"
