"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","arm","ontology","iea_variant","n_query_annotated","n_universe_annotated","term_size","fold_enrichment","simplify_kept","cluster_id","cluster_size","cluster_representative","k_null_matched_mean","k_null_matched_q95","p_matched","frac_matched_reaching_q","k_null_uniform_mean","p_uniform","frac_uniform_reaching_q"
"GO:0042330","taxis","19/186","264/11390",0.071969696969697,4.40717660475725,7.21671906324228,5.94740699749577e-08,1.43548777985011e-05,1.15874838726329e-05,"ADAM8/C3/CALCA/CCL20/CCL22/CCL3/CCL4/EGR3/EPHA2/F3/FOSL1/GPR183/HBEGF/NR4A1/PDGFB/PLAUR/SEMA4A/SERPINE1/TNFSF11",19,"WT_heat_up","BP","no_iea",186,11390,264,4.40717660475725,FALSE,5,2,"chemotaxis",NA,NA,NA,NA,NA,NA,NA
"GO:0007186","G protein-coupled receptor signaling pathway","24/186","432/11390",0.0555555555555556,3.40203106332139,6.55794187868439,1.42681068656193e-07,3.15681864401827e-05,2.54823382266674e-05,"ADCY4/ADM/ADORA2A/ADORA2B/ANO1/APLP1/AREG/ATP2B4/AVPR1A/BICD1/C3/CALCA/CCL22/CCL3/CCL4/GAP43/GPR183/GRP/PLEK/PTGER2/RGS16/S1PR3/SERPINE1/TGM2",24,"WT_heat_up","BP","no_iea",186,11390,432,3.40203106332139,TRUE,6,23,"G protein-coupled receptor signaling pathway",NA,NA,NA,NA,NA,NA,NA
"GO:0030335","positive regulation of cell migration","22/186","371/11390",0.0592991913746631,3.63127843955598,6.63888871734445,1.61012551412907e-07,3.28837172308667e-05,2.65442554394071e-05,"ADAM8/ANXA3/CCL20/CCL22/CCL3/CCL4/CCN1/CLDN4/DAB2/EGFR/EPHA2/F3/FAM110C/HBEGF/LAMC2/NR4A3/PAK1/PDGFB/PTGS2/SEMA4A/SERPINE1/SPHK1",22,"WT_heat_up","BP","no_iea",186,11390,371,3.63127843955598,TRUE,7,18,"positive regulation of cell migration",NA,NA,NA,NA,NA,NA,NA
"GO:0050865","regulation of cell activation","23/186","405/11390",0.0567901234567901,3.47763175361742,6.54149415749111,1.79587014728292e-07,3.40573945788297e-05,2.74916663147972e-05,"ADAM8/CCL3/CD200/CD40LG/CD70/CD80/EMILIN2/GPR183/HAVCR1/HSPH1/IL1A/IL2/IL23A/INHBA/KLRC1/NR4A3/PDGFB/PLEK/SDC4/SPHK1/TNFSF11/TNFSF14/TNFSF9",23,"WT_heat_up","BP","no_iea",186,11390,405,3.47763175361742,TRUE,1,24,"positive regulation of cell population proliferation",NA,NA,NA,NA,NA,NA,NA
"GO:2000147","positive regulation of cell motility","22/186","383/11390",0.0574412532637076,3.51750470254639,6.45725463545888,2.79304045606748e-07,4.94368160723943e-05,3.9906178024936e-05,"ADAM8/ANXA3/CCL20/CCL22/CCL3/CCL4/CCN1/CLDN4/DAB2/EGFR/EPHA2/F3/FAM110C/HBEGF/LAMC2/NR4A3/PAK1/PDGFB/PTGS2/SEMA4A/SERPINE1/SPHK1",22,"WT_heat_up","BP","no_iea",186,11390,383,3.51750470254639,FALSE,7,18,"positive regulation of cell migration",NA,NA,NA,NA,NA,NA,NA
"GO:0040017","positive regulation of locomotion","22/186","388/11390",0.0567010309278351,3.47217603369915,6.38369534908678,3.48958188735831e-07,5.7905249443352e-05,4.67420310701416e-05,"ADAM8/ANXA3/CCL20/CCL22/CCL3/CCL4/CCN1/CLDN4/DAB2/EGFR/EPHA2/F3/FAM110C/HBEGF/LAMC2/NR4A3/PAK1/PDGFB/PTGS2/SEMA4A/SERPINE1/SPHK1",22,"WT_heat_up","BP","no_iea",186,11390,388,3.47217603369915,TRUE,8,10,"positive regulation of locomotion",NA,NA,NA,NA,NA,NA,NA
"GO:0060326","cell chemotaxis","15/186","191/11390",0.0785340314136126,4.80915385914541,6.84019204022213,5.17802614677462e-07,8.0868584821686e-05,6.52783977389049e-05,"ADAM8/C3/CALCA/CCL20/CCL22/CCL3/CCL4/EGR3/EPHA2/GPR183/HBEGF/NR4A1/PDGFB/SERPINE1/TNFSF11",15,"WT_heat_up","BP","no_iea",186,11390,191,4.80915385914541,TRUE,7,18,"positive regulation of cell migration",NA,NA,NA,NA,NA,NA,NA
"GO:2001236","regulation of extrinsic apoptotic signaling pathway","11/186","101/11390",0.108910891089109,6.66932822314489,7.37356087175334,7.26104139155909e-07,0.000107100360525497,8.64531010129492e-05,"ATF3/CD40LG/CSF2/FASLG/HSPA1A/IL1A/INHBA/LTA/SERPINE1/TNFSF11/TNFSF14",11,"WT_heat_up","BP","no_iea",186,11390,101,6.6693282231449,TRUE,6,23,"G protein-coupled receptor signaling pathway",NA,NA,NA,NA,NA,NA,NA
"GO:0050867","positive regulation of cell activation","17/186","253/11390",0.0671936758893281,4.11470950741638,6.45515117798051,8.0838126425225e-07,0.00011296064508367,9.11836151810294e-05,"ADAM8/CCL3/CD200/CD40LG/CD70/CD80/GPR183/HAVCR1/HSPH1/IL1A/IL2/IL23A/NR4A3/PLEK/TNFSF11/TNFSF14/TNFSF9",17,"WT_heat_up","BP","no_iea",186,11390,253,4.11470950741638,FALSE,1,24,"positive regulation of cell population proliferation",NA,NA,NA,NA,NA,NA,NA
"GO:0045765","regulation of angiogenesis","14/186","180/11390",0.0777777777777778,4.76284348864994,6.55635286591623,1.41283889618065e-06,0.000187554363467981,0.000151396841717042,"ANXA3/ATP2B4/EMILIN2/EPHA2/EPN2/F3/FASLG/HK2/HSPG2/IL17F/IL1A/SERPINE1/SPHK1/TGM2",14,"WT_heat_up","BP","no_iea",186,11390,180,4.76284348864994,FALSE,2,25,"vasculature development",NA,NA,NA,NA,NA,NA,NA
"GO:1901342","regulation of vasculature development","14/186","184/11390",0.0760869565217391,4.65930341280972,6.44755034035941,1.83667003753609e-06,0.000227131199104694,0.000183343887948124,"ANXA3/ATP2B4/EMILIN2/EPHA2/EPN2/F3/FASLG/HK2/HSPG2/IL17F/IL1A/SERPINE1/SPHK1/TGM2",14,"WT_heat_up","BP","no_iea",186,11390,184,4.65930341280972,FALSE,2,25,"vasculature development",NA,NA,NA,NA,NA,NA,NA
