"ontology","mouse_query_nominal","mouse_query_annotated","mouse_universe","mouse_universe_annotated","n_terms_mouse_space","human_arm","n_terms_human_space","n_shared","jaccard","top10_mouse","top10_human"
"BP",213,197,19679,13641,456,"WT_heat_up",384,313,0.59392789373814,"angiogenesis | positive regulation of cytokine production | positive regulation of cell migration | chemotaxis | taxis | cytokine-mediated signaling pathway | cell chemotaxis | extrinsic apoptotic signaling pathway | tissue remodeling | regulation of apoptotic signaling pathway","blood vessel morphogenesis | angiogenesis | positive regulation of cell migration | positive regulation of cytokine production | chemotaxis | taxis | positive regulation of cell motility | positive regulation of locomotion | regulation of angiogenesis | regulation of vasculature development"
"MF",213,196,19679,13392,30,"WT_heat_up",25,24,0.774193548387097,"receptor ligand activity | signaling receptor activator activity | cytokine activity | signaling receptor regulator activity | cytokine receptor binding | tumor necrosis factor receptor binding | tumor necrosis factor receptor superfamily binding | G protein-coupled receptor binding | growth factor activity | calcium-dependent phospholipid binding","receptor ligand activity | signaling receptor activator activity | cytokine activity | signaling receptor regulator activity | cytokine receptor binding | tumor necrosis factor receptor binding | tumor necrosis factor receptor superfamily binding | G protein-coupled receptor binding | growth factor activity | calcium-dependent phospholipid binding"
