"rank","ID","Description","term_size","k_obs","p_adjust_hypergeometric","p_matched","frac_matched_reaching_q","k_null_matched_mean","simplify_kept"
347,"GO:0001936","regulation of endothelial cell proliferation",95,6,0.0379233336,0.152923538,0.111393693,3.7515,FALSE
348,"GO:0048144","fibroblast proliferation",95,6,0.0379233336,0.113443278,0.0753638254,3.3395,TRUE
349,"GO:0090257","regulation of muscle system process",161,8,0.0390702622,0.258370815,0.168837675,6.0615,FALSE
350,"GO:0001938","positive regulation of endothelial cell proliferation",67,5,0.0394471472,0.124937531,0.0740149095,2.6995,FALSE
351,"GO:0008207","C21-steroid hormone metabolic process",21,3,0.039872107,0.0189905047,0.00987925357,0.577,FALSE
352,"GO:0019934","cGMP-mediated signaling",21,3,0.039872107,0.0284857571,0.0185185185,0.6545,FALSE
353,"GO:0035886","vascular associated smooth muscle cell differentiation",21,3,0.039872107,0.0449775112,0.0203389831,0.834,TRUE
354,"GO:0045926","negative regulation of growth",162,8,0.039872107,0.148425787,0.0915953699,5.2795,FALSE
355,"GO:0060669","embryonic placenta morphogenesis",21,3,0.039872107,0.0339830085,0.0170863309,0.756,FALSE
356,"GO:0030100","regulation of endocytosis",236,10,0.0407836157,0.236381809,0.15807904,7.815,FALSE
357,"GO:0048661","positive regulation of smooth muscle cell proliferation",68,5,0.0412184163,0.178910545,0.109832636,3.007,FALSE
358,"GO:1903706","regulation of hemopoiesis",358,13,0.0426311999,0.651174413,0.535,13.787,FALSE
359,"GO:0070374","positive regulation of ERK1 and ERK2 cascade",130,7,0.0427951766,0.323338331,0.207518797,5.5785,FALSE
360,"GO:0042325","regulation of phosphorylation",359,13,0.043390244,0.494752624,0.382,12.5875,FALSE
361,"GO:0010721","negative regulation of cell development",201,9,0.0435362608,0.371814093,0.259629815,7.7865,FALSE
362,"GO:0019722","calcium-mediated signaling",165,8,0.0435362608,0.134432784,0.0819095477,5.1515,FALSE
363,"GO:0060541","respiratory system development",165,8,0.0435362608,0.230884558,0.138415246,5.921,FALSE
364,"GO:0002250","adaptive immune response",446,15,0.0440923607,0.374312844,0.282,13.5225,FALSE
365,"GO:0008637","apoptotic mitochondrial changes",99,6,0.0440923607,0.0889555222,0.0449844881,3.1255,TRUE
366,"GO:1904738","vascular associated smooth muscle cell migration",22,3,0.0440923607,0.0419790105,0.0226283725,0.831,TRUE
367,"GO:2000353","positive regulation of endothelial cell apoptotic process",22,3,0.0440923607,0.0569715142,0.0263157895,0.911,FALSE
368,"GO:0010594","regulation of endothelial cell migration",132,7,0.0451236463,0.287856072,0.170841683,5.4095,TRUE
369,"GO:0042445","hormone metabolic process",132,7,0.0451236463,0.0244877561,0.00686740623,2.9145,TRUE
370,"GO:0048640","negative regulation of developmental growth",70,5,0.0451236463,0.0899550225,0.0388190268,2.4265,FALSE
371,"GO:0019216","regulation of lipid metabolic process",241,10,0.0452999903,0.282858571,0.1935,8.046,FALSE
372,"GO:0007173","epidermal growth factor receptor signaling pathway",100,6,0.0453704274,0.139430285,0.0653394589,3.552,FALSE
373,"GO:0043367","CD4-positive, alpha-beta T cell differentiation",100,6,0.0453704274,0.253873063,0.145675266,4.348,FALSE
374,"GO:2000404","regulation of T cell migration",44,4,0.0453704274,0.071964018,0.0273390036,1.634,FALSE
375,"GO:0030308","negative regulation of cell growth",133,7,0.0463830455,0.148425787,0.0663291139,4.3225,FALSE
376,"GO:0002690","positive regulation of leukocyte chemotaxis",71,5,0.0468134988,0.192403798,0.0860103627,3.058,FALSE
377,"GO:0050830","defense response to Gram-positive bacterium",71,5,0.0468134988,0.0589705147,0.024622272,2.1625,FALSE
378,"GO:0051092","positive regulation of NF-kappaB transcription factor activity",71,5,0.0468134988,0.139430285,0.0574773816,2.745,FALSE
379,"GO:0030879","mammary gland development",101,6,0.0468652539,0.204897551,0.105076142,3.9815,FALSE
380,"GO:0060562","epithelial tube morphogenesis",243,10,0.0468652539,0.431784108,0.303,9.22,FALSE
381,"GO:0003401","axis elongation",23,3,0.0476306792,0.067966017,0.0279329609,0.948,TRUE
382,"GO:0045453","bone resorption",45,4,0.0476306792,0.0569715142,0.0194479297,1.5135,FALSE
383,"GO:0050820","positive regulation of coagulation",23,3,0.0476306792,0.031984008,0.00678294574,0.7125,FALSE
384,"GO:0061900","glial cell activation",45,4,0.0476306792,0.124937531,0.0528409091,1.973,FALSE
385,"GO:0070613","regulation of protein processing",45,4,0.0476306792,0.0374812594,0.00947225981,1.327,FALSE
386,"GO:2000351","regulation of endothelial cell apoptotic process",45,4,0.0476306792,0.124437781,0.0510613884,1.9625,FALSE
