"arm","go_id","go_term","ontology","probe_source","status","term_size_in_universe","k_arm","expected_k","pvalue","p_adjust","tested","enriched","p_matched","frac_matched_reaching_q","genes_hit","probe_pattern"
"WT_heat_up","GO:0009408","response to heat","BP","configured_id","tested",82,3,1.29676985195155,0.140269670372504,0.346028907574454,TRUE,FALSE,0.514742628685657,0.0543420351624933,"ANO1/HSPA1A/IL1A","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"WT_heat_up","GO:0034605","cellular response to heat","BP","configured_id","tested",54,3,0.853970390309556,0.0536635816941862,0.196183799744109,TRUE,FALSE,0.303848075962019,0.0483401281304601,"ANO1/HSPA1A/IL1A","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"WT_heat_up","GO:0009266","response to temperature stimulus","BP","configured_id","tested",130,4,2.05585464333782,0.150705553657584,0.351890151986884,TRUE,FALSE,0.589205397301349,0.0548223350253807,"ANO1/HSPA1A/IL1A/SCN9A","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"WT_heat_up","GO:0031649","heat generation","BP","configured_id","tested",14,3,0.221399730820996,0.00124595630585344,0.0185625437248165,TRUE,TRUE,0.0114942528735632,0.0282776349614396,"IL1A/PTGS2/TNFSF11","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"WT_heat_up","GO:0006986","response to unfolded protein","BP","configured_id","tested",135,4,2.13492597577389,0.165703666367861,0.358910706646575,TRUE,FALSE,0.510744627686157,0.0315521628498728,"ATF3/CTH/HSPA1A/HSPH1","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"WT_heat_up","GO:0035966","response to topologically incorrect protein","BP","configured_id","tested",154,5,2.43539703903096,0.0974345931397796,0.27991661698092,TRUE,FALSE,0.435782108945527,0.0478589420654912,"ATF3/CLU/CTH/HSPA1A/HSPH1","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"WT_heat_up","GO:0006457","protein folding","BP","configured_id","tested",193,4,3.0521534320323,0.364602324137518,0.498018671550111,TRUE,FALSE,0.349325337331334,0.00209643605870021,"CLU/HSPA1A/HSPH1/NPPC","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"WT_heat_up","GO:0042026","protein refolding","BP","configured_id","tested",23,1,0.363728129205922,0.30717460315433,0.45441866819887,TRUE,FALSE,0.432283858070965,0.00694444444444444,"HSPA1A","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"WT_heat_up","GO:0006458","'de novo' protein folding","BP","configured_id","no_arm_gene_in_term",10,0,0.15814266487214,1,NA,FALSE,NA,1,0.0025062656641604,"","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"WT_heat_up","GO:0034975","protein folding in endoplasmic reticulum","BP","configured_id","below_min_gs_size",9,0,0.142328398384926,1,NA,FALSE,NA,NA,NA,"","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"WT_heat_up","GO:0034976","response to endoplasmic reticulum stress","BP","configured_id","tested",254,4,4.01682368775236,0.573509178721968,0.653691741623854,TRUE,FALSE,0.914542728635682,0.0625625625625626,"ATF3/CLU/CTH/HSPA1A","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"WT_heat_up","GO:0030968","endoplasmic reticulum unfolded protein response","BP","configured_id","tested",87,3,1.37584118438762,0.158928155804869,0.354077966396137,TRUE,FALSE,0.532233883058471,0.0470401691331924,"ATF3/CTH/HSPA1A","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"WT_heat_up","GO:0006515","protein quality control for misfolded or incompletely synthesized proteins","BP","configured_id","no_arm_gene_in_term",32,0,0.506056527590848,1,NA,FALSE,NA,1,0.0136752136752137,"","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"WT_heat_up","GO:0010498","proteasomal protein catabolic process","BP","configured_id","above_max_gs_size",575,7,9.09320323014805,0.810473576783917,NA,FALSE,NA,NA,NA,"ASB2/CLU/DAB2/HSPA1A/IGF2BP2/OPHN1/PLK3","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"WT_heat_up","GO:0031072","heat shock protein binding","MF","configured_id","tested",112,1,1.75542857142857,0.830933038656128,NA,TRUE,FALSE,NA,NA,"HSPA1A","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"WT_heat_up","GO:0051082","unfolded protein binding","MF","configured_id","tested",97,2,1.52032653061224,0.450992817912441,NA,TRUE,FALSE,NA,NA,"CLU/HSPA1A","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"WT_heat_up","GO:0051087","protein-folding chaperone binding","MF","configured_id","tested",118,1,1.8494693877551,0.846360677969602,NA,TRUE,FALSE,NA,NA,"CLU","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"WT_heat_up","GO:0044183","protein folding chaperone","MF","configured_id","tested",64,2,1.00310204081633,0.265370672558995,NA,TRUE,FALSE,NA,NA,"HSPA1A/HSPH1","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"KO_heat_up","GO:0009408","response to heat","BP","configured_id","tested",82,3,1.40023553162853,0.164778134529571,0.404231168606944,TRUE,FALSE,0.51624187906047,0.0180754917597023,"ANO1/HSPA1A/IL1A","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"KO_heat_up","GO:0034605","cellular response to heat","BP","configured_id","tested",54,3,0.922106325706595,0.0645498500536529,0.237617483233254,TRUE,FALSE,0.296851574212894,0.0122663551401869,"ANO1/HSPA1A/IL1A","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"KO_heat_up","GO:0009266","response to temperature stimulus","BP","configured_id","tested",130,4,2.21988559892328,0.182354655091485,0.40804376877642,TRUE,FALSE,0.593703148425787,0.0269172168613509,"ANO1/HSPA1A/IL1A/SCN9A","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"KO_heat_up","GO:0031649","heat generation","BP","configured_id","tested",14,2,0.239064602960969,0.0230711708900492,0.133665233712087,TRUE,FALSE,0.0864567716141929,0.0180722891566265,"IL1A/TNFSF11","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"KO_heat_up","GO:0006986","response to unfolded protein","BP","configured_id","tested",135,3,2.30526581426649,0.406489780059258,0.553684319892499,TRUE,FALSE,0.71864067966017,0.0142566191446029,"CTH/HSPA1A/HSPH1","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"KO_heat_up","GO:0035966","response to topologically incorrect protein","BP","configured_id","tested",154,4,2.62971063257066,0.269210009720917,0.460061664456331,TRUE,FALSE,0.608695652173913,0.0202122283981809,"CLU/CTH/HSPA1A/HSPH1","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"KO_heat_up","GO:0006457","protein folding","BP","configured_id","tested",193,4,3.29567631224764,0.419772623312522,0.564843598628693,TRUE,FALSE,0.437781109445277,0.000518134715025907,"CLU/HSPA1A/HSPH1/NPPC","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"KO_heat_up","GO:0042026","protein refolding","BP","configured_id","tested",23,1,0.392748990578735,0.327337227618385,0.500649256959207,TRUE,FALSE,0.454272863568216,0.00440528634361234,"HSPA1A","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"KO_heat_up","GO:0006458","'de novo' protein folding","BP","configured_id","no_arm_gene_in_term",10,0,0.170760430686406,1,NA,FALSE,NA,1,0.00678733031674208,"","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"KO_heat_up","GO:0034975","protein folding in endoplasmic reticulum","BP","configured_id","below_min_gs_size",9,0,0.153684387617766,1,NA,FALSE,NA,NA,NA,"","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"KO_heat_up","GO:0034976","response to endoplasmic reticulum stress","BP","configured_id","tested",254,3,4.33731493943472,0.812826724687883,0.855840105253608,TRUE,FALSE,0.968515742128936,0.0255,"CLU/CTH/HSPA1A","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"KO_heat_up","GO:0030968","endoplasmic reticulum unfolded protein response","BP","configured_id","tested",87,2,1.48561574697174,0.439338303885613,0.579001272222964,TRUE,FALSE,0.766616691654173,0.0170031880977683,"CTH/HSPA1A","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"KO_heat_up","GO:0006515","protein quality control for misfolded or incompletely synthesized proteins","BP","configured_id","no_arm_gene_in_term",32,0,0.546433378196501,1,NA,FALSE,NA,1,0.00446827524575514,"","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"KO_heat_up","GO:0010498","proteasomal protein catabolic process","BP","configured_id","above_max_gs_size",575,5,9.81872476446837,0.971052133386099,NA,FALSE,NA,NA,NA,"ASB2/CLU/HSPA1A/IGF2BP2/OPHN1","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
"KO_heat_up","GO:0031072","heat shock protein binding","MF","configured_id","tested",112,1,1.91085714285714,0.855750038614146,NA,TRUE,FALSE,NA,NA,"HSPA1A","chaperon|unfolded|misfold|refold|protein folding|heat|thermogen|temperature|proteostas|proteasom|heat shock"
