"band","band_lower","band_upper","n_query","n_pool","pool_short_of_query","arm","ontology","iea_variant","n_replicates","seed","row_kind","null","mean_family_size","mean_n_signif","median_n_signif","q95_n_signif","max_n_signif","n_observed_signif","p_n_signif","mean_covered","median_covered","q95_covered","max_covered","n_covered_obs","p_covered","mean_genes_borrowed","max_genes_borrowed","n_observed_enriched","n_query_annotated"
"(58,84]",58,84,2,1777,FALSE,"Interaction_fdrOnly_up","BP","with_iea",2000,20260730,"band",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(84,112]",84,112,1,1186,FALSE,"Interaction_fdrOnly_up","BP","with_iea",2000,20260730,"band",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(112,149]",112,149,3,902,FALSE,"Interaction_fdrOnly_up","BP","with_iea",2000,20260730,"band",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(149,214]",149,214,4,757,FALSE,"Interaction_fdrOnly_up","BP","with_iea",2000,20260730,"band",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(214,323]",214,323,0,474,FALSE,"Interaction_fdrOnly_up","BP","with_iea",2000,20260730,"band",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(323,Inf]",323,Inf,1,236,FALSE,"Interaction_fdrOnly_up","BP","with_iea",2000,20260730,"band",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"WT_heat_up","BP","with_iea",2000,NA,"null_summary","depth_matched",3560.145,246.9145,242,382.05,588,386,0.0474762618690655,145.601,147,158.05,168,159,0.0504747626186907,0,0,386,188
NA,NA,NA,NA,NA,NA,"WT_heat_up","BP","with_iea",2000,NA,"null_summary","uniform",2574.9925,0.07,0,0,15,386,0.000499750124937531,0.2465,0,0,36,159,0.000499750124937531,0,0,386,188
NA,NA,NA,NA,NA,NA,"KO_heat_up","BP","with_iea",2000,NA,"null_summary","depth_matched",3532.4975,114.5835,108.5,226.05,414,316,0.00149925037481259,125.4115,130,150,165,165,0.000999500249875062,0,0,316,203
NA,NA,NA,NA,NA,NA,"KO_heat_up","BP","with_iea",2000,NA,"null_summary","uniform",2689.598,0.067,0,0,14,316,0.000499750124937531,0.271,0,0,29,165,0.000499750124937531,0,0,316,203
NA,NA,NA,NA,NA,NA,"Interaction_up","BP","with_iea",2000,NA,"null_summary","depth_matched",251.3565,1.8985,0,10,119,47,0.0104947526236882,0.6245,0,4,7,7,0.00199900049975012,0,0,47,7
NA,NA,NA,NA,NA,NA,"Interaction_up","BP","with_iea",2000,NA,"null_summary","uniform",201.524,1.293,0,7,210,47,0.00349825087456272,0.446,0,3,7,7,0.00249875062468766,0,0,47,7
NA,NA,NA,NA,NA,NA,"Interaction_fdrOnly_up","BP","with_iea",2000,NA,"null_summary","depth_matched",708.3945,1.7125,0,11,66,66,0.00149925037481259,1.164,0,7,12,14,0.000499750124937531,0,0,66,17
NA,NA,NA,NA,NA,NA,"Interaction_fdrOnly_up","BP","with_iea",2000,NA,"null_summary","uniform",459.6995,0.575,0,3,77,66,0.000999500249875062,0.4005,0,3,11,14,0.000499750124937531,0,0,66,17
