"ID","term_size","k_obs","p_obs_recomputed","q_obs_recomputed","k_null_matched_mean","k_null_matched_q95","p_matched","frac_matched_reaching_q","k_null_uniform_mean","p_uniform","frac_uniform_reaching_q","arm","ontology","iea_variant","Description","p_adjust_hypergeometric","simplify_kept"
"GO:0010575",24,4,0.000502409111520313,0.0107064017625879,0.89,2,0.0124937531234383,0.0205930807248764,0.3365,0.000499750124937531,0,"WT_heat_up","BP","with_iea","positive regulation of vascular endothelial growth factor production",0.0107064017625879,FALSE
"GO:0072678",64,6,0.000505766912646169,0.0107101710369789,2.239,5,0.0199900049975013,0.0533553355335534,0.942,0.00149925037481259,0,"WT_heat_up","BP","with_iea","T cell migration",0.0107101710369789,FALSE
"GO:0072676",89,7,0.000510972463548932,0.0107527767798078,3.1235,6,0.0329835082458771,0.0762402088772846,1.35,0.00149925037481259,0,"WT_heat_up","BP","with_iea","lymphocyte migration",0.0107527767798078,FALSE
"GO:0001666",245,12,0.000519299395241409,0.0108601308309182,8.683,13,0.15192403798101,0.241,3.7045,0.000499750124937531,0,"WT_heat_up","BP","with_iea","response to hypoxia",0.0108601308309182,TRUE
"GO:0001501",356,15,0.00053052900767761,0.0110264886966081,10.5125,16,0.101949025487256,0.185,5.3765,0.000499750124937531,0,"WT_heat_up","BP","with_iea","skeletal system development",0.0110264886966081,FALSE
"GO:0048667",435,17,0.000537809396613812,0.0111092284564338,13.1245,19,0.156421789105447,0.2615,6.681,0.000499750124937531,0,"WT_heat_up","BP","with_iea","cell morphogenesis involved in neuron differentiation",0.0111092284564338,TRUE
"GO:0014706",282,13,0.00054320384774753,0.0111522399717435,9.835,15,0.169915042478761,0.267133566783392,4.3715,0.000499750124937531,0,"WT_heat_up","BP","with_iea","striated muscle tissue development",0.0111522399717435,FALSE
"GO:0001704",90,7,0.000546780520160002,0.0111553502751634,3.0005,6,0.0274862568715642,0.060385216033316,1.3425,0.00149925037481259,0,"WT_heat_up","BP","with_iea","formation of primary germ layer",0.0111553502751634,FALSE
"GO:1903035",65,6,0.000549981629247737,0.0111553502751634,2.2595,5,0.0259870064967516,0.0545454545454545,0.927,0.000499750124937531,0,"WT_heat_up","BP","with_iea","negative regulation of response to wounding",0.0111553502751634,FALSE
"GO:0019724",118,8,0.00056012087070741,0.0112929758782745,3.8515,7,0.0299850074962519,0.0794701986754967,1.7435,0.000499750124937531,0,"WT_heat_up","BP","with_iea","B cell mediated immunity",0.0112929758782745,TRUE
"GO:0044703",148,9,0.000566792448033689,0.0113594653126752,4.7825,8,0.0484757621189405,0.0960281548516843,2.219,0.000499750124937531,0,"WT_heat_up","BP","with_iea","multi-organism reproductive process",0.0113594653126752,TRUE
"GO:0032604",11,3,0.000584903384803785,0.0115167818516628,0.387,2,0.00549725137431284,0.0151285930408472,0.136,0.000999500249875062,0,"WT_heat_up","BP","with_iea","granulocyte macrophage colony-stimulating factor production",0.0115167818516628,TRUE
"GO:0032645",11,3,0.000584903384803785,0.0115167818516628,0.387,2,0.00549725137431284,0.0151285930408472,0.136,0.000999500249875062,0,"WT_heat_up","BP","with_iea","regulation of granulocyte macrophage colony-stimulating factor production",0.0115167818516628,TRUE
"GO:1901741",11,3,0.000584903384803785,0.0115167818516628,0.363,1,0.00299850074962519,0.00803858520900321,0.1255,0.000499750124937531,0,"WT_heat_up","BP","with_iea","positive regulation of myoblast fusion",0.0115167818516628,TRUE
"GO:0006953",25,4,0.000590767019740902,0.0115646078806257,0.7495,2,0.00549725137431284,0.0111214087117702,0.328,0.000999500249875062,0,"WT_heat_up","BP","with_iea","acute-phase response",0.0115646078806257,FALSE
"GO:0071396",480,18,0.000600705463730863,0.011691186684288,17.4665,23,0.489755122438781,0.625,7.3875,0.000499750124937531,0,"WT_heat_up","BP","with_iea","cellular response to lipid",0.011691186684288,TRUE
"GO:0043616",44,5,0.00061758052131571,0.0118147364503977,1.4635,4,0.0139930034982509,0.0192184497117233,0.626,0.000499750124937531,0,"WT_heat_up","BP","with_iea","keratinocyte proliferation",0.0118147364503977,FALSE
"GO:0048146",44,5,0.00061758052131571,0.0118147364503977,1.6835,4,0.0229885057471264,0.0330275229357798,0.6545,0.00149925037481259,0,"WT_heat_up","BP","with_iea","positive regulation of fibroblast proliferation",0.0118147364503977,TRUE
"GO:0090303",44,5,0.00061758052131571,0.0118147364503977,1.589,4,0.0199900049975013,0.034396497811132,0.611,0.000499750124937531,0,"WT_heat_up","BP","with_iea","positive regulation of wound healing",0.0118147364503977,FALSE
"GO:0007188",150,9,0.000624656877444892,0.0118825972110562,3.66,7,0.00899550224887556,0.0209718670076726,2.2315,0.000999500249875062,0,"WT_heat_up","BP","with_iea","adenylate cyclase-modulating G protein-coupled receptor signaling pathway",0.0118825972110562,FALSE
"GO:0050920",151,9,0.000655352158914894,0.0123964647138565,5.9755,10,0.138930534732634,0.22972972972973,2.298,0.000999500249875062,0,"WT_heat_up","BP","with_iea","regulation of chemotaxis",0.0123964647138565,TRUE
