"arm","gene","in_background","n_terms_bp","n_enriched_terms_bp","n_terms_mf","n_enriched_terms_mf","coverage_class","visible_in_other_ontology"
"KO_heat_up","PTPN5",TRUE,20,0,17,0,"annotated_no_enriched_term",TRUE
"KO_heat_up","PXDC1",TRUE,0,0,5,1,"no_annotation",TRUE
"KO_heat_up","RAB34",TRUE,78,0,30,0,"annotated_no_enriched_term",TRUE
"KO_heat_up","RET",TRUE,231,40,33,1,"in_enriched_term",TRUE
"KO_heat_up","RGS16",TRUE,36,1,18,0,"in_enriched_term",TRUE
"KO_heat_up","RHBDL3",TRUE,7,0,15,0,"annotated_no_enriched_term",TRUE
"KO_heat_up","RIPK4",TRUE,42,3,26,0,"in_enriched_term",TRUE
"KO_heat_up","RNF152",TRUE,108,0,21,0,"annotated_no_enriched_term",TRUE
"KO_heat_up","S1PR3",TRUE,78,6,14,2,"in_enriched_term",TRUE
"KO_heat_up","SAMD4A",TRUE,68,0,8,0,"annotated_no_enriched_term",TRUE
"KO_heat_up","SCN9A",TRUE,74,3,17,0,"in_enriched_term",TRUE
"KO_heat_up","SDC1",TRUE,79,6,5,0,"in_enriched_term",TRUE
"KO_heat_up","SDC4",TRUE,204,27,12,0,"in_enriched_term",TRUE
"KO_heat_up","SEMA4A",TRUE,147,33,12,3,"in_enriched_term",TRUE
"KO_heat_up","SERPINE1",TRUE,283,67,15,2,"in_enriched_term",TRUE
"KO_heat_up","SGMS2",TRUE,42,1,11,0,"in_enriched_term",TRUE
"KO_heat_up","SH3GL3",TRUE,54,2,5,0,"in_enriched_term",TRUE
"KO_heat_up","SH3PXD2B",TRUE,46,6,21,1,"in_enriched_term",TRUE
"KO_heat_up","SLC13A3",TRUE,47,2,34,0,"in_enriched_term",TRUE
"KO_heat_up","SLC2A1",TRUE,114,6,25,0,"in_enriched_term",TRUE
"KO_heat_up","SLC41A1",TRUE,36,0,17,0,"annotated_no_enriched_term",TRUE
"KO_heat_up","SLC4A11",TRUE,64,1,29,0,"in_enriched_term",TRUE
"KO_heat_up","SPHK1",TRUE,325,37,44,2,"in_enriched_term",TRUE
"KO_heat_up","SPINT1",TRUE,94,17,12,2,"in_enriched_term",TRUE
"KO_heat_up","SPP1",TRUE,239,32,15,4,"in_enriched_term",TRUE
"KO_heat_up","SPRY1",TRUE,180,18,3,0,"in_enriched_term",TRUE
"KO_heat_up","SRXN1",TRUE,16,0,22,0,"annotated_no_enriched_term",TRUE
"KO_heat_up","SSPOP",TRUE,3,0,9,2,"annotated_no_enriched_term",TRUE
"KO_heat_up","STRA6",TRUE,137,17,20,0,"in_enriched_term",TRUE
"KO_heat_up","SYT15",TRUE,23,1,11,1,"in_enriched_term",TRUE
"KO_heat_up","TANC2",TRUE,67,4,0,0,"in_enriched_term",FALSE
"KO_heat_up","TEX15",TRUE,91,0,0,0,"annotated_no_enriched_term",FALSE
"KO_heat_up","TGM1",TRUE,44,6,14,0,"in_enriched_term",TRUE
"KO_heat_up","TGM2",TRUE,188,21,40,0,"in_enriched_term",TRUE
"KO_heat_up","TIMP1",TRUE,131,8,27,7,"in_enriched_term",TRUE
"KO_heat_up","TMEFF2",TRUE,83,4,3,0,"in_enriched_term",TRUE
"KO_heat_up","TMEM125",TRUE,1,0,1,0,"annotated_no_enriched_term",TRUE
"KO_heat_up","TMEM205",TRUE,0,0,3,0,"no_annotation",TRUE
"KO_heat_up","TNFRSF11B",TRUE,91,14,21,4,"in_enriched_term",TRUE
"KO_heat_up","TNFSF11",TRUE,309,68,14,7,"in_enriched_term",TRUE
"KO_heat_up","TNFSF14",TRUE,160,53,17,7,"in_enriched_term",TRUE
"KO_heat_up","TNFSF9",TRUE,93,36,13,7,"in_enriched_term",TRUE
"KO_heat_up","TP73",TRUE,236,32,35,0,"in_enriched_term",TRUE
"KO_heat_up","TRPM6",TRUE,28,0,42,0,"annotated_no_enriched_term",TRUE
"KO_heat_up","TTC39C",TRUE,33,2,0,0,"in_enriched_term",FALSE
"KO_heat_up","TTYH1",TRUE,79,0,33,0,"annotated_no_enriched_term",TRUE
"KO_heat_up","UACA",TRUE,47,3,5,0,"in_enriched_term",TRUE
"KO_heat_up","UAP1",TRUE,66,1,13,0,"in_enriched_term",TRUE
"KO_heat_up","UPP1",TRUE,99,0,12,0,"annotated_no_enriched_term",TRUE
"KO_heat_up","VILL",TRUE,58,1,18,1,"in_enriched_term",TRUE
"KO_heat_up","WNT3",TRUE,214,36,13,5,"in_enriched_term",TRUE
"KO_heat_up","ZBTB32",TRUE,47,0,24,0,"annotated_no_enriched_term",TRUE
"KO_heat_up","ZBTB46",TRUE,103,17,20,0,"in_enriched_term",TRUE
"KO_heat_up","ZNF583",TRUE,30,0,21,0,"annotated_no_enriched_term",TRUE
"Interaction_up","IFI16",TRUE,209,26,9,0,"in_enriched_term",TRUE
"Interaction_up","IFIT1B",TRUE,11,2,5,0,"in_enriched_term",TRUE
"Interaction_up","IRF7",TRUE,192,29,16,0,"in_enriched_term",TRUE
"Interaction_up","MX1",TRUE,72,12,28,0,"in_enriched_term",TRUE
"Interaction_up","RTP4",TRUE,40,4,12,0,"in_enriched_term",TRUE
"Interaction_up","TRIM5",TRUE,142,17,32,0,"in_enriched_term",TRUE
"Interaction_up","XAF1",TRUE,59,5,10,0,"in_enriched_term",TRUE
"Interaction_fdrOnly_up","DHX58",TRUE,120,30,42,0,"in_enriched_term",TRUE
"Interaction_fdrOnly_up","EIF2AK2",TRUE,211,36,37,0,"in_enriched_term",TRUE
"Interaction_fdrOnly_up","HELZ2",TRUE,52,0,54,0,"annotated_no_enriched_term",TRUE
"Interaction_fdrOnly_up","IFI16",TRUE,209,38,9,0,"in_enriched_term",TRUE
"Interaction_fdrOnly_up","IFI27",TRUE,128,9,9,0,"in_enriched_term",TRUE
"Interaction_fdrOnly_up","IFI27L1",TRUE,16,0,4,0,"annotated_no_enriched_term",TRUE
"Interaction_fdrOnly_up","IFIT1B",TRUE,11,2,5,0,"in_enriched_term",TRUE
"Interaction_fdrOnly_up","IRF7",TRUE,192,28,16,0,"in_enriched_term",TRUE
"Interaction_fdrOnly_up","LGALS3BP",TRUE,18,0,5,0,"annotated_no_enriched_term",TRUE
"Interaction_fdrOnly_up","LGALS9",TRUE,456,30,18,0,"in_enriched_term",TRUE
"Interaction_fdrOnly_up","MX1",TRUE,72,13,28,0,"in_enriched_term",TRUE
"Interaction_fdrOnly_up","RNF213",TRUE,96,2,37,0,"in_enriched_term",TRUE
"Interaction_fdrOnly_up","RTP4",TRUE,40,2,12,0,"in_enriched_term",TRUE
"Interaction_fdrOnly_up","SAMD9L",TRUE,0,0,3,0,"no_annotation",TRUE
"Interaction_fdrOnly_up","SP100",TRUE,205,11,24,0,"in_enriched_term",TRUE
"Interaction_fdrOnly_up","TRIM34",TRUE,39,2,19,0,"in_enriched_term",TRUE
"Interaction_fdrOnly_up","TRIM5",TRUE,142,20,32,0,"in_enriched_term",TRUE
"Interaction_fdrOnly_up","XAF1",TRUE,59,7,10,0,"in_enriched_term",TRUE
