"gene_symbol","ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","contrast"
"Xirp1","ENSMUSG00000079243.4",0.31045297,2.72267368,4.01421153,0.000404416107,0.00107214126,"Temp_main"
"Gm31024","ENSMUSG00000109015.1",-0.307318721,1.30151253,-3.98664951,0.000404369784,0.00107214126,"Temp_main"
"Tmem143","ENSMUSG00000002781.19",-0.198062788,3.14550597,-3.98569596,0.00040542446,0.00107466971,"Temp_main"
"Tpt1","ENSMUSG00000060126.14",0.186038121,8.52403232,4.29149899,0.000405836069,0.00107561589,"Temp_main"
"Lysmd4","ENSMUSG00000043831.12",-0.184185946,3.27871964,-3.98515928,0.000406019234,0.00107595644,"Temp_main"
"Gm37691","ENSMUSG00000104348.1",0.25200109,2.51815826,3.98502227,0.000406171223,0.00107621429,"Temp_main"
"BC003965","ENSMUSG00000067722.4",0.148430385,4.74653495,3.98473793,0.000406486805,0.00107690547,"Temp_main"
"Tbcel","ENSMUSG00000037287.15",-0.111104207,5.65494354,-3.98463374,0.000406602508,0.001077067,"Temp_main"
"Ubap2","ENSMUSG00000028433.14",-0.0968063962,8.08750246,-3.98404941,0.000407251975,0.00107864221,"Temp_main"
"Ube2d1","ENSMUSG00000019927.6",-0.150457351,4.65696031,-3.98324638,0.000408146202,0.00108086517,"Temp_main"
"Gm49584","ENSMUSG00000116645.1",-0.323066562,0.64771449,-3.98271777,0.000408735884,0.00108228114,"Temp_main"
"Mroh6","ENSMUSG00000098678.1",0.339892713,-0.490210229,3.98229333,0.000409209971,0.00108339069,"Temp_main"
"Gm13370","ENSMUSG00000084383.1",-0.322710831,-0.368181712,-3.98132806,0.000410290163,0.0010861044,"Temp_main"
"Gm20457","ENSMUSG00000092187.1",-0.366258069,0.870927296,-3.98096053,0.000410702182,0.00108704885,"Temp_main"
"Ston1","ENSMUSG00000033855.15",-0.215426766,5.60812346,-4.19896836,0.000411099193,0.00108785539,"Temp_main"
"Otud6b","ENSMUSG00000040550.17",0.097441743,5.96294393,3.98059045,0.000411117461,0.00108785539,"Temp_main"
"Gm15163","ENSMUSG00000085711.4",-0.146536696,4.26744784,-3.98046773,0.000411255268,0.00108807373,"Temp_main"
"Glis3","ENSMUSG00000052942.13",0.360086843,1.95627542,3.99472855,0.000411596167,0.00108882927,"Temp_main"
"Gm43328","ENSMUSG00000105677.1",-0.231230398,3.15017548,-3.97999774,0.000411783434,0.00108917825,"Temp_main"
"Hbs1l","ENSMUSG00000019977.16",-0.0976324405,6.415765,-3.9798631,0.00041193487,0.00108943238,"Temp_main"
"1600020E01Rik","ENSMUSG00000097048.7",0.185387943,3.89269898,3.97976539,0.000412044797,0.00108957667,"Temp_main"
"Gm48889","ENSMUSG00000112955.1",0.400384799,-0.15033627,3.97890754,0.000413011163,0.00109198531,"Temp_main"
"Tasor","ENSMUSG00000040651.9",0.119294651,5.53270445,3.97872368,0.000413218561,0.0010923869,"Temp_main"
"Erf","ENSMUSG00000040857.15",0.237488326,6.16671691,4.29989183,0.000413472816,0.00109291223,"Temp_main"
"Sike1","ENSMUSG00000027854.12",-0.122504245,5.77901733,-3.97798407,0.000414053919,0.00109430124,"Temp_main"
"Gm38253","ENSMUSG00000102780.1",-0.258630939,2.92127645,-3.97775625,0.000414311575,0.00109483517,"Temp_main"
"Nt5c2","ENSMUSG00000025041.17",-0.0924155028,5.84796063,-3.97742892,0.000414682036,0.001095667,"Temp_main"
"Zdhhc21","ENSMUSG00000028403.15",0.113180749,7.41029941,3.97715397,0.000414993464,0.00109634265,"Temp_main"
"Tubb4b-ps1","ENSMUSG00000095159.2",-0.139164832,3.82318817,-3.97701502,0.000415150939,0.00109661145,"Temp_main"
"Maff","ENSMUSG00000042622.14",0.271798896,4.0272275,4.11626573,0.000415335798,0.00109695251,"Temp_main"
"Camta1","ENSMUSG00000014592.21",-0.150415103,3.89338062,-3.97670496,0.000415502545,0.00109724565,"Temp_main"
"Sugp1","ENSMUSG00000011306.7",-0.0930333855,5.81464832,-3.97618987,0.000416087294,0.00109864241,"Temp_main"
"Dgkg","ENSMUSG00000022861.17",0.372232895,-0.257585943,3.97517174,0.000417245496,0.00110155274,"Temp_main"
"Fbxo27","ENSMUSG00000037463.14",0.309625304,0.237664831,3.97501379,0.000417425457,0.00110188002,"Temp_main"
"Zfp970","ENSMUSG00000078866.10",-0.378079617,2.03934187,-4.01958549,0.000417994825,0.001103235,"Temp_main"
"Gm48308","ENSMUSG00000112932.1",0.393540983,0.620136208,3.9744047,0.000418120143,0.00110341777,"Temp_main"
"Gm38099","ENSMUSG00000104159.1",-0.411117666,0.265271584,-3.97342491,0.000419240011,0.00110622475,"Temp_main"
"Fam118a","ENSMUSG00000022434.8",-0.142411051,4.69624401,-3.97328711,0.000419397744,0.00110649259,"Temp_main"
"Shisa2","ENSMUSG00000044461.6",-0.368933273,1.33673229,-3.97272034,0.000420047134,0.00110805731,"Temp_main"
"Gm9200","ENSMUSG00000083595.1",-0.308380107,1.16416944,-3.9722901,0.000420540739,0.00110921072,"Temp_main"
"Gm26779","ENSMUSG00000097140.1",-0.313148652,1.17286248,-3.97197859,0.000420898485,0.00111000553,"Temp_main"
"Gm22362","ENSMUSG00000065036.1",0.303774401,0.582024368,3.97184751,0.000421049106,0.00111025397,"Temp_main"
"Gm24629","ENSMUSG00000084711.1",0.297769275,-0.403448429,3.97153824,0.000421404708,0.00111104277,"Temp_main"
"Dtx4","ENSMUSG00000039982.8",-0.302889503,1.56886846,-3.97063985,0.000422439333,0.00111362138,"Temp_main"
"Fbxl21","ENSMUSG00000035509.17",0.310478061,-0.427249946,3.97012113,0.000423037854,0.00111504982,"Temp_main"
"Wdtc1","ENSMUSG00000037622.14",0.0987069896,5.6256634,3.96954511,0.000423703449,0.00111665464,"Temp_main"
"BC051226","ENSMUSG00000092564.2",-0.319494129,2.19392272,-3.96786933,0.000425645705,0.00112148759,"Temp_main"
"Fmr1","ENSMUSG00000000838.17",0.0993031166,7.39747588,3.96786456,0.000425651244,0.00112148759,"Temp_main"
"Rrh","ENSMUSG00000028012.15",0.391000598,-0.345753753,3.96748191,0.000426095973,0.00112250906,"Temp_main"
"Gm17971","ENSMUSG00000101122.1",-0.380557893,0.977319048,-3.96568638,0.000428188871,0.00112787161,"Temp_main"
"Gm26931","ENSMUSG00000098062.1",-0.290613447,0.454901257,-3.96521839,0.000428736022,0.00112916169,"Temp_main"
"Tlcd4","ENSMUSG00000028132.15",-0.283175104,-0.335719201,-3.96486663,0.000429147734,0.00113009478,"Temp_main"
"Mfrp","ENSMUSG00000034739.17",0.427012799,0.306625863,3.96468959,0.000429355088,0.00113048953,"Temp_main"
"Slc12a8","ENSMUSG00000035506.16",0.342693682,-0.309430429,3.9645835,0.0004294794,0.00113066557,"Temp_main"
"Cul7","ENSMUSG00000038545.13",0.117312307,6.84261251,3.96316747,0.000431141945,0.00113489063,"Temp_main"
"Msrb2","ENSMUSG00000023094.14",-0.209026853,2.64817005,-3.96181838,0.000432731773,0.00113877528,"Temp_main"
"Slc4a2","ENSMUSG00000028962.14",0.0890560617,6.17969348,3.96181696,0.000432733451,0.00113877528,"Temp_main"
"Gm11427","ENSMUSG00000083161.2",-0.188931959,4.00438161,-3.96109543,0.000433586093,0.00114086652,"Temp_main"
"Prox2","ENSMUSG00000042320.17",-0.319531075,2.1524703,-3.96038471,0.000434427583,0.00114292786,"Temp_main"
"Actr1a","ENSMUSG00000025228.5",-0.0826559147,7.23019655,-3.95970289,0.000435236346,0.00114490256,"Temp_main"
"Tbc1d17","ENSMUSG00000038520.15",-0.13374186,5.3177155,-3.95920787,0.000435824454,0.00114629637,"Temp_main"
"Ube4b","ENSMUSG00000028960.20",-0.0975783961,7.24592809,-3.9586543,0.000436483049,0.00114787517,"Temp_main"
"Gm34885","ENSMUSG00000111748.1",0.314661611,-0.388173175,3.95850402,0.000436662018,0.00114819239,"Temp_main"
"Lrrc4","ENSMUSG00000049939.6",0.4958604,-0.184679249,4.05145797,0.000436867428,0.00114857904,"Temp_main"
"Fam160a2","ENSMUSG00000044465.19",0.121450004,5.57562721,3.95736362,0.000438022403,0.00115146178,"Temp_main"
"Ppp1r3f","ENSMUSG00000039556.16",-0.272783738,1.97064299,-3.95686816,0.000438614727,0.00115286486,"Temp_main"
"Fan1","ENSMUSG00000033458.17",-0.323883277,2.91768663,-4.03138511,0.000439585453,0.00115526204,"Temp_main"
"Helq","ENSMUSG00000035266.16",0.116415452,4.89642701,3.95559769,0.000440137185,0.00115655757,"Temp_main"
"Ksr2","ENSMUSG00000061578.8",-0.346234019,0.0636341546,-3.95545299,0.000440310909,0.0011568596,"Temp_main"
"Med1","ENSMUSG00000018160.15",0.0731159473,7.32118749,3.95508813,0.000440749261,0.00115785672,"Temp_main"
"Slu7","ENSMUSG00000020409.10",-0.0943837328,6.54521538,-3.95493207,0.000440936892,0.00115819502,"Temp_main"
"Gm6736","ENSMUSG00000071414.5",-0.273174821,1.76852873,-3.95441017,0.000441564921,0.00115968985,"Temp_main"
"Lcp1","ENSMUSG00000021998.16",-0.0617392419,10.5066124,-3.95433968,0.000441649808,0.00115975802,"Temp_main"
"1500015A07Rik","ENSMUSG00000098702.1",-0.26216692,2.35207708,-3.95353783,0.000442616609,0.00116198669,"Temp_main"
"Pias3","ENSMUSG00000028101.18",-0.136294346,4.38180812,-3.95356681,0.000442581627,0.00116198669,"Temp_main"
"Map1lc3a","ENSMUSG00000027602.9",0.18373266,3.40523371,3.95268314,0.000443649401,0.00116454269,"Temp_main"
"Fuom","ENSMUSG00000025466.19",0.297456749,0.934647297,3.95226832,0.000444151514,0.00116549167,"Temp_main"
"Agrn","ENSMUSG00000041936.18",0.265863714,2.1692716,3.95233259,0.000444073686,0.00116549167,"Temp_main"
