query_name,gse,gpl,pctVar,pval,size,rank
Q_sig_WT_heat_up,GSE41083,GPL1261,2.53768169,NA,103,82
Q_sig_WT_heat_up,GSE235805,GPL21103,2.53286138,NA,56,83
Q_sig_WT_heat_up,GSE240961,GPL23479,2.51698229,NA,83,84
Q_sig_WT_heat_up,GSE125268,GPL21493,2.51589275,NA,67,85
Q_sig_WT_heat_up,GSE95244,GPL23097,2.50600042,NA,97,86
Q_sig_WT_heat_up,GSE53145,GPL1261,2.4887171,NA,94,87
Q_sig_WT_heat_up,GSE163702,GPL17021,2.4695303,NA,106,88
Q_sig_WT_heat_up,GSE163808,GPL17021,2.4695303,NA,106,89
Q_sig_WT_heat_up,GSE55776,GPL13112,2.46549122,NA,86,90
Q_sig_WT_heat_up,GSE107357,GPL17021,2.45580031,NA,72,91
Q_sig_WT_heat_up,GSE218630,GPL17021,2.45233913,NA,87,92
Q_sig_WT_heat_up,GSE117149,GPL17021,2.44160136,NA,86,93
Q_sig_WT_heat_up,GSE128284,GPL21626,2.43092196,NA,104,94
Q_sig_WT_heat_up,GSE101868,GPL17021,2.42978793,NA,84,95
Q_sig_WT_heat_up,GSE147267,GPL19057,2.39519285,NA,80,96
Q_sig_WT_heat_up,GSE147268,GPL19057,2.39519285,NA,80,97
Q_sig_WT_heat_up,GSE128154,GPL21103,2.38993745,NA,82,98
Q_sig_WT_heat_up,GSE148510,GPL19057,2.35718152,NA,86,99
Q_sig_WT_heat_up,GSE99811,GPL13112,2.35690516,NA,80,100
Q_sig_WT_heat_up,GSE231340,GPL24247,2.35584739,NA,73,101
Q_sig_WT_heat_up,GSE113631,GPL19057,2.32831375,NA,83,102
Q_sig_WT_heat_up,GSE148321,GPL21103,2.32732758,NA,92,103
Q_sig_WT_heat_up,GSE182867,GPL21103,2.32732758,NA,92,104
Q_sig_WT_heat_up,GSE120667,GPL18480,2.32172426,NA,70,105
Q_sig_WT_heat_up,GSE143791,GPL21103,2.32053508,NA,92,106
Q_sig_WT_heat_up,GSE218356,GPL17021,2.31848982,NA,80,107
Q_sig_WT_heat_up,GSE44937,GPL7202,2.31751682,NA,102,108
Q_sig_WT_heat_up,GSE153376,GPL19057,2.30012722,NA,57,109
Q_sig_WT_heat_up,GSE160760,GPL24247,2.28614412,NA,105,110
Q_sig_WT_heat_up,GSE184321,GPL23479,2.27789352,NA,85,111
Q_sig_WT_heat_up,GSE176452,GPL21103,2.26874706,NA,80,112
Q_sig_WT_heat_up,GSE85391,GPL17021,2.2678245,NA,89,113
Q_sig_WT_heat_up,GSE201884,GPL17021,2.25968701,NA,99,114
Q_sig_WT_heat_up,GSE202076,GPL17021,2.25968701,NA,99,115
Q_sig_WT_heat_up,GSE52320,GPL13112,2.24822939,NA,73,116
Q_sig_WT_heat_up,GSE52451,GPL13112,2.24822939,NA,73,117
Q_sig_WT_heat_up,GSE109997,GPL19057,2.24192438,NA,75,118
Q_sig_WT_heat_up,GSE110002,GPL19057,2.24192438,NA,75,119
Q_sig_WT_heat_up,GSE70393,GPL1261,2.23333811,NA,54,120
Q_sig_WT_heat_up,GSE37179,GPL6246,2.23211096,NA,87,121
Q_sig_WT_heat_up,GSE235710,GPL21626,2.22097241,NA,87,122
Q_sig_WT_heat_up,GSE235712,GPL21626,2.22097241,NA,87,123
Q_sig_WT_heat_up,GSE197783,GPL21103,2.22070796,NA,119,124
Q_sig_WT_heat_up,GSE197789,GPL21103,2.22070796,NA,119,125
Q_sig_WT_heat_up,GSE234541,GPL24247,2.21460346,NA,102,126
Q_sig_WT_heat_up,GSE221966,GPL21103,2.19667672,NA,83,127
Q_sig_WT_heat_up,GSE100816,GPL13112,2.1963141,NA,81,128
Q_sig_WT_heat_up,GSE115489,GPL21103,2.19159895,NA,92,129
Q_sig_WT_heat_up,GSE134851,GPL19057,2.19101411,NA,71,130
Q_sig_WT_heat_up,GSE184607,GPL19057,2.19029285,NA,99,131
Q_sig_WT_heat_up,GSE210869,GPL24247,2.18427893,NA,89,132
Q_sig_WT_heat_up,GSE154507,GPL13112,2.18414008,NA,122,133
Q_sig_WT_heat_up,GSE62485,GPL10787,2.17299006,NA,160,134
Q_sig_WT_heat_up,GSE70763,GPL20681,2.16600422,NA,90,135
Q_sig_WT_heat_up,GSE190422,GPL18480,2.16524032,NA,95,136
Q_sig_WT_heat_up,GSE117651,GPL23479,2.1512812,NA,71,137
Q_sig_WT_heat_up,GSE176111,GPL19057,2.1447942,NA,85,138
Q_sig_WT_heat_up,GSE87670,GPL19057,2.14310755,NA,99,139
Q_sig_WT_heat_up,GSE206732,GPL21493,2.14309798,NA,60,140
Q_sig_WT_heat_up,GSE100918,GPL17021,2.1397626,NA,119,141
Q_sig_WT_heat_up,GSE154355,GPL13112,2.13967397,NA,80,142
Q_sig_WT_heat_up,GSE21380,GPL1261,2.12231672,NA,58,143
Q_sig_WT_heat_up,GSE16522,GPL1261,2.1024246,NA,111,144
Q_sig_WT_heat_up,GSE164475,GPL17021,2.09589485,NA,76,145
Q_sig_WT_heat_up,GSE34629,GPL1261,2.09491706,NA,92,146
Q_sig_WT_heat_up,GSE224903,GPL24247,2.09389148,NA,85,147
Q_sig_WT_heat_up,GSE110124,GPL10787,2.09288869,NA,93,148
Q_sig_WT_heat_up,GSE49380,GPL7202,2.08383203,NA,103,149
Q_sig_WT_heat_up,GSE223601,GPL24247,2.08139625,NA,67,150
Q_sig_WT_heat_up,GSE83295,GPL13112,2.08034583,NA,98,151
Q_sig_WT_heat_up,GSE237415,GPL17021,2.07916576,NA,79,152
Q_sig_WT_heat_up,GSE229377,GPL24247,2.07707517,NA,105,153
Q_sig_WT_heat_up,GSE99159,GPL21626,2.0720654,NA,69,154
Q_sig_WT_heat_up,GSE165173,GPL13112,2.05804221,NA,111,155
Q_sig_WT_heat_up,GSE114434,GPL21103,2.05710292,NA,76,156
Q_sig_WT_heat_up,GSE63792,GPL13112,2.05537107,NA,91,157
Q_sig_WT_heat_up,GSE212687,GPL24247,2.05238461,NA,57,158
Q_sig_WT_heat_up,GSE157648,GPL21493,2.04754937,NA,60,159
Q_sig_WT_heat_up,GSE108244,GPL19057,2.04113401,NA,72,160
Q_sig_WT_heat_up,GSE97927,GPL1261,2.03655402,NA,102,161
Q_sig_WT_heat_up,GSE179995,GPL17021,2.02374707,NA,69,162
Q_sig_WT_heat_up,GSE82087,GPL13112,2.01753908,NA,104,163
Q_sig_WT_heat_up,GSE137406,GPL19057,1.99502063,NA,57,164
Q_sig_WT_heat_up,GSE79519,GPL19057,1.98919438,NA,58,165
Q_sig_WT_heat_up,GSE79520,GPL19057,1.98919438,NA,58,166
Q_sig_WT_heat_up,GSE118019,GPL13112,1.98801694,NA,70,167
Q_sig_WT_heat_up,GSE237916,GPL24247,1.98791329,NA,71,168
Q_sig_WT_heat_up,GSE50927,GPL13112,1.98568009,NA,116,169
Q_sig_WT_heat_up,GSE32986,GPL1261,1.98503054,NA,89,170
Q_sig_WT_heat_up,GSE182455,GPL17021,1.97960877,NA,91,171
Q_sig_WT_heat_up,GSE106464,GPL17021,1.97743429,NA,95,172
Q_sig_WT_heat_up,GSE141933,GPL17021,1.96631899,NA,89,173
Q_sig_WT_heat_up,GSE108972,GPL18480,1.95808868,NA,62,174
Q_sig_WT_heat_up,GSE138934,GPL21493,1.95584537,NA,65,175
Q_sig_WT_heat_up,GSE172394,GPL24247,1.95469688,NA,80,176
Q_sig_WT_heat_up,GSE95724,GPL6246,1.95347077,NA,97,177
Q_sig_WT_heat_up,GSE136028,GPL24247,1.95006975,NA,64,178
Q_sig_WT_heat_up,GSE220480,GPL24247,1.94941431,NA,68,179
Q_sig_WT_heat_up,GSE130446,GPL17021,1.94046931,NA,81,180
Q_sig_WT_heat_up,GSE153862,GPL13112,1.93953238,NA,103,181
Q_sig_WT_heat_up,GSE153879,GPL13112,1.93953238,NA,103,182
Q_sig_WT_heat_up,GSE157382,GPL21626,1.93845162,NA,115,183
Q_sig_WT_heat_up,GSE182238,GPL24247,1.92606461,NA,93,184
Q_sig_WT_heat_up,GSE25485,GPL1261,1.92570428,NA,98,185
Q_sig_WT_heat_up,GSE84375,GPL13112,1.92281697,NA,83,186
Q_sig_WT_heat_up,GSE125445,GPL13112,1.92151511,NA,93,187
Q_sig_WT_heat_up,GSE141540,GPL1261,1.92110797,NA,87,188
Q_sig_WT_heat_up,GSE161425,GPL13112,1.91563853,NA,79,189
Q_sig_WT_heat_up,GSE149842,GPL17021,1.91409649,NA,72,190
Q_sig_WT_heat_up,GSE238236,GPL30215,1.91220963,NA,99,191
Q_sig_WT_heat_up,GSE210719,GPL24247,1.91151908,NA,99,192
Q_sig_WT_heat_up,GSE102675,GPL13112,1.90380188,NA,115,193
Q_sig_WT_heat_up,GSE212508,GPL17021,1.9013353,NA,100,194
Q_sig_WT_heat_up,GSE120414,GPL17021,1.89808383,NA,97,195
Q_sig_WT_heat_up,GSE206802,GPL1261,1.89487374,NA,78,196
Q_sig_WT_heat_up,GSE153435,GPL24247,1.89484681,NA,100,197
Q_sig_WT_heat_up,GSE94554,GPL21103,1.8942454,NA,109,198
Q_sig_WT_heat_up,GSE167418,GPL17021,1.89380601,NA,108,199
Q_sig_WT_heat_up,GSE167420,GPL17021,1.89380601,NA,108,200
Q_sig_WT_heat_up,GSE40068,GPL6246,1.89060975,NA,75,201
Q_sig_WT_heat_up,GSE214433,GPL19057,1.89043039,NA,111,202
Q_sig_WT_heat_up,GSE156189,GPL19057,1.88804471,NA,86,203
Q_sig_WT_heat_up,GSE87369,GPL11533,1.88484615,NA,76,204
Q_sig_WT_heat_up,GSE196232,GPL24247,1.88354581,NA,74,205
Q_sig_WT_heat_up,GSE196233,GPL24247,1.88354581,NA,74,206
Q_sig_WT_heat_up,GSE221119,GPL19057,1.87572955,NA,94,207
Q_sig_WT_heat_up,GSE151542,GPL19057,1.87382094,NA,80,208
Q_sig_WT_heat_up,GSE151543,GPL19057,1.87382094,NA,80,209
Q_sig_WT_heat_up,GSE27972,GPL1261,1.87298703,NA,88,210
