"class","n_targets","sum_contrib","mean_contrib","pct_of_total"
"other",340,351.431543015202,1.03362218533883,91.8112194900902
"shared/glycolytic",9,39.8072010654215,4.42302234060239,10.3996005678565
"hypoxic HIF core",4,-8.4624941113761,-2.11562352784402,-2.21082005794664
