"contrast","source","score","padj","direction","rank","axis","key_tf","sig"
"Temp_main","Sp1",5.29319700646897,1.4501388242816e-05,"Up",4,"other",FALSE,TRUE
"Temp_main","Stat5a",5.2736875232303,1.4501388242816e-05,"Up",5,"other",FALSE,TRUE
"Temp_main","Rela",5.24945294657549,1.4501388242816e-05,"Up",6,"IFN",TRUE,TRUE
"Temp_main","Ncoa1",5.2492918284642,1.4501388242816e-05,"Up",7,"other",FALSE,TRUE
"Temp_main","Hoxd3",5.20100597089766,1.6466274506011e-05,"Up",8,"other",FALSE,TRUE
"Temp_main","Hif1a",5.13626310899169,1.97940072376512e-05,"Up",9,"HIF",TRUE,TRUE
"Temp_main","Nfkb1",5.12470586395053,1.97940072376512e-05,"Up",10,"IFN",TRUE,TRUE
"Temp_main","Jund",5.10057668750646,2.04437236902884e-05,"Up",11,"other",FALSE,TRUE
"Temp_main","Nfkb",4.81159529401684,8.27105293293278e-05,"Up",12,"other",FALSE,TRUE
"Interaction","Znf331",-2.55753651904743,0.388866416726545,"Down",1,"other",FALSE,FALSE
"Interaction","Mtf2",-2.55462508080796,0.388866416726545,"Down",2,"other",FALSE,FALSE
"Interaction","Meox2",-2.50223546514378,0.389027908897802,"Down",3,"other",FALSE,FALSE
"Interaction","Hsf1",-2.28752996922945,0.514892992664448,"Down",4,"other",FALSE,FALSE
"Interaction","Kat2b",-2.23583516389785,0.556530654534268,"Down",5,"other",FALSE,FALSE
"Interaction","Ehf",-2.13164082002042,0.597687199255728,"Down",6,"other",FALSE,FALSE
"Interaction","Kdm5a",-2.10611798559902,0.597687199255728,"Down",7,"other",FALSE,FALSE
"Interaction","Nfe2l3",-2.07390070555319,0.597687199255728,"Down",8,"other",FALSE,FALSE
"Interaction","Klf1",-2.07337637547626,0.597687199255728,"Down",9,"other",FALSE,FALSE
"Interaction","Dmap1",-2.06052081293361,0.602328505498866,"Down",10,"other",FALSE,FALSE
"Interaction","Dmtf1",-1.87970603259926,0.753076741279291,"Down",11,"other",FALSE,FALSE
"Interaction","Pitx1",-1.80505235102637,0.804304337923335,"Down",12,"other",FALSE,FALSE
"Interaction","Irf9",5.98616827907856,1.0433893066926e-06,"Up",1,"other",FALSE,TRUE
"Interaction","Irf3",5.92518669575007,1.0433893066926e-06,"Up",2,"IFN",TRUE,TRUE
"Interaction","Stat2",5.8487093973095,1.10378376904365e-06,"Up",3,"IFN",TRUE,TRUE
"Interaction","Stat1",5.30465364972135,1.87707358224349e-05,"Up",4,"IFN",TRUE,TRUE
"Interaction","Irf2",3.39797316082186,0.0791594093162233,"Up",5,"other",FALSE,FALSE
"Interaction","Irf1",3.38168906879224,0.0791594093162233,"Up",6,"IFN",TRUE,FALSE
"Interaction","Usf2",3.31342846646262,0.0843618070116346,"Up",7,"other",FALSE,FALSE
"Interaction","Srebf1",3.28387908233416,0.0843618070116346,"Up",8,"other",FALSE,FALSE
"Interaction","Gata3",2.90188734519781,0.271485881240973,"Up",9,"other",FALSE,FALSE
"Interaction","Srebf2",2.67855791743555,0.388866416726545,"Up",10,"other",FALSE,FALSE
"Interaction","Usf1",2.66579017082341,0.388866416726545,"Up",11,"other",FALSE,FALSE
"Interaction","Zfp148",2.62217280936019,0.388866416726545,"Up",12,"other",FALSE,FALSE
