"tf","regulon_class","target","mor","t_wt","aligned_contrib","is_stress_contaminant"
"Hif1a","promiscuous","Mdm2",1,4.93090001499374,4.93090001499374,FALSE
"Hif1a","promiscuous","Aurka",1,4.8957038365384,4.8957038365384,FALSE
"Hif1a","promiscuous","Eln",1,4.77706555936472,4.77706555936472,FALSE
"Hif1a","promiscuous","Il4",1,4.68993804924469,4.68993804924469,FALSE
"Hif1a","promiscuous","Cdh1",-1,-4.58162420835733,4.58162420835733,FALSE
"Hif1a","promiscuous","Errfi1",1,4.55563173242516,4.55563173242516,FALSE
"Hif1a","promiscuous","Vmp1",1,4.54378982565288,4.54378982565288,FALSE
"Hif1a","promiscuous","Ccl5",1,4.53508248604996,4.53508248604996,FALSE
"Hif1a","promiscuous","Il17a",1,4.49447237481451,4.49447237481451,FALSE
"Hif1a","promiscuous","Gpr35",1,4.49329238451825,4.49329238451825,FALSE
"Hif1a","promiscuous","Plau",1,4.41987375861187,4.41987375861187,FALSE
"Hif1a","promiscuous","Ndrg1",1,4.41521755133419,4.41521755133419,FALSE
"Hif1a","promiscuous","Tgfb1",1,4.34110160878678,4.34110160878678,FALSE
"Hif1a","promiscuous","Ankrd37",1,4.33518651180883,4.33518651180883,FALSE
"Hif1a","promiscuous","Hspa4",1,4.30130656542651,4.30130656542651,FALSE
"Hif1a","promiscuous","Tnf",1,4.28954106073917,4.28954106073917,FALSE
"Hif1a","promiscuous","Stc2",1,4.19277426252562,4.19277426252562,FALSE
"Hif1a","promiscuous","Ndrg2",1,4.05867111745917,4.05867111745917,FALSE
"Hif1a","promiscuous","Txn1",1,4.05470534436349,4.05470534436349,FALSE
"Hif1a","promiscuous","Abcb1a",1,3.94791366856173,3.94791366856173,FALSE
"Hif1a","promiscuous","Kdm3a",1,3.92204777314147,3.92204777314147,FALSE
"Hif1a","promiscuous","Bid",-1,-3.80895302687189,3.80895302687189,FALSE
"Hif1a","promiscuous","Cd24a",1,3.78994950950339,3.78994950950339,FALSE
"Hif1a","promiscuous","Il11",1,3.7872164071514,3.7872164071514,FALSE
"Hif1a","promiscuous","Cish",1,3.76842270311315,3.76842270311315,FALSE
"Hif1a","promiscuous","Pik3ca",1,3.70872215942354,3.70872215942354,FALSE
"Hif1a","promiscuous","Pfkfb3",1,3.60954975455625,3.60954975455625,FALSE
"Hif1a","promiscuous","Tlr2",1,3.56005323682291,3.56005323682291,FALSE
"Hif1a","promiscuous","Pparg",1,3.54900365103618,3.54900365103618,FALSE
"Hif1a","promiscuous","Arnt2",1,3.38808736930842,3.38808736930842,FALSE
"Hif1a","promiscuous","Il10",1,3.3695347624915,3.3695347624915,FALSE
"Hif1a","promiscuous","Ddit4",1,3.25348972176229,3.25348972176229,FALSE
"Hif1a","promiscuous","Mxi1",1,3.20675020731611,3.20675020731611,FALSE
"Hif1a","promiscuous","Id2",1,3.14678079604904,3.14678079604904,FALSE
"Hif1a","promiscuous","Cd151",-1,-3.09302542756921,3.09302542756921,FALSE
"Hif1a","promiscuous","Rps6kb1",1,2.99457735212111,2.99457735212111,FALSE
"Hif1a","promiscuous","Tert",1,2.94399145667695,2.94399145667695,FALSE
"Hif1a","promiscuous","Mif",1,2.86604732843626,2.86604732843626,FALSE
"Hif1a","promiscuous","Pgam1",1,2.80832446269756,2.80832446269756,FALSE
"Hif1a","promiscuous","Tlr4",1,2.70083310642827,2.70083310642827,FALSE
"Hif1a","promiscuous","Slc2a3",1,2.64641662693957,2.64641662693957,FALSE
"Hif1a","promiscuous","Tff1",1,2.62020782421357,2.62020782421357,FALSE
"Hif1a","promiscuous","Spry2",-1,-2.60186372830016,2.60186372830016,FALSE
"Hif1a","promiscuous","Hmox1",1,2.57540219730917,2.57540219730917,FALSE
"Hif1a","promiscuous","Brca1",1,2.5320225368738,2.5320225368738,FALSE
"Hif1a","promiscuous","Kdm5b",1,2.48542567824949,2.48542567824949,FALSE
"Hif1a","promiscuous","Flt1",1,2.47548348589301,2.47548348589301,FALSE
"Hif1a","promiscuous","Epor",1,2.38617335662577,2.38617335662577,FALSE
"Hif1a","promiscuous","Atrip",1,2.37998023817142,2.37998023817142,FALSE
"Hif1a","promiscuous","Sdhb",-1,-2.18509695409235,2.18509695409235,FALSE
"Hif1a","promiscuous","Esr1",1,2.16849078444419,2.16849078444419,FALSE
"Hif1a","promiscuous","Aqp4",1,2.11098599122926,2.11098599122926,FALSE
"Hif1a","promiscuous","Aqp1",1,2.08865320121538,2.08865320121538,FALSE
"Hif1a","promiscuous","Psmc6",1,2.05918802917882,2.05918802917882,FALSE
"Hif1a","promiscuous","Hey1",1,1.99920772505278,1.99920772505278,FALSE
"Hif1a","promiscuous","Pmaip1",1,1.97332686085341,1.97332686085341,FALSE
"Hif1a","promiscuous","Ptges",1,1.94541139080765,1.94541139080765,FALSE
"Hif1a","promiscuous","Met",1,1.91219045140099,1.91219045140099,FALSE
"Hif1a","promiscuous","Vegfb",1,1.89517802046365,1.89517802046365,FALSE
"Hif1a","promiscuous","Gys1",1,1.89454557982844,1.89454557982844,FALSE
"Hif1a","promiscuous","Egln1",1,1.85136711194599,1.85136711194599,FALSE
"Hif1a","promiscuous","Hif1an",1,1.84811380878353,1.84811380878353,FALSE
"Hif1a","promiscuous","Ccnd1",1,1.79983993144867,1.79983993144867,FALSE
"Hif1a","promiscuous","Mmp9",1,1.77805523431136,1.77805523431136,FALSE
"Hif1a","promiscuous","Vasp",1,1.70974464148158,1.70974464148158,FALSE
"Hif1a","promiscuous","Vegfc",1,1.61748862309845,1.61748862309845,FALSE
"Hif1a","promiscuous","Ddx3x",1,1.59394147695097,1.59394147695097,FALSE
"Hif1a","promiscuous","Mdk",1,1.57300575527003,1.57300575527003,FALSE
"Hif1a","promiscuous","Rpsa",1,1.5414980163627,1.5414980163627,FALSE
"Hif1a","promiscuous","Gper1",1,1.4919164613058,1.4919164613058,FALSE
"Hif1a","promiscuous","Gk",1,1.48639404816928,1.48639404816928,FALSE
"Hif1a","promiscuous","Ppp1r3c",1,1.44430571563735,1.44430571563735,FALSE
"Hif1a","promiscuous","Hipk2",1,1.39536033269818,1.39536033269818,FALSE
"Hif1a","promiscuous","Carm1",1,1.39080762342719,1.39080762342719,FALSE
"Hif1a","promiscuous","Ngb",1,1.33644148912643,1.33644148912643,FALSE
"Hif1a","promiscuous","Kcnmb1",1,1.31901742558623,1.31901742558623,FALSE
"Hif1a","promiscuous","Ghr",1,1.25797190326844,1.25797190326844,FALSE
"Hif1a","promiscuous","Prkg1",1,1.22959467671273,1.22959467671273,FALSE
"Hif1a","promiscuous","Slc11a1",1,1.22657115137768,1.22657115137768,FALSE
"Hif1a","promiscuous","Cd164",1,1.21525235902178,1.21525235902178,FALSE
