"source","target","t_wt","contrib","module","isoform_attribution","direction"
"Hif1a","Men1",5.78552029202753,5.78552029202753,"other_unclassified","unclassified","Up"
"Hif1a","Nos2",5.5178864893198,5.5178864893198,"other_unclassified","unclassified","Up"
"Hif1a","Bsg",5.34587271550306,5.34587271550306,"other_unclassified","unclassified","Up"
"Hif1a","Msh2",-5.3294115173359,5.3294115173359,"other_unclassified","unclassified","Up"
"Hif1a","Reck",-5.29012660902666,5.29012660902666,"other_unclassified","unclassified","Up"
"Hif1a","Adm",5.27716740211436,5.27716740211436,"other_unclassified","unclassified","Up"
"Hif1a","Fam162a",5.25882654803303,5.25882654803303,"other_unclassified","unclassified","Up"
"Hif1a","E2f3",5.23054713823862,5.23054713823862,"other_unclassified","unclassified","Up"
"Hif1a","Hdac2",5.08322696804307,5.08322696804307,"other_unclassified","unclassified","Up"
"Hif1a","Pgf",5.01988349855369,5.01988349855369,"other_unclassified","unclassified","Up"
"Hif1a","Mdm2",4.93090001499374,4.93090001499374,"other_unclassified","unclassified","Up"
"Hif1a","Aurka",4.8957038365384,4.8957038365384,"other_unclassified","unclassified","Up"
"Hif1a","Eln",4.77706555936472,4.77706555936472,"other_unclassified","unclassified","Up"
"Hif1a","Il4",4.68993804924469,4.68993804924469,"other_unclassified","unclassified","Up"
"Hif1a","Cdh1",-4.58162420835733,4.58162420835733,"other_unclassified","unclassified","Up"
"Hif1a","Errfi1",4.55563173242516,4.55563173242516,"other_unclassified","unclassified","Up"
"Hif1a","Vmp1",4.54378982565288,4.54378982565288,"other_unclassified","unclassified","Up"
"Hif1a","Aldoa",4.53935844328088,4.53935844328088,"other_unclassified","unclassified","Up"
"Hif1a","Ccl5",4.53508248604996,4.53508248604996,"other_unclassified","unclassified","Up"
"Hif1a","Il17a",4.49447237481451,4.49447237481451,"other_unclassified","unclassified","Up"
"Hif1a","Gpr35",4.49329238451825,4.49329238451825,"other_unclassified","unclassified","Up"
"Hif1a","Plau",4.41987375861187,4.41987375861187,"other_unclassified","unclassified","Up"
"Hif1a","Ndrg1",4.41521755133419,4.41521755133419,"other_unclassified","unclassified","Up"
"Hif1a","Tgfb1",4.34110160878678,4.34110160878678,"other_unclassified","unclassified","Up"
"Hif1a","Ankrd37",4.33518651180883,4.33518651180883,"other_unclassified","unclassified","Up"
"Hif1a","Hspa4",4.30130656542651,4.30130656542651,"other_unclassified","unclassified","Up"
"Hif1a","Tnf",4.28954106073917,4.28954106073917,"other_unclassified","unclassified","Up"
"Hif1a","Stc2",4.19277426252562,4.19277426252562,"other_unclassified","unclassified","Up"
"Hif1a","Ndrg2",4.05867111745917,4.05867111745917,"other_unclassified","unclassified","Up"
"Hif1a","Txn1",4.05470534436349,4.05470534436349,"other_unclassified","unclassified","Up"
"Hif1a","Abcb1a",3.94791366856173,3.94791366856173,"other_unclassified","unclassified","Up"
"Hif1a","Kdm3a",3.92204777314147,3.92204777314147,"other_unclassified","unclassified","Up"
"Hif1a","Bid",-3.80895302687189,3.80895302687189,"other_unclassified","unclassified","Up"
"Hif1a","Cd24a",3.78994950950339,3.78994950950339,"other_unclassified","unclassified","Up"
"Hif1a","Il11",3.7872164071514,3.7872164071514,"other_unclassified","unclassified","Up"
"Hif1a","Cish",3.76842270311315,3.76842270311315,"other_unclassified","unclassified","Up"
"Hif1a","Pik3ca",3.70872215942354,3.70872215942354,"other_unclassified","unclassified","Up"
"Hif1a","Pfkfb3",3.60954975455625,3.60954975455625,"other_unclassified","unclassified","Up"
"Hif1a","Tlr2",3.56005323682291,3.56005323682291,"other_unclassified","unclassified","Up"
"Hif1a","Pparg",3.54900365103618,3.54900365103618,"other_unclassified","unclassified","Up"
"Hif1a","Arnt2",3.38808736930842,3.38808736930842,"other_unclassified","unclassified","Up"
"Hif1a","Il10",3.3695347624915,3.3695347624915,"other_unclassified","unclassified","Up"
