"contrast","source","statistic","rank","score"
"Interaction","Nfkb","norm_wsum",15,2.52803228348585
"Interaction","Nfkb","ulm",17,2.52064201807473
"Interaction","Nfkb","wsum",2,80.4564515915491
"Interaction","Nfkb1","consensus",12,2.44589219290574
"Interaction","Nfkb1","corr_wsum",5,82.6748378960126
"Interaction","Nfkb1","mlm",257,0.272467694275428
"Interaction","Nfkb1","norm_wsum",21,2.27516445817909
"Interaction","Nfkb1","ulm",27,2.15832256124354
"Interaction","Nfkb1","wsum",5,48.6617407517581
"Interaction","Onecut1","consensus",469,-0.34059033912423
"Interaction","Onecut1","corr_wsum",472,-0.206064449521085
"Interaction","Onecut1","mlm",561,-1.0986209665662
"Interaction","Onecut1","norm_wsum",461,-0.311514999552608
"Interaction","Onecut1","ulm",414,-0.139827656920643
"Interaction","Onecut1","wsum",424,-0.206064449521085
"Interaction","Rarg","consensus",226,0.358110444281765
"Interaction","Rarg","corr_wsum",194,0.862527051500409
"Interaction","Rarg","mlm",203,0.461560339980828
"Interaction","Rarg","norm_wsum",241,0.614794890237409
"Interaction","Rarg","ulm",213,0.671820404631165
"Interaction","Rarg","wsum",205,3.88790585023346
"Interaction","Rela","consensus",11,2.4737303146291
"Interaction","Rela","corr_wsum",4,91.1350135220143
"Interaction","Rela","mlm",418,-0.3755294668751
"Interaction","Rela","norm_wsum",23,2.25742029284695
"Interaction","Rela","ulm",34,2.03180109262798
"Interaction","Rela","wsum",4,53.6413316829753
"Interaction","Sin3a","consensus",592,-0.950977492697508
"Interaction","Sin3a","corr_wsum",607,-1.12883107369318
"Interaction","Sin3a","mlm",551,-1.05065961455752
"Interaction","Sin3a","norm_wsum",587,-1.0714028043763
"Interaction","Sin3a","ulm",588,-1.09696408160295
"Interaction","Sin3a","wsum",576,-3.34724177383218
"Interaction","Sirt1","consensus",243,0.316791477921594
"Interaction","Sirt1","corr_wsum",210,0.733981211568021
"Interaction","Sirt1","mlm",108,0.956952514196229
"Interaction","Sirt1","norm_wsum",292,0.371677846042682
"Interaction","Sirt1","ulm",317,0.25205138057207
"Interaction","Sirt1","wsum",300,1.84445191630111
"Interaction","Sp1","consensus",231,0.34967018096953
"Interaction","Sp1","corr_wsum",227,0.591920295107628
"Interaction","Sp1","mlm",567,-1.13933537769237
"Interaction","Sp1","norm_wsum",343,0.168741870900465
"Interaction","Sp1","ulm",369,0.0345942732656327
"Interaction","Sp1","wsum",14,33.387561381382
"Interaction","Stat1","consensus",1,5.34853525686302
"Interaction","Stat1","corr_wsum",1,151.54271459109
"Interaction","Stat1","mlm",2,3.29567761158641
"Interaction","Stat1","norm_wsum",4,4.96165062819422
"Interaction","Stat1","ulm",4,5.30465364972135
"Interaction","Stat1","wsum",1,89.1968158380261
"Interaction","Stat2","consensus",5,3.36178568090137
"Interaction","Stat2","corr_wsum",12,57.0791724345212
"Interaction","Stat2","mlm",44,1.58996268512978
"Interaction","Stat2","norm_wsum",1,6.35129970108613
"Interaction","Stat2","ulm",3,5.8487093973095
"Interaction","Stat2","wsum",13,33.596339128323
"Interaction","Stat3","consensus",135,0.57296881876119
"Interaction","Stat3","corr_wsum",62,7.70456836263099
"Interaction","Stat3","mlm",586,-1.27327116084787
"Interaction","Stat3","norm_wsum",172,0.918847015274451
"Interaction","Stat3","ulm",141,1.03036851629643
"Interaction","Stat3","wsum",19,27.1290812407433
"Interaction","Stat5a","consensus",57,1.01884934177338
"Interaction","Stat5a","corr_wsum",39,15.2242990300373
"Interaction","Stat5a","mlm",309,0.0672766373669298
"Interaction","Stat5a","norm_wsum",76,1.54478381798366
"Interaction","Stat5a","ulm",79,1.47451982631845
"Interaction","Stat5a","wsum",26,23.1521048339579
"Interaction","Tbx5","consensus",203,0.423422492599138
"Interaction","Tbx5","corr_wsum",236,0.509909031494226
"Interaction","Tbx5","mlm",147,0.740502596766531
"Interaction","Tbx5","norm_wsum",201,0.783254115247218
"Interaction","Tbx5","ulm",207,0.695315632976598
"Interaction","Tbx5","wsum",244,3.0443950166727
"Interaction","Thap11","consensus",438,-0.213535086214259
"Interaction","Thap11","corr_wsum",468,-0.197033046209578
"Interaction","Thap11","mlm",308,0.0682829541346176
"Interaction","Thap11","norm_wsum",458,-0.30536651557534
"Interaction","Thap11","ulm",486,-0.423213187288389
"Interaction","Thap11","wsum",474,-0.949061459694893
"Interaction","Tox3","consensus",192,0.447538165591397
"Interaction","Tox3","corr_wsum",302,0.279163163134061
"Interaction","Tox3","mlm",136,0.796467609807871
"Interaction","Tox3","norm_wsum",182,0.854943346772721
"Interaction","Tox3","ulm",188,0.840098358955734
"Interaction","Tox3","wsum",292,1.95673966496212
"Interaction","Trp53","consensus",426,-0.168191163123476
"Interaction","Trp53","corr_wsum",118,3.0356320939956
"Interaction","Trp53","mlm",503,-0.773740503364242
"Interaction","Trp53","norm_wsum",459,-0.307569974886223
"Interaction","Trp53","ulm",480,-0.400022105410427
"Interaction","Trp53","wsum",137,6.47917928224668
"WT_heat","Ap1","consensus",16,2.08275522338673
"WT_heat","Ap1","corr_wsum",10,571.702419120256
"WT_heat","Ap1","mlm",533,-1.11219328478222
"WT_heat","Ap1","norm_wsum",27,3.92931301593728
"WT_heat","Ap1","ulm",24,4.15477626431564
"WT_heat","Ap1","wsum",10,336.499418860362
"WT_heat","Egr1","consensus",6,2.9400388583623
"WT_heat","Egr1","corr_wsum",6,655.655550806897
"WT_heat","Egr1","mlm",292,0.216932285991746
"WT_heat","Egr1","norm_wsum",1,7.13392195608841
"WT_heat","Egr1","ulm",2,5.67579847552521
"WT_heat","Egr1","wsum",6,385.913552995973
"WT_heat","Epas1","consensus",30,1.67706892685409
"WT_heat","Epas1","corr_wsum",32,230.719048695624
"WT_heat","Epas1","mlm",32,2.21513594591041
"WT_heat","Epas1","norm_wsum",28,3.90376668394372
"WT_heat","Epas1","ulm",27,4.02708406492631
"WT_heat","Epas1","wsum",36,135.799365560778
"WT_heat","Fos","consensus",7,2.92769088409986
"WT_heat","Fos","corr_wsum",8,602.828549324278
"WT_heat","Fos","mlm",22,2.4927313804667
"WT_heat","Fos","norm_wsum",16,4.94752845363444
"WT_heat","Fos","ulm",4,5.55136501076827
"WT_heat","Fos","wsum",8,354.820007290165
"WT_heat","Hif1a","consensus",8,2.88979033116102
"WT_heat","Hif1a","corr_wsum",7,650.325367069978
"WT_heat","Hif1a","mlm",142,1.13360497467633
"WT_heat","Hif1a","norm_wsum",3,5.84933517401361
"WT_heat","Hif1a","ulm",12,5.11034559073191
"WT_heat","Hif1a","wsum",7,382.776249969248
"WT_heat","Hoxa10","consensus",71,1.06983922517544
"WT_heat","Hoxa10","corr_wsum",106,83.7763815294824
"WT_heat","Hoxa10","mlm",9,3.1398453675366
"WT_heat","Hoxa10","norm_wsum",149,2.1439690293053
"WT_heat","Hoxa10","ulm",164,1.93093571503557
"WT_heat","Hoxa10","wsum",140,49.310100423005
"WT_heat","Hoxd3","consensus",21,1.77014687892413
"WT_heat","Hoxd3","corr_wsum",97,97.4019777639808
"WT_heat","Hoxd3","mlm",5,3.49239198536801
"WT_heat","Hoxd3","norm_wsum",8,5.37602845206776
"WT_heat","Hoxd3","ulm",10,5.20061740340845
"WT_heat","Hoxd3","wsum",113,57.3300161364808
"WT_heat","Hsf2","consensus",27,1.7082984694571
"WT_heat","Hsf2","corr_wsum",72,128.526547278151
"WT_heat","Hsf2","mlm",8,3.17465568982034
"WT_heat","Hsf2","norm_wsum",12,5.16451206977645
"WT_heat","Hsf2","ulm",18,4.40849776515939
"WT_heat","Hsf2","wsum",85,75.6496859568636
"WT_heat","Irf1","consensus",601,-0.869669877455484
"WT_heat","Irf1","corr_wsum",465,-0.320543426941636
"WT_heat","Irf1","mlm",651,-3.11175020666165
"WT_heat","Irf1","norm_wsum",526,-0.549218653492794
"WT_heat","Irf1","ulm",537,-0.645512728888348
"WT_heat","Irf1","wsum",623,-36.5336439781507
"WT_heat","Irf3","consensus",612,-0.947539795950633
"WT_heat","Irf3","corr_wsum",618,-24.8191293526117
"WT_heat","Irf3","mlm",522,-1.06152009732295
"WT_heat","Irf3","norm_wsum",600,-1.33888679004853
"WT_heat","Irf3","ulm",596,-1.29130233255064
"WT_heat","Irf3","wsum",636,-44.8937142251861
"WT_heat","Irf7","consensus",187,0.563500505701653
"WT_heat","Irf7","corr_wsum",239,8.92925832912432
"WT_heat","Irf7","mlm",71,1.56291868949889
"WT_heat","Irf7","norm_wsum",217,1.48361661590463
"WT_heat","Irf7","ulm",225,1.38364091164756
"WT_heat","Irf7","wsum",235,22.4387046653642
"WT_heat","Jun","consensus",2,3.57935798823643
"WT_heat","Jun","corr_wsum",2,909.749391882394
"WT_heat","Jun","mlm",214,0.628080700790229
"WT_heat","Jun","norm_wsum",4,5.84054602804436
"WT_heat","Jun","ulm",1,6.07261670605204
"WT_heat","Jun","wsum",2,535.471132251059
"WT_heat","Ncoa1","consensus",17,2.08041648450147
"WT_heat","Ncoa1","corr_wsum",26,280.963971520668
"WT_heat","Ncoa1","mlm",24,2.39533732598104
"WT_heat","Ncoa1","norm_wsum",10,5.25813591822018
"WT_heat","Ncoa1","ulm",8,5.2855818525938
"WT_heat","Ncoa1","wsum",27,165.373120657579
"WT_heat","Nfkb","consensus",3,3.40718016404304
"WT_heat","Nfkb","corr_wsum",3,859.911288038006
"WT_heat","Nfkb","mlm",170,0.904393384949737
"WT_heat","Nfkb","norm_wsum",5,5.79789660009474
"WT_heat","Nfkb","ulm",9,5.23485403882253
"WT_heat","Nfkb","wsum",3,506.136827515134
"WT_heat","Nfkb1","consensus",5,3.02035411929374
"WT_heat","Nfkb1","corr_wsum",5,682.325595918686
"WT_heat","Nfkb1","mlm",86,1.48135558082236
"WT_heat","Nfkb1","norm_wsum",7,5.41239605165606
"WT_heat","Nfkb1","ulm",6,5.48818193494507
"WT_heat","Nfkb1","wsum",5,401.611325789915
"WT_heat","Onecut1","consensus",134,0.785604518794126
"WT_heat","Onecut1","corr_wsum",281,3.60655856209322
"WT_heat","Onecut1","mlm",4,3.65977767757395
"WT_heat","Onecut1","norm_wsum",292,1.01516412301491
"WT_heat","Onecut1","ulm",269,1.12329943700343
"WT_heat","Onecut1","wsum",291,15.2450774561643
"WT_heat","Rarg","consensus",78,1.02386483918635
"WT_heat","Rarg","corr_wsum",146,47.7536608709003
"WT_heat","Rarg","mlm",10,2.90372742841829
"WT_heat","Rarg","norm_wsum",129,2.32353318696925
"WT_heat","Rarg","ulm",122,2.27524755095897
"WT_heat","Rarg","wsum",157,43.5347114208079
"WT_heat","Rela","consensus",4,3.17907449564078
"WT_heat","Rela","corr_wsum",4,782.521746935946
"WT_heat","Rela","mlm",350,-0.065192212383755
"WT_heat","Rela","norm_wsum",2,6.69703891960233
"WT_heat","Rela","ulm",3,5.592065010159
"WT_heat","Rela","wsum",4,460.585969698603
"WT_heat","Sin3a","consensus",76,1.03035439097079
"WT_heat","Sin3a","corr_wsum",163,36.1251310775354
"WT_heat","Sin3a","mlm",7,3.21967616050131
"WT_heat","Sin3a","norm_wsum",130,2.31608418018582
"WT_heat","Sin3a","ulm",120,2.33396817001178
"WT_heat","Sin3a","wsum",204,29.5659598529509
"WT_heat","Sirt1","consensus",58,1.14382632165835
"WT_heat","Sirt1","corr_wsum",126,62.5662592627691
"WT_heat","Sirt1","mlm",3,3.66855252832735
"WT_heat","Sirt1","norm_wsum",141,2.19801837182125
"WT_heat","Sirt1","ulm",161,1.9465294176033
"WT_heat","Sirt1","wsum",114,57.0386435722231
"WT_heat","Sp1","consensus",1,4.13649406737477
"WT_heat","Sp1","corr_wsum",1,1067.68624202717
"WT_heat","Sp1","mlm",37,2.15764169448798
"WT_heat","Sp1","norm_wsum",6,5.75280483604128
"WT_heat","Sp1","ulm",7,5.30400849844613
"WT_heat","Sp1","wsum",1,628.43148454786
"WT_heat","Stat1","consensus",104,0.898650278566889
"WT_heat","Stat1","corr_wsum",69,132.146903557384
"WT_heat","Stat1","mlm",274,0.301263485933524
"WT_heat","Stat1","norm_wsum",117,2.43068186027646
"WT_heat","Stat1","ulm",151,2.01600339429586
"WT_heat","Stat1","wsum",43,120.471963962657
"WT_heat","Stat2","consensus",580,-0.609461671776771
"WT_heat","Stat2","corr_wsum",534,-1.92897398591312
"WT_heat","Stat2","mlm",593,-1.75012525679626
"WT_heat","Stat2","norm_wsum",540,-0.700272769134127
"WT_heat","Stat2","ulm",550,-0.767050591006001
"WT_heat","Stat2","wsum",589,-19.9047954492872
"WT_heat","Stat3","consensus",10,2.43783363003022
"WT_heat","Stat3","corr_wsum",11,535.704128187125
"WT_heat","Stat3","mlm",148,1.07723921177815
"WT_heat","Stat3","norm_wsum",14,5.01168854913438
"WT_heat","Stat3","ulm",19,4.39828920558178
"WT_heat","Stat3","wsum",11,315.311116040854
"WT_heat","Stat5a","consensus",12,2.32780948386084
"WT_heat","Stat5a","corr_wsum",13,481.8399998506
"WT_heat","Stat5a","mlm",255,0.387670474718099
"WT_heat","Stat5a","norm_wsum",9,5.28527908829708
"WT_heat","Stat5a","ulm",5,5.52373632877914
"WT_heat","Stat5a","wsum",13,283.607125859123
"WT_heat","Tbx5","consensus",41,1.41955758418529
"WT_heat","Tbx5","corr_wsum",98,96.8860512284284
"WT_heat","Tbx5","mlm",6,3.35288869709437
"WT_heat","Tbx5","norm_wsum",38,3.53955870184816
"WT_heat","Tbx5","ulm",34,3.54673816895984
"WT_heat","Tbx5","wsum",115,57.0263459514654
"WT_heat","Thap11","consensus",37,1.45080197713308
"WT_heat","Thap11","corr_wsum",127,61.4815365342467
"WT_heat","Thap11","mlm",1,4.55902733785368
"WT_heat","Thap11","norm_wsum",73,2.94393387732618
"WT_heat","Thap11","ulm",36,3.53052843909372
"WT_heat","Thap11","wsum",178,36.1875350225942
"WT_heat","Tox3","consensus",70,1.07130121522589
"WT_heat","Tox3","corr_wsum",197,19.3382012212737
"WT_heat","Tox3","mlm",2,4.39061491794199
"WT_heat","Tox3","norm_wsum",177,1.84217110840758
"WT_heat","Tox3","ulm",169,1.89599844158118
"WT_heat","Tox3","wsum",271,17.6297061672749
"WT_heat","Trp53","consensus",9,2.46290824293866
"WT_heat","Trp53","corr_wsum",9,585.703840240676
"WT_heat","Trp53","mlm",18,2.60619511103537
"WT_heat","Trp53","norm_wsum",94,2.69624171830336
"WT_heat","Trp53","ulm",55,3.16125150018752
"WT_heat","Trp53","wsum",9,344.740542061293
