"contrast","source","statistic","rank","score"
"Interaction","Ap1","consensus",124,0.598272786368332
"Interaction","Ap1","corr_wsum",57,8.9136347638861
"Interaction","Ap1","mlm",484,-0.642031243757406
"Interaction","Ap1","norm_wsum",224,0.668657053443709
"Interaction","Ap1","ulm",225,0.633046037661331
"Interaction","Ap1","wsum",20,26.4309614907641
"Interaction","Egr1","consensus",106,0.696477261712286
"Interaction","Egr1","corr_wsum",78,6.05868796691861
"Interaction","Egr1","mlm",247,0.302580354845804
"Interaction","Egr1","norm_wsum",184,0.844360224552864
"Interaction","Egr1","ulm",199,0.773698962043621
"Interaction","Egr1","wsum",31,20.1265257754629
"Interaction","Epas1","consensus",565,-0.811505122016622
"Interaction","Epas1","corr_wsum",526,-0.365607642621544
"Interaction","Epas1","mlm",517,-0.845677965885843
"Interaction","Epas1","norm_wsum",554,-0.791518597170725
"Interaction","Epas1","ulm",562,-0.860323598542533
"Interaction","Epas1","wsum",614,-4.82837025176931
"Interaction","Fos","consensus",269,0.252321391240049
"Interaction","Fos","corr_wsum",133,2.32863521266139
"Interaction","Fos","mlm",563,-1.11834363906324
"Interaction","Fos","norm_wsum",232,0.640713569817389
"Interaction","Fos","ulm",243,0.546679075469974
"Interaction","Fos","wsum",42,16.3221136868042
"Interaction","Hif1a","consensus",307,0.128582355767492
"Interaction","Hif1a","corr_wsum",167,1.36709007802061
"Interaction","Hif1a","mlm",248,0.299621987602839
"Interaction","Hif1a","norm_wsum",411,-0.110558844272147
"Interaction","Hif1a","ulm",423,-0.18557966660011
"Interaction","Hif1a","wsum",123,7.5757502643409
"Interaction","Hoxa10","consensus",103,0.719069865702093
"Interaction","Hoxa10","corr_wsum",143,2.01102665038989
"Interaction","Hoxa10","mlm",49,1.5218869937094
"Interaction","Hoxa10","norm_wsum",155,0.98666009880706
"Interaction","Hoxa10","ulm",157,0.953009513802381
"Interaction","Hoxa10","wsum",135,6.68048592949739
"Interaction","Hoxd3","consensus",393,-0.0656843808335456
"Interaction","Hoxd3","corr_wsum",352,0.16639765953169
"Interaction","Hoxd3","mlm",422,-0.38982231891023
"Interaction","Hoxd3","norm_wsum",364,0.0821406920307203
"Interaction","Hoxd3","ulm",388,-0.0322836797551242
"Interaction","Hoxd3","wsum",398,0.166397659531691
"Interaction","Hsf2","consensus",628,-1.3126022965472
"Interaction","Hsf2","corr_wsum",631,-2.59026349915701
"Interaction","Hsf2","mlm",556,-1.08158391722998
"Interaction","Hsf2","norm_wsum",633,-1.52996573069383
"Interaction","Hsf2","ulm",619,-1.31758716363709
"Interaction","Hsf2","wsum",618,-4.95385119884394
"Interaction","Irf1","consensus",7,2.70165512351639
"Interaction","Irf1","corr_wsum",7,70.9495367697351
"Interaction","Irf1","mlm",126,0.861933826571483
"Interaction","Irf1","norm_wsum",5,3.56085972030742
"Interaction","Irf1","ulm",6,3.38168906879224
"Interaction","Irf1","wsum",7,41.7603233657225
"Interaction","Irf3","consensus",2,4.11647776586535
"Interaction","Irf3","corr_wsum",6,79.7773368835195
"Interaction","Irf3","mlm",3,3.18473002068028
"Interaction","Irf3","norm_wsum",2,6.13702314158151
"Interaction","Irf3","ulm",2,5.92518669575007
"Interaction","Irf3","wsum",6,46.9562950963914
"Interaction","Irf7","consensus",344,0.0542858763236167
"Interaction","Irf7","corr_wsum",202,0.769360385321126
"Interaction","Irf7","mlm",606,-1.45204189858599
"Interaction","Irf7","norm_wsum",186,0.835710877758939
"Interaction","Irf7","ulm",176,0.881016753599741
"Interaction","Irf7","wsum",200,3.96945765169367
"Interaction","Jun","consensus",260,0.278451319119224
"Interaction","Jun","corr_wsum",358,0.144900093074378
"Interaction","Jun","mlm",327,0.0107200978150171
"Interaction","Jun","norm_wsum",373,0.0401857924419349
"Interaction","Jun","ulm",370,0.032265745776421
"Interaction","Jun","wsum",41,16.5148556103261
"Interaction","Ncoa1","consensus",419,-0.145189346167974
"Interaction","Ncoa1","corr_wsum",233,0.539745306276444
"Interaction","Ncoa1","mlm",592,-1.33153463794733
"Interaction","Ncoa1","norm_wsum",348,0.146304785784742
"Interaction","Ncoa1","ulm",334,0.188195462265539
"Interaction","Ncoa1","wsum",226,3.48443174202651
"Interaction","Nfkb","consensus",3,3.72639368780454
"Interaction","Nfkb","corr_wsum",2,136.693097909355
"Interaction","Nfkb","mlm",169,0.622618333950773
