"tf","shared_targets","pct_of_hif1a_set","family"
"Sp1",171,48.4419263456091,"housekeeping"
"Trp53",143,40.5099150141643,"stress/senescence"
"Nfkb",127,35.9773371104816,"NF-kB"
"Jun",118,33.4277620396601,"AP-1/immediate-early"
"Myc",110,31.1614730878187,"proliferation/metabolism"
"Rela",102,28.8951841359773,"NF-kB"
"Ap1",100,28.328611898017,"AP-1/immediate-early"
"Esr1",96,27.1954674220963,"nuclear receptor"
"Stat3",90,25.4957507082153,"cytokine/STAT"
"Egr1",85,24.0793201133144,"AP-1/immediate-early"
"Nfkb1",81,22.9461756373938,"NF-kB"
"Ar",80,22.6628895184136,"nuclear receptor"
"Creb1",79,22.3796033994334,"growth-factor/other-stress"
"Sp3",75,21.2464589235127,"housekeeping"
"Pparg",74,20.9631728045326,"nuclear receptor"
"Cebpb",69,19.5467422096317,"growth-factor/other-stress"
"Fos",66,18.6968838526912,"AP-1/immediate-early"
"Foxo3",56,15.8640226628895,"growth-factor/other-stress"
"Stat1",55,15.5807365439093,"cytokine/STAT"
"Ets1",53,15.014164305949,"growth-factor/other-stress"
"Ppara",52,14.7308781869688,"nuclear receptor"
"Tfap2a",52,14.7308781869688,"other"
"Nr3c1",51,14.4475920679887,"nuclear receptor"
"Foxo1",50,14.1643059490085,"growth-factor/other-stress"
"Smad3",48,13.5977337110482,"growth-factor/other-stress"
"E2f1",46,13.0311614730878,"other"
"Epas1",46,13.0311614730878,"HIF axis"
"Spi1",45,12.7478753541076,"other"
"Stat5a",45,12.7478753541076,"cytokine/STAT"
"Yy1",44,12.4645892351275,"other"
"Ctnnb1",43,12.1813031161473,"other"
"Ahr",42,11.8980169971671,"other"
"Nfe2l2",42,11.8980169971671,"other"
"Hnf4a",40,11.3314447592068,"other"
"Cebpa",39,11.0481586402266,"other"
"Dnmt1",38,10.7648725212465,"other"
"Esr2",37,10.4815864022663,"other"
"Trp63",37,10.4815864022663,"other"
"Runx1",36,10.1983002832861,"other"
"Myb",35,9.91501416430595,"other"
"Smad4",35,9.91501416430595,"other"
"Usf1",34,9.63172804532578,"other"
"Wt1",33,9.34844192634561,"other"
"Smad2",32,9.06515580736544,"other"
"Trp73",32,9.06515580736544,"other"
"Cebpg",31,8.78186968838527,"other"
"Gli1",31,8.78186968838527,"other"
"Irf1",31,8.78186968838527,"other"
"Atf2",30,8.4985835694051,"other"
"Foxm1",30,8.4985835694051,"other"
"Jund",30,8.4985835694051,"AP-1/immediate-early"
"Klf4",30,8.4985835694051,"other"
"Nfatc1",30,8.4985835694051,"other"
"Snai1",30,8.4985835694051,"other"
"Ezh2",29,8.21529745042493,"other"
"Ppard",29,8.21529745042493,"other"
"Rara",29,8.21529745042493,"other"
"Rbpj",29,8.21529745042493,"other"
"Runx2",29,8.21529745042493,"growth-factor/other-stress"
"Ets2",28,7.93201133144476,"other"
"Ssrp1",28,7.93201133144476,"other"
"Arnt",27,7.64872521246459,"other"
"Atf3",27,7.64872521246459,"other"
"Nr1h4",26,7.36543909348442,"nuclear receptor"
"Rel",26,7.36543909348442,"NF-kB"
"Gata3",25,7.08215297450425,"other"
"Id1",25,7.08215297450425,"other"
"Junb",25,7.08215297450425,"other"
"Kat7",25,7.08215297450425,"other"
"Ncoa1",25,7.08215297450425,"growth-factor/other-stress"
"Pgr",25,7.08215297450425,"other"
"Hmga1",24,6.79886685552408,"other"
"Hsf1",24,6.79886685552408,"heat-shock"
"Klf2",24,6.79886685552408,"other"
"Myod1",24,6.79886685552408,"other"
"Nfatc2",24,6.79886685552408,"other"
"Tbp",24,6.79886685552408,"other"
"Cebpd",23,6.51558073654391,"other"
"Cux1",23,6.51558073654391,"other"
"Klf5",23,6.51558073654391,"other"
"Nr4a1",23,6.51558073654391,"other"
"Runx3",23,6.51558073654391,"other"
"Srebf1",23,6.51558073654391,"other"
"Usf2",23,6.51558073654391,"other"
"Vdr",23,6.51558073654391,"other"
"Atf4",22,6.23229461756374,"other"
"Bcl6",22,6.23229461756374,"other"
"Ctcf",22,6.23229461756374,"other"
"Ddit3",22,6.23229461756374,"other"
"E2f4",22,6.23229461756374,"other"
"Etv4",22,6.23229461756374,"other"
"Fli1",22,6.23229461756374,"other"
"Hr",22,6.23229461756374,"other"
"Nkx3-1",22,6.23229461756374,"other"
"Nr0b2",22,6.23229461756374,"other"
"Sirt1",22,6.23229461756374,"other"
"Atf1",21,5.94900849858357,"other"
"Hes1",21,5.94900849858357,"other"
"Mycn",21,5.94900849858357,"other"
"Nr1h3",21,5.94900849858357,"other"
"Tcf4",21,5.94900849858357,"other"
"Tcf7l2",21,5.94900849858357,"other"
"Ybx1",21,5.94900849858357,"other"
"Ep300",20,5.6657223796034,"growth-factor/other-stress"
"Foxa2",20,5.6657223796034,"other"
"Gata1",20,5.6657223796034,"other"
"Gata4",20,5.6657223796034,"other"
"Hdac1",20,5.6657223796034,"other"
"Ncoa3",20,5.6657223796034,"other"
"Nr1i2",20,5.6657223796034,"other"
"Pou2f1",20,5.6657223796034,"other"
"Stat6",20,5.6657223796034,"other"
"Gli2",19,5.38243626062323,"other"
"Id2",19,5.38243626062323,"other"
"Lef1",19,5.38243626062323,"other"
"Mta1",19,5.38243626062323,"other"
"Nr2f2",19,5.38243626062323,"other"
"Pax3",19,5.38243626062323,"other"
"Srf",19,5.38243626062323,"other"
"Irf8",18,5.09915014164306,"other"
