"contrast","statistic","source","score","rank","direction","axis","key_tf"
"Interaction","consensus","Hsf1",-3.55629673669188,1,"Down","other",FALSE
"Interaction","consensus","Znf331",-3.35869480361029,2,"Down","other",FALSE
"Interaction","consensus","Mtf2",-2.45268810775532,3,"Down","other",FALSE
"Interaction","consensus","Klf1",-2.43092940031719,4,"Down","other",FALSE
"Interaction","consensus","Kdm5a",-2.30962218286343,5,"Down","other",FALSE
"Interaction","consensus","Dmap1",-2.27060266203974,6,"Down","other",FALSE
"Interaction","consensus","Kat2b",-2.2154599082051,7,"Down","other",FALSE
"Interaction","consensus","Pitx1",-2.20932309924726,8,"Down","other",FALSE
"Interaction","consensus","Ascl1",-2.20726885349369,9,"Down","other",FALSE
"Interaction","consensus","Meox2",-2.11611600469852,10,"Down","other",FALSE
"Interaction","consensus","Sox17",-2.10479181231601,11,"Down","other",FALSE
"Interaction","consensus","Lef1",-1.97069241962203,12,"Down","other",FALSE
"Interaction","consensus","Stat1",5.34853525686302,1,"Up","IFN",TRUE
"Interaction","consensus","Irf3",4.11647776586535,2,"Up","IFN",TRUE
"Interaction","consensus","Nfkb",3.72639368780454,3,"Up","other",FALSE
"Interaction","consensus","Irf9",3.53367813730595,4,"Up","other",FALSE
"Interaction","consensus","Stat2",3.36178568090137,5,"Up","IFN",TRUE
"Interaction","consensus","Esr1",3.19780096400513,6,"Up","other",FALSE
"Interaction","consensus","Irf1",2.70165512351639,7,"Up","IFN",TRUE
"Interaction","consensus","Gata3",2.59984658555931,8,"Up","other",FALSE
"Interaction","consensus","Usf2",2.50235395479933,9,"Up","other",FALSE
"Interaction","consensus","Srebf1",2.48438341989308,10,"Up","other",FALSE
"Interaction","consensus","Rela",2.4737303146291,11,"Up","IFN",TRUE
"Interaction","consensus","Nfkb1",2.44589219290574,12,"Up","IFN",TRUE
"Interaction","corr_wsum","Znf331",-18.0603121239768,1,"Down","other",FALSE
"Interaction","corr_wsum","Hsf1",-14.1708413030074,2,"Down","other",FALSE
"Interaction","corr_wsum","Kat2b",-9.71160151057888,3,"Down","other",FALSE
"Interaction","corr_wsum","Meox2",-8.23394455984984,4,"Down","other",FALSE
"Interaction","corr_wsum","Klf1",-8.07933109503043,5,"Down","other",FALSE
"Interaction","corr_wsum","Pitx1",-8.0761787785678,6,"Down","other",FALSE
"Interaction","corr_wsum","Sox17",-7.82452997186199,7,"Down","other",FALSE
"Interaction","corr_wsum","Mtf2",-7.60975297828656,8,"Down","other",FALSE
"Interaction","corr_wsum","Dmap1",-7.40128906808753,9,"Down","other",FALSE
"Interaction","corr_wsum","Kdm5a",-6.5532344678025,10,"Down","other",FALSE
"Interaction","corr_wsum","Nfe2l3",-6.33192618687085,11,"Down","other",FALSE
"Interaction","corr_wsum","Ehf",-5.66674937838378,12,"Down","other",FALSE
"Interaction","corr_wsum","Stat1",151.54271459109,1,"Up","IFN",TRUE
"Interaction","corr_wsum","Nfkb",136.693097909355,2,"Up","other",FALSE
"Interaction","corr_wsum","Esr1",97.7685512484691,3,"Up","other",FALSE
"Interaction","corr_wsum","Rela",91.1350135220143,4,"Up","IFN",TRUE
"Interaction","corr_wsum","Nfkb1",82.6748378960126,5,"Up","IFN",TRUE
"Interaction","corr_wsum","Irf3",79.7773368835195,6,"Up","IFN",TRUE
"Interaction","corr_wsum","Irf1",70.9495367697351,7,"Up","IFN",TRUE
"Interaction","corr_wsum","Gata3",66.6801802275076,8,"Up","other",FALSE
"Interaction","corr_wsum","Usf1",62.7074326946012,9,"Up","other",FALSE
"Interaction","corr_wsum","Srebf1",59.1208650246664,10,"Up","other",FALSE
"Interaction","corr_wsum","Hnf4a",57.1486640717455,11,"Up","other",FALSE
"Interaction","corr_wsum","Stat2",57.0791724345212,12,"Up","IFN",TRUE
"Interaction","mlm","Pml",-2.96931612326638,1,"Down","other",FALSE
"Interaction","mlm","Dmap1",-2.68211893776772,2,"Down","other",FALSE
"Interaction","mlm","Hsf1",-2.66528458151115,3,"Down","other",FALSE
"Interaction","mlm","Kdm5a",-2.49440510689427,4,"Down","other",FALSE
"Interaction","mlm","Pknox1",-2.41624126760049,5,"Down","other",FALSE
"Interaction","mlm","Ascl1",-2.38100499904472,6,"Down","other",FALSE
"Interaction","mlm","Foxf1",-2.33265281024347,7,"Down","other",FALSE
"Interaction","mlm","Egr3",-2.27487185923711,8,"Down","other",FALSE
"Interaction","mlm","Mtf2",-2.27066426791727,9,"Down","other",FALSE
"Interaction","mlm","Ahrr",-2.26738351293759,10,"Down","other",FALSE
"Interaction","mlm","Irf5",-2.12561030341542,11,"Down","other",FALSE
"Interaction","mlm","Prox1",-2.07999919410114,12,"Down","other",FALSE
"Interaction","mlm","Irf9",4.37741253541454,1,"Up","other",FALSE
"Interaction","mlm","Stat1",3.29567761158641,2,"Up","IFN",TRUE
"Interaction","mlm","Irf3",3.18473002068028,3,"Up","IFN",TRUE
"Interaction","mlm","Esr1",2.79426938145481,4,"Up","other",FALSE
"Interaction","mlm","Hand2",2.66111741876825,5,"Up","other",FALSE
"Interaction","mlm","Rfxank",2.4992001152316,6,"Up","other",FALSE
"Interaction","mlm","Mef2d",2.48296769648157,7,"Up","other",FALSE
"Interaction","mlm","Foxa1",2.43950739203527,8,"Up","other",FALSE
"Interaction","mlm","Deaf1",2.42468486042178,9,"Up","other",FALSE
