"target","in_dorothea","in_collectri","t_wt","membership","abs_t","high_t"
"Sat1",FALSE,TRUE,-7.4410047732044,"collectri_only",7.4410047732044,TRUE
"Thbs1",FALSE,TRUE,7.24984774055891,"collectri_only",7.24984774055891,TRUE
"Hsp90b1",TRUE,TRUE,7.23463625379693,"both",7.23463625379693,TRUE
"S100a11",FALSE,TRUE,7.10063262508495,"collectri_only",7.10063262508495,TRUE
"Mmut",FALSE,TRUE,-7.08371318125004,"collectri_only",7.08371318125004,TRUE
"Muc1",TRUE,TRUE,7.0377205827393,"both",7.0377205827393,TRUE
"Mlh1",FALSE,TRUE,-6.97795646717192,"collectri_only",6.97795646717192,TRUE
"Ppp1r10",TRUE,TRUE,6.96199272774724,"both",6.96199272774724,TRUE
"Lrp1",FALSE,TRUE,6.84869392028163,"collectri_only",6.84869392028163,TRUE
"Egln3",TRUE,TRUE,6.8074920041606,"both",6.8074920041606,TRUE
"Mst1r",FALSE,TRUE,6.79789154295383,"collectri_only",6.79789154295383,TRUE
"Angptl4",FALSE,TRUE,-6.76846141860404,"collectri_only",6.76846141860404,TRUE
"Atp13a2",FALSE,TRUE,-6.68900005749438,"collectri_only",6.68900005749438,TRUE
"Twist1",TRUE,TRUE,6.6020075401085,"both",6.6020075401085,TRUE
"Ccn1",FALSE,TRUE,6.54985351186068,"collectri_only",6.54985351186068,TRUE
"Slc2a1",TRUE,TRUE,6.53352095750106,"both",6.53352095750106,TRUE
"Kdm5c",FALSE,TRUE,6.53026317526316,"collectri_only",6.53026317526316,TRUE
"Fscn1",FALSE,TRUE,6.46572249110896,"collectri_only",6.46572249110896,TRUE
"Ntn1",TRUE,FALSE,-6.44196964245007,"dorothea_only",6.44196964245007,TRUE
"Nrp2",FALSE,TRUE,6.41956917135209,"collectri_only",6.41956917135209,TRUE
"Timp2",FALSE,TRUE,-6.37389555952042,"collectri_only",6.37389555952042,TRUE
"Hsp90aa1",FALSE,TRUE,6.30381710248831,"collectri_only",6.30381710248831,TRUE
"Kdm4b",TRUE,TRUE,-6.22222729329121,"both",6.22222729329121,TRUE
"Nedd9",FALSE,TRUE,6.19323313521022,"collectri_only",6.19323313521022,TRUE
"Ass1",FALSE,TRUE,-6.15310839134756,"collectri_only",6.15310839134756,TRUE
"Xpc",FALSE,TRUE,-6.11794462121182,"collectri_only",6.11794462121182,TRUE
"Apex1",FALSE,TRUE,-6.11666361551349,"collectri_only",6.11666361551349,TRUE
"Aldoart1",TRUE,FALSE,6.10286286685736,"dorothea_only",6.10286286685736,TRUE
"Cybb",FALSE,TRUE,-6.00850930572522,"collectri_only",6.00850930572522,TRUE
"Ppp5c",TRUE,TRUE,5.9626559118473,"both",5.9626559118473,TRUE
"Men1",FALSE,TRUE,5.78552029202753,"collectri_only",5.78552029202753,TRUE
"Cxcr4",TRUE,TRUE,-5.75780146102391,"both",5.75780146102391,TRUE
"Abl1",FALSE,TRUE,-5.66066284055482,"collectri_only",5.66066284055482,TRUE
"Apln",TRUE,TRUE,-5.59297403839713,"both",5.59297403839713,TRUE
"Nos2",TRUE,TRUE,5.5178864893198,"both",5.5178864893198,TRUE
"Sp1",FALSE,TRUE,5.47154245417112,"collectri_only",5.47154245417112,TRUE
"Prmt1",FALSE,TRUE,-5.42759803619619,"collectri_only",5.42759803619619,TRUE
"Abcg3",TRUE,FALSE,-5.41964831611304,"dorothea_only",5.41964831611304,TRUE
"Dnase1",FALSE,TRUE,-5.35269763596927,"collectri_only",5.35269763596927,TRUE
"Bsg",FALSE,TRUE,5.34587271550306,"collectri_only",5.34587271550306,TRUE
"Msh2",FALSE,TRUE,-5.3294115173359,"collectri_only",5.3294115173359,TRUE
"Trp53",TRUE,TRUE,-5.30949685529192,"both",5.30949685529192,TRUE
"Reck",FALSE,TRUE,-5.29012660902666,"collectri_only",5.29012660902666,TRUE
"Adm",TRUE,TRUE,5.27716740211436,"both",5.27716740211436,TRUE
"Fam162a",TRUE,TRUE,5.25882654803303,"both",5.25882654803303,TRUE
"Fasn",FALSE,TRUE,-5.24567747968479,"collectri_only",5.24567747968479,TRUE
"E2f3",TRUE,TRUE,5.23054713823862,"both",5.23054713823862,TRUE
"Kdm5a",FALSE,TRUE,-5.12400834196078,"collectri_only",5.12400834196078,TRUE
"Hdac2",FALSE,TRUE,5.08322696804307,"collectri_only",5.08322696804307,TRUE
"Mad1l1",FALSE,TRUE,-5.06650413548456,"collectri_only",5.06650413548456,TRUE
"Pgf",FALSE,TRUE,5.01988349855369,"collectri_only",5.01988349855369,TRUE
"Tm9sf4",FALSE,TRUE,4.95909349631266,"collectri_only",4.95909349631266,TRUE
"Ppia",TRUE,FALSE,-4.95177323434816,"dorothea_only",4.95177323434816,TRUE
"Cox4i1",TRUE,TRUE,-4.93986929907876,"both",4.93986929907876,TRUE
"Qsox1",FALSE,TRUE,-4.93820108679233,"collectri_only",4.93820108679233,TRUE
"Mdm2",FALSE,TRUE,4.93090001499374,"collectri_only",4.93090001499374,TRUE
"Fech",TRUE,TRUE,-4.92295236945806,"both",4.92295236945806,TRUE
"Aurka",TRUE,TRUE,4.8957038365384,"both",4.8957038365384,TRUE
"App",FALSE,TRUE,-4.86068325182062,"collectri_only",4.86068325182062,TRUE
"Eln",FALSE,TRUE,4.77706555936472,"collectri_only",4.77706555936472,TRUE
"Pfkp",TRUE,FALSE,4.69991430080867,"dorothea_only",4.69991430080867,TRUE
"Il4",FALSE,TRUE,4.68993804924469,"collectri_only",4.68993804924469,TRUE
"Pten",FALSE,TRUE,-4.63382781522554,"collectri_only",4.63382781522554,TRUE
"Ikbkb",FALSE,TRUE,-4.62578887899526,"collectri_only",4.62578887899526,TRUE
"Cdh1",FALSE,TRUE,-4.58162420835733,"collectri_only",4.58162420835733,TRUE
"Naa10",FALSE,TRUE,-4.5727189235745,"collectri_only",4.5727189235745,TRUE
"Errfi1",TRUE,TRUE,4.55563173242516,"both",4.55563173242516,TRUE
"Vmp1",FALSE,TRUE,4.54378982565288,"collectri_only",4.54378982565288,TRUE
"Aldoa",TRUE,TRUE,4.53935844328088,"both",4.53935844328088,TRUE
"Ccl5",FALSE,TRUE,4.53508248604996,"collectri_only",4.53508248604996,TRUE
"Il17a",FALSE,TRUE,4.49447237481451,"collectri_only",4.49447237481451,TRUE
"Gpr35",FALSE,TRUE,4.49329238451825,"collectri_only",4.49329238451825,TRUE
"Mmp15",FALSE,TRUE,-4.47409363235062,"collectri_only",4.47409363235062,TRUE
"Plau",FALSE,TRUE,4.41987375861187,"collectri_only",4.41987375861187,TRUE
"Ndrg1",FALSE,TRUE,4.41521755133419,"collectri_only",4.41521755133419,TRUE
"Kdm2a",FALSE,TRUE,-4.36238633274805,"collectri_only",4.36238633274805,TRUE
"Lgals1",TRUE,TRUE,4.35720343415945,"both",4.35720343415945,TRUE
