"gene","arm","genotype","temp","mean_log2cpm","wt_heat","ko_heat","interaction","inter_adjP"
"Ifit1","cGAS-dependent","WT","37",0.759984248536053,0.496594484313308,-0.510561814461705,1.00715629877501,0.00327810716048088
"Ifit1","cGAS-dependent","WT","39",1.25657873284936,0.496594484313308,-0.510561814461705,1.00715629877501,0.00327810716048088
"Ifit1","cGAS-dependent","cGASKO","37",0.0776258146890702,0.496594484313308,-0.510561814461705,1.00715629877501,0.00327810716048088
"Ifit1","cGAS-dependent","cGASKO","39",-0.432935999772635,0.496594484313308,-0.510561814461705,1.00715629877501,0.00327810716048088
"Vegfa","no-detectable-cGAS-dependence","WT","37",4.9353237812934,0.969969171058307,0.954340868094105,0.0156283029642017,0.999999999999996
"Vegfa","no-detectable-cGAS-dependence","WT","39",5.90529295235171,0.969969171058307,0.954340868094105,0.0156283029642017,0.999999999999996
"Vegfa","no-detectable-cGAS-dependence","cGASKO","37",4.9847847175315,0.969969171058307,0.954340868094105,0.0156283029642017,0.999999999999996
"Vegfa","no-detectable-cGAS-dependence","cGASKO","39",5.93912558562561,0.969969171058307,0.954340868094105,0.0156283029642017,0.999999999999996
