"tf","contrast","score","padj","direction","axis"
"Hsf1","Temp_main",3.20200105877729,0.0149907186856545,"Up","heatshock"
"Hif1a","Temp_main",5.13626310899169,1.97940072376512e-05,"Up","HIF"
"Epas1","Temp_main",4.16592168232895,0.000890931835163301,"Up","HIF"
"Rela","Temp_main",5.24945294657549,1.4501388242816e-05,"Up","IFN"
"Nfkb1","Temp_main",5.12470586395053,1.97940072376512e-05,"Up","IFN"
"Stat1","Temp_main",1.13587065599277,0.479954826415236,"Up","IFN"
"Stat2","Temp_main",-1.7343820235915,0.253608450365536,"Down","IFN"
"Irf3","Temp_main",-2.27088956327332,0.105118546518036,"Down","IFN"
"Hsf1","WT_heat",2.82557892095136,0.0338846994120845,"Up","heatshock"
"Hif1a","WT_heat",5.11034559073191,1.77977040431889e-05,"Up","HIF"
"Epas1","WT_heat",4.02708406492631,0.00138142544988813,"Up","HIF"
"Rela","WT_heat",5.592065010159,4.42263896437861e-06,"Up","IFN"
"Nfkb1","WT_heat",5.48818193494507,4.50845044915124e-06,"Up","IFN"
"Stat1","WT_heat",2.01600339429586,0.161240784035321,"Up","IFN"
"Stat2","WT_heat",-0.767050591006001,0.661075319979541,"Down","IFN"
"Irf3","WT_heat",-1.29130233255064,0.424170598293537,"Down","IFN"
"Hsf1","KO_heat",3.48359221553547,0.00815604040736476,"Up","heatshock"
"Hif1a","KO_heat",5.0261507749975,4.74523185399676e-05,"Up","HIF"
"Epas1","KO_heat",4.19116226338689,0.0010189513393615,"Up","HIF"
"Rela","KO_heat",4.77832812335713,0.000117146392422464,"Up","IFN"
"Nfkb1","KO_heat",4.63660858909207,0.000195452171012035,"Up","IFN"
"Stat1","KO_heat",0.250774409046518,0.897466282953582,"Up","IFN"
"Stat2","KO_heat",-2.62905622275448,0.0558249524395038,"Down","IFN"
"Irf3","KO_heat",-3.16342362304438,0.0177163484030595,"Down","IFN"
