"rank","tf","score","p_value","family","is_hif","is_hsf"
1,"Jun",6.06145105202412,1.37356241092699e-09,"AP-1/immediate-early",FALSE,FALSE
2,"Egr1",5.5419118789059,3.03023437211771e-08,"AP-1/immediate-early",FALSE,FALSE
3,"Fos",5.45529839529043,4.94802521614719e-08,"AP-1/immediate-early",FALSE,FALSE
4,"Sp1",5.29319700646897,1.21485159261708e-07,"housekeeping",FALSE,FALSE
5,"Stat5a",5.2736875232303,1.35122802884655e-07,"cytokine/STAT",FALSE,FALSE
6,"Rela",5.24945294657549,1.5413541764147e-07,"NF-kB",FALSE,FALSE
7,"Ncoa1",5.2492918284642,1.54270087689532e-07,"growth-factor/other-stress",FALSE,FALSE
8,"Hoxd3",5.20100597089766,2.0019786633448e-07,"other",FALSE,FALSE
9,"Hif1a",5.13626310899169,2.82928836013323e-07,"HIF axis",TRUE,FALSE
10,"Nfkb1",5.12470586395053,3.00820778687708e-07,"NF-kB",FALSE,FALSE
11,"Jund",5.10057668750646,3.41764377801174e-07,"AP-1/immediate-early",FALSE,FALSE
12,"Nfkb",4.81159529401684,1.50839871117315e-06,"NF-kB",FALSE,FALSE
13,"Runx2",4.71137013743701,2.47738152776602e-06,"growth-factor/other-stress",FALSE,FALSE
14,"Hsf2",4.6228617276235,3.80886168680916e-06,"heat-shock",FALSE,FALSE
15,"Rel",4.56266384882215,5.08137264582288e-06,"NF-kB",FALSE,FALSE
16,"Smad3",4.51146198601347,6.47547166908564e-06,"growth-factor/other-stress",FALSE,FALSE
17,"Ep300",4.45894570850202,8.28192665980549e-06,"growth-factor/other-stress",FALSE,FALSE
18,"Rbpj",4.36719591591536,1.26494573570313e-05,"other",FALSE,FALSE
19,"Irf5",4.31465403463692,1.606325270227e-05,"other",FALSE,FALSE
20,"Ssrp1",4.28765077496136,1.81432346581879e-05,"other",FALSE,FALSE
21,"Sp3",4.23916451948446,2.25375931710606e-05,"housekeeping",FALSE,FALSE
22,"Stat3",4.22317984903838,2.41961817336659e-05,"cytokine/STAT",FALSE,FALSE
23,"Epas1",4.16592168232895,3.11419942382309e-05,"HIF axis",FALSE,FALSE
24,"Ap1",4.04581643693727,5.23400933681917e-05,"AP-1/immediate-early",FALSE,FALSE
25,"Ncoa2",4.0174377281713,5.90530191181496e-05,"other",FALSE,FALSE
26,"Hoxb7",3.98507610218035,6.77016256172537e-05,"other",FALSE,FALSE
27,"Atf2",3.95767106702945,7.59498137635225e-05,"other",FALSE,FALSE
28,"Gli2",3.73282860087013,0.00018987455118163,"other",FALSE,FALSE
29,"Tcf7l2",3.71731112037175,0.000201912540172231,"other",FALSE,FALSE
30,"Elf4",3.66922765150445,0.000243926516589793,"other",FALSE,FALSE
31,"Ets1",3.60173783003044,0.000316875292471395,"growth-factor/other-stress",FALSE,FALSE
32,"Thap11",3.5973257687187,0.000322293641338663,"other",FALSE,FALSE
33,"Smad1",3.57448530934806,0.000351757256422698,"other",FALSE,FALSE
34,"Fosl2",3.56205861623328,0.000368827323621741,"AP-1/immediate-early",FALSE,FALSE
35,"Neurod6",3.54201132558961,0.000398006766949117,"other",FALSE,FALSE
36,"Gabpa",3.50749860296769,0.000453349279973844,"other",FALSE,FALSE
37,"Dmtf1",3.46734276895616,0.000526753835143738,"other",FALSE,FALSE
38,"Hr",3.45381323407774,0.000553883479498665,"other",FALSE,FALSE
39,"Tbx5",3.42807349740306,0.000609125290070108,"other",FALSE,FALSE
40,"Pgr",3.39380783299395,0.000690639727102063,"other",FALSE,FALSE
41,"Stat5b",3.3558593106098,0.000792684513318976,"other",FALSE,FALSE
42,"Mef2a",3.31666964553796,0.000912622184224068,"other",FALSE,FALSE
43,"Lhx3",3.31153333754739,0.000929532358038064,"other",FALSE,FALSE
44,"Ctnnb1",3.29854467555182,0.000973598609830552,"other",FALSE,FALSE
45,"Foxa2",3.27873165115078,0.00104455684339046,"other",FALSE,FALSE
46,"Elf3",3.25321287470133,0.00114300345635515,"other",FALSE,FALSE
47,"Tbx15",3.22703793330659,0.00125283540213791,"other",FALSE,FALSE
48,"Trp53",3.22454413965959,0.00126379270030663,"stress/senescence",FALSE,FALSE
49,"Wt1",3.20947404450237,0.0013319130228586,"other",FALSE,FALSE
50,"Hsf1",3.20200105877729,0.00136693483455816,"heat-shock",FALSE,TRUE
51,"Klf9",3.16417418136941,0.00155760366422834,"other",FALSE,FALSE
52,"Zfp354c",3.14873055886323,0.00164226408647003,"other",FALSE,FALSE
53,"Pou4f1",3.1362210775771,0.00171392220643265,"other",FALSE,FALSE
54,"Etv4",3.13396695147745,0.0017271363204207,"other",FALSE,FALSE
55,"Cebpb",3.11731745586326,0.00182767844831165,"growth-factor/other-stress",FALSE,FALSE
56,"Tfap2a",3.09484640102575,0.00197191081674971,"other",FALSE,FALSE
57,"Cebpz",3.08922807202955,0.00200956965623089,"other",FALSE,FALSE
58,"Stat6",3.07756387827539,0.00208986923239309,"other",FALSE,FALSE
59,"Ctcf",3.06295505323713,0.00219458968382933,"other",FALSE,FALSE
60,"Spi1",3.05987068139297,0.00221730537092582,"other",FALSE,FALSE
61,"Nupr1",3.03964570021494,0.00237167672448915,"other",FALSE,FALSE
62,"Foxq1",3.03837251981721,0.00238171625497248,"other",FALSE,FALSE
63,"Nr3c2",3.03479363308986,0.00241014596293438,"other",FALSE,FALSE
64,"Junb",3.01155005074926,0.00260247509682797,"other",FALSE,FALSE
65,"Barx2",2.98623415382898,0.00282783956029472,"other",FALSE,FALSE
66,"Klf5",2.97705893725486,0.00291382300940982,"other",FALSE,FALSE
67,"Ar",2.9498454966218,0.00318307133887926,"nuclear receptor",FALSE,FALSE
68,"Foxm1",2.94611359440947,0.00322171259708047,"other",FALSE,FALSE
69,"Smad2",2.94097046807872,0.00327566673349989,"other",FALSE,FALSE
70,"Nr2f6",2.92526133124097,0.00344560053213196,"other",FALSE,FALSE
71,"Egr3",2.91188059905839,0.00359663377901928,"other",FALSE,FALSE
72,"Egr2",2.91018340759716,0.00361621498208319,"other",FALSE,FALSE
73,"Meis1",2.87523175276369,0.00404164052904123,"other",FALSE,FALSE
74,"Lmo2",2.87515415605124,0.00404263356514365,"other",FALSE,FALSE
75,"Smad4",2.8686441686267,0.00412673752453965,"other",FALSE,FALSE
76,"Id2",2.83034001782393,0.00465456680528273,"other",FALSE,FALSE
77,"Sp4",2.81998497311118,0.00480739143231416,"other",FALSE,FALSE
78,"Pknox1",2.78963516502743,0.00528182008869726,"other",FALSE,FALSE
79,"Hivep3",2.76702538735777,0.00566231692579942,"other",FALSE,FALSE
80,"Cebpd",2.74942610337946,0.00597541983586357,"other",FALSE,FALSE
81,"Elk1",2.74328437231233,0.00608830438020912,"other",FALSE,FALSE
82,"Xbp1",2.74169227305527,0.00611787885641618,"other",FALSE,FALSE
83,"Nr4a1",2.73637700858922,0.00621755342683613,"other",FALSE,FALSE
84,"Kcnip3",2.72469315437604,0.00644181241603268,"other",FALSE,FALSE
85,"Prdm2",2.70443007725853,0.00684805098891712,"other",FALSE,FALSE
86,"Maz",2.69474262886714,0.00705028249223766,"other",FALSE,FALSE
87,"Tgfb1i1",2.69204529857883,0.007107537450808,"other",FALSE,FALSE
88,"Ybx1",2.68712663393487,0.00721301932723208,"other",FALSE,FALSE
89,"Mef2c",2.67322517778215,0.00751877797781041,"other",FALSE,FALSE
90,"Sry",2.67086460387398,0.00757183735398445,"other",FALSE,FALSE
91,"Nfkb2",2.66471931946691,0.00771154492775429,"other",FALSE,FALSE
92,"Dnmt3a",2.65965928502894,0.00782830988718395,"other",FALSE,FALSE
93,"Yy1",2.65736635536756,0.00788174096778924,"other",FALSE,FALSE
94,"Eomes",2.65495097481935,0.00793837857091398,"other",FALSE,FALSE
95,"Gata6",2.63640778338018,0.00838547514962064,"other",FALSE,FALSE
96,"Nkx2-5",2.5928089398113,0.00952660625868812,"other",FALSE,FALSE
97,"Nfatc4",2.54439681862689,0.0109542385653673,"other",FALSE,FALSE
98,"Msx1",2.5406487671956,0.011072316634647,"other",FALSE,FALSE
99,"Sox5",2.52881992117687,0.0114524210428718,"other",FALSE,FALSE
100,"Sox6",2.52834084632448,0.0114680566418313,"other",FALSE,FALSE
101,"Atf4",2.52823920338199,0.0114713764050383,"other",FALSE,FALSE
102,"Tcf4",2.5268158525608,0.0115179541988607,"other",FALSE,FALSE
103,"Ets2",2.5182679735274,0.0118012225084782,"other",FALSE,FALSE
104,"Sin3a",2.51351766705805,0.0119612995386163,"other",FALSE,FALSE
105,"Zfp202",2.51150476517531,0.0120297095398564,"other",FALSE,FALSE
106,"Tbx21",2.45086285362347,0.0142600630741366,"other",FALSE,FALSE
107,"Nrg1",2.43311811338224,0.0149782622314004,"other",FALSE,FALSE
108,"Nfatc1",2.41918467465161,0.0155643488649685,"other",FALSE,FALSE
109,"Srf",2.40220138876237,0.0163059411470063,"other",FALSE,FALSE
110,"Foxn1",2.3686734608941,0.0178616093414706,"other",FALSE,FALSE
111,"Znf350",2.36784790641519,0.0179015014726293,"other",FALSE,FALSE
112,"Runx1",2.36104398090437,0.0182332616907103,"other",FALSE,FALSE
113,"Taf1",2.35284748959947,0.0186400628084444,"other",FALSE,FALSE
114,"Atf3",2.34775715223785,0.0188966803922312,"other",FALSE,FALSE
115,"Hmgb2",2.33289121053783,0.0196638811504723,"other",FALSE,FALSE
116,"Ezh2",2.30524964133427,0.0211629482563657,"other",FALSE,FALSE
117,"Foxp1",2.30122038854668,0.0213895767338966,"other",FALSE,FALSE
118,"Sp2",2.28940250776342,0.0220665157362214,"other",FALSE,FALSE
119,"Nfkbib",2.28684802863936,0.0222152642815699,"other",FALSE,FALSE
120,"Lef1",2.28556380787194,0.0222903739372909,"other",FALSE,FALSE
121,"Id1",2.24945726305787,0.0244944273507242,"other",FALSE,FALSE
122,"Ascl1",2.23877264066109,0.0251818465009891,"other",FALSE,FALSE
123,"Rxra",2.22613709548719,0.0260162800713931,"other",FALSE,FALSE
124,"Ncoa3",2.22597445723739,0.026027174464038,"other",FALSE,FALSE
125,"Fosb",2.20624213352362,0.0273785609375571,"AP-1/immediate-early",FALSE,FALSE
126,"Hmga2",2.19394275172244,0.0282511770184555,"other",FALSE,FALSE
127,"Tfap2c",2.18729853303514,0.0287324653461205,"other",FALSE,FALSE
128,"Irf4",2.1865413020303,0.0287877626462889,"other",FALSE,FALSE
129,"Egr4",2.18550961473296,0.0288632497648254,"other",FALSE,FALSE
130,"Esrrb",2.17465159382151,0.0296681064117632,"other",FALSE,FALSE
131,"Abl1",2.16220808847372,0.0306141525437833,"other",FALSE,FALSE
132,"Rarg",2.16175449864694,0.0306491217034114,"other",FALSE,FALSE
133,"Sfpq",2.14943467454962,0.0316121147188925,"other",FALSE,FALSE
134,"Zfp384",2.14186760597298,0.0322163770547339,"other",FALSE,FALSE
135,"Nfat5",2.13870952333866,0.0324714757214672,"other",FALSE,FALSE
136,"Notch1",2.09880084874827,0.0358471708768844,"other",FALSE,FALSE
137,"Pou2f2",2.07974593746177,0.0375617561017708,"other",FALSE,FALSE
138,"Creb1",2.07876983648312,0.0376514347791135,"growth-factor/other-stress",FALSE,FALSE
139,"Gata1",2.06745574801016,0.0387042727697865,"other",FALSE,FALSE
