"source","target","mor","t_wt","contrib","class"
"Hif1a","Car9",1,-1.06121838888087,-1.06121838888087,"hypoxic HIF core"
"Hif1a","Bnip3",1,-1.42890798808254,-1.42890798808254,"hypoxic HIF core"
"Hif1a","Bnip3l",1,-1.81453925883996,-1.81453925883996,"hypoxic HIF core"
"Hif1a","Pdk1",1,-4.15782847557273,-4.15782847557273,"hypoxic HIF core"
"Hif1a","Timp1",1,24.9249900286913,24.9249900286913,"other"
"Hif1a","Sdc1",1,22.8929996902441,22.8929996902441,"other"
"Hif1a","Itga5",1,18.4582530987312,18.4582530987312,"other"
"Hif1a","Glb1",1,17.3885344920755,17.3885344920755,"other"
"Hif1a","Lgals3",1,16.8033146701733,16.8033146701733,"other"
"Hif1a","Bcl2l1",1,16.0796092768292,16.0796092768292,"other"
"Hif1a","Spp1",1,15.3649511654676,15.3649511654676,"other"
"Hif1a","Bcr",1,13.5750369655157,13.5750369655157,"other"
"Hif1a","Adora2b",1,13.2383986587328,13.2383986587328,"other"
"Hif1a","Ar",1,13.14639338402,13.14639338402,"other"
"Hif1a","Cd44",1,12.505000321005,12.505000321005,"other"
"Hif1a","Pcx",1,12.5002699175979,12.5002699175979,"other"
"Hif1a","Pak1",1,12.3992923863106,12.3992923863106,"other"
"Hif1a","Cdkn1a",1,12.3278744148841,12.3278744148841,"other"
"Hif1a","Sphk1",1,12.1468455558043,12.1468455558043,"other"
"Hif1a","Furin",1,11.6903423050384,11.6903423050384,"other"
"Hif1a","Serpine1",1,11.2113044225909,11.2113044225909,"other"
"Hif1a","Ccl4",1,11.0280305807477,11.0280305807477,"other"
"Hif1a","Eno2",1,11.0047832347513,11.0047832347513,"other"
"Hif1a","Rora",1,10.9548796224002,10.9548796224002,"other"
"Hif1a","F3",1,10.890353700073,10.890353700073,"other"
"Hif1a","Hspa1a",1,10.8117412630598,10.8117412630598,"other"
"Hif1a","Hsf1",1,10.7310453498021,10.7310453498021,"other"
"Hif1a","Kdm2b",1,10.7251075942042,10.7251075942042,"other"
"Hif1a","Nr4a1",1,10.2439985201011,10.2439985201011,"other"
"Hif1a","Plaur",1,9.82270186219284,9.82270186219284,"other"
"Hif1a","Rgcc",1,9.47465228696217,9.47465228696217,"other"
"Hif1a","Hbegf",1,9.03125920758172,9.03125920758172,"other"
"Hif1a","Tigar",1,8.84588212600348,8.84588212600348,"other"
"Hif1a","Mat2a",1,8.79326323606181,8.79326323606181,"other"
"Hif1a","Map3k11",1,8.75497357009651,8.75497357009651,"other"
"Hif1a","Kdm6b",1,8.73982428022684,8.73982428022684,"other"
"Hif1a","Pdgfb",1,8.59721986328183,8.59721986328183,"other"
"Hif1a","Eif4e",1,8.28793214468405,8.28793214468405,"other"
"Hif1a","Cd274",1,8.24783233670247,8.24783233670247,"other"
"Hif1a","Eif4ebp1",1,8.17276435844034,8.17276435844034,"other"
"Hif1a","Cd36",1,8.08069430806098,8.08069430806098,"other"
"Hif1a","Tfrc",1,7.85207598565601,7.85207598565601,"other"
"Hif1a","Itgb2",1,7.76554069186266,7.76554069186266,"other"
"Hif1a","Sdc4",1,7.75176121578575,7.75176121578575,"other"
"Hif1a","Gsn",1,7.74840421106114,7.74840421106114,"other"
