"arm","arm_track","method","feature","feature_kind","contrast","score","pvalue","padj","direction","significant"
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:GO_BP","Glucose Metabolic Process","gene_set","WT_heat",1.15476579,0.192307692,0.318822399,"Up",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:GO_BP","Glucose Metabolic Process","gene_set","KO_heat",1.13844908,0.210280374,0.358797017,"Up",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:GO_BP","Glucose Metabolic Process","gene_set","Interaction",1.1404022,0.221033868,0.690852024,"Up",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:GO_BP","Glucose Metabolic Process","gene_set","Temp_main",1.12023278,0.246085011,0.387029027,"Up",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:GO_BP","Glycolytic Process Through Glucose 6 Phosphate","gene_set","WT_heat",1.10024426,0.330645161,0.449068386,"Up",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:GO_BP","Glycolytic Process Through Glucose 6 Phosphate","gene_set","KO_heat",1.236567,0.205821206,0.35564204,"Up",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:GO_BP","Glycolytic Process Through Glucose 6 Phosphate","gene_set","Interaction",-1.09325579,0.331182796,0.797576309,"Down",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:GO_BP","Glycolytic Process Through Glucose 6 Phosphate","gene_set","Temp_main",1.15755524,0.262295082,0.399575722,"Up",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:GO_BP","Pyruvate Metabolic Process","gene_set","WT_heat",0.92287534,0.598726115,0.660040151,"Up",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:GO_BP","Pyruvate Metabolic Process","gene_set","KO_heat",1.01686667,0.418224299,0.524757274,"Up",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:GO_BP","Pyruvate Metabolic Process","gene_set","Interaction",0.912741075,0.623853211,0.943331303,"Up",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:GO_BP","Pyruvate Metabolic Process","gene_set","Temp_main",0.991455791,0.454342984,0.553506063,"Up",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:GO_BP","Regulation Of Cell Migration Involved In Sprouting Angiogenesis","gene_set","WT_heat",1.56910953,0.0249844269,0.0823279944,"Up",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:GO_BP","Regulation Of Cell Migration Involved In Sprouting Angiogenesis","gene_set","KO_heat",1.51729278,0.0451671076,0.143109045,"Up",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:GO_BP","Regulation Of Cell Migration Involved In Sprouting Angiogenesis","gene_set","Interaction",-0.914755361,0.582056893,0.91784417,"Down",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:GO_BP","Regulation Of Cell Migration Involved In Sprouting Angiogenesis","gene_set","Temp_main",1.5237433,0.0339888928,0.110140966,"Up",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:GO_BP","Regulation Of Glucose Metabolic Process","gene_set","WT_heat",-1.33810559,0.0924855491,0.193474586,"Down",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:GO_BP","Regulation Of Glucose Metabolic Process","gene_set","KO_heat",-1.49634526,0.0333186447,0.116712965,"Down",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:GO_BP","Regulation Of Glucose Metabolic Process","gene_set","Interaction",1.32586245,0.0966542751,0.479489278,"Up",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:GO_BP","Regulation Of Glucose Metabolic Process","gene_set","Temp_main",-1.4002442,0.0655430712,0.170198258,"Down",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:Hallmark","Glycolysis","gene_set","WT_heat",1.62995577,0.000258463557,0.000994090603,"Up",TRUE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:Hallmark","Glycolysis","gene_set","KO_heat",1.60548562,0.000535540296,0.00178513432,"Up",TRUE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:Hallmark","Glycolysis","gene_set","Interaction",-1.14970379,0.156542056,0.37593985,"Down",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:Hallmark","Glycolysis","gene_set","Temp_main",1.64357461,0.000367676296,0.00153198457,"Up",TRUE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:Hallmark","Hypoxia","gene_set","WT_heat",1.93265676,4.68069961e-07,5.85087451e-06,"Up",TRUE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:Hallmark","Hypoxia","gene_set","KO_heat",1.9764103,7.58369049e-08,6.31974207e-07,"Up",TRUE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:Hallmark","Hypoxia","gene_set","Interaction",-1.28053117,0.0355623335,0.127008334,"Down",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:Hallmark","Hypoxia","gene_set","Temp_main",1.96899312,2.84776952e-07,2.37314127e-06,"Up",TRUE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:KEGG","Glycolysis Gluconeogenesis","gene_set","WT_heat",0.987038762,0.470715835,0.598677421,"Up",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:KEGG","Glycolysis Gluconeogenesis","gene_set","KO_heat",1.10563789,0.295942721,0.435889024,"Up",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:KEGG","Glycolysis Gluconeogenesis","gene_set","Interaction",-1.28326016,0.117400419,0.307589099,"Down",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:KEGG","Glycolysis Gluconeogenesis","gene_set","Temp_main",1.01393707,0.435079727,0.553487954,"Up",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:KEGG","Pyruvate Metabolism","gene_set","WT_heat",-1.30056759,0.115311909,0.264047383,"Down",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:KEGG","Pyruvate Metabolism","gene_set","KO_heat",-1.18228479,0.243636364,0.416484209,"Down",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:KEGG","Pyruvate Metabolism","gene_set","Interaction",-1.13391018,0.297239915,0.526194985,"Down",FALSE
"HIF_glycolysis","HIF / glycolysis arm
(no detectable cGAS-dependence at n=5)","GSEA:KEGG","Pyruvate Metabolism","gene_set","Temp_main",-1.24110232,0.169117647,0.354794474,"Down",FALSE
