"pathway_id","pathway_name","nes","padj","set_size","sig","direction","contrast"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE46185","Coresh Q Sig Wt Heat Up Fdr Logfc Gse46185",2.79400497,2.16393555e-14,49,TRUE,"Up","KO_heat"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE89069","Coresh Q Sig Interaction Up Fdr Logfc Gse89069",-2.72440891,9.96289706e-15,48,TRUE,"Down","KO_heat"
"CORESH_Q_sig_Interaction_up_fdr_only_GSE94388","Coresh Q Sig Interaction Up Fdr Only Gse94388",-2.70734497,1.28983957e-14,48,TRUE,"Down","KO_heat"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE65083","Coresh Q Sig Wt Heat Up Fdr Logfc Gse65083",2.70715669,1.07113693e-12,46,TRUE,"Up","KO_heat"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE193605","Coresh Q Sig Interaction Up Fdr Logfc Gse193605",-2.68658311,2.16393555e-14,46,TRUE,"Down","KO_heat"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62757","Coresh Q Sig Interaction Up Fdr Logfc Gse62757",-2.61112076,1.07113693e-12,46,TRUE,"Down","KO_heat"
"CORESH_Q_sig_Interaction_up_fdr_logfc_GSE62758","Coresh Q Sig Interaction Up Fdr Logfc Gse62758",-2.49156028,2.13810206e-10,47,TRUE,"Down","KO_heat"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE41833","Coresh Q Sig Wt Heat Up Fdr Logfc Gse41833",2.44509048,5.39083457e-09,44,TRUE,"Up","KO_heat"
"CORESH_Q_sig_WT_heat_up_fdr_logfc_GSE169006","Coresh Q Sig Wt Heat Up Fdr Logfc Gse169006",2.43520905,1.14391635e-08,48,TRUE,"Up","KO_heat"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE163856","Coresh Q Sig Wt Heat Up Fdr Only Gse163856",2.09184546,1.79055825e-05,48,TRUE,"Up","KO_heat"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE48870","Coresh Q Sig Wt Heat Up Fdr Only Gse48870",1.49333926,0.0515955573,37,FALSE,"Up","KO_heat"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE80205","Coresh Q Sig Wt Heat Up Fdr Only Gse80205",-1.01534106,0.501557632,46,FALSE,"Down","KO_heat"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE212127","Coresh Q Sig Wt Heat Up Fdr Only Gse212127",-0.983673192,0.525377426,46,FALSE,"Down","KO_heat"
"CORESH_Q_sig_WT_heat_up_fdr_only_GSE174225","Coresh Q Sig Wt Heat Up Fdr Only Gse174225",0.930679795,0.613537118,49,FALSE,"Up","KO_heat"
