signature,gene_symbol,source_contrast,gate,logFC,t,adj_P_Val,rank_within_signature,human_symbol,mapping_type,mapped_to_human
KO_heat_up,Ccl22,KO_heat,fdr_logfc,1.85169582,10.2640019,2.43705805e-8,124,CCL22,one2one,TRUE
KO_heat_up,Lst1,KO_heat,fdr_logfc,1.21570343,10.1860314,1.11659107e-9,125,LST1,one2one,TRUE
KO_heat_up,Bicd1,KO_heat,fdr_logfc,1.2723589,10.1695322,1.1501136e-9,126,BICD1,one2one,TRUE
KO_heat_up,Tgm1,KO_heat,fdr_logfc,1.34438009,10.1680711,1.15211085e-9,127,TGM1,one2one,TRUE
KO_heat_up,Hk2,KO_heat,fdr_logfc,1.40559234,10.1185952,2.42042943e-7,128,HK2,one2one,TRUE
KO_heat_up,Nr4a1,KO_heat,fdr_logfc,1.73718247,10.0214734,2.80425559e-7,129,NR4A1,one2one,TRUE
KO_heat_up,Mapk12,KO_heat,fdr_logfc,1.00103028,9.85723996,2.0768113e-9,130,MAPK12,one2one,TRUE
KO_heat_up,Notch3,KO_heat,fdr_logfc,1.12598078,9.81609132,2.24719739e-9,131,NOTCH3,one2one,TRUE
KO_heat_up,Wnt3,KO_heat,fdr_logfc,1.15076115,9.7980875,2.3272413e-9,132,WNT3,one2one,TRUE
KO_heat_up,Plaur,KO_heat,fdr_logfc,2.23656539,9.76525895,1.37848372e-7,133,PLAUR,one2one,TRUE
KO_heat_up,Rhbdl3,KO_heat,fdr_logfc,1.02929602,9.75431211,2.55268946e-9,134,RHBDL3,one2one,TRUE
KO_heat_up,Samd4,KO_heat,fdr_logfc,1.17922099,9.74670218,2.58787522e-9,135,SAMD4A,one2one,TRUE
KO_heat_up,Ripk4,KO_heat,fdr_logfc,1.13588846,9.74507997,2.59418028e-9,136,RIPK4,one2one,TRUE
KO_heat_up,Zbtb46,KO_heat,fdr_logfc,1.1947012,9.72896501,2.68280509e-9,137,ZBTB46,one2one,TRUE
KO_heat_up,Gfi1,KO_heat,fdr_logfc,1.09526976,9.55845301,1.53509339e-7,138,GFI1,one2one,TRUE
KO_heat_up,Ccl20,KO_heat,fdr_logfc,1.25987806,9.55572315,4.55433154e-7,139,CCL20,one2one,TRUE
KO_heat_up,Bspry,KO_heat,fdr_logfc,1.13593018,9.5542277,4.16507786e-9,140,BSPRY,one2one,TRUE
KO_heat_up,Cd70,KO_heat,fdr_logfc,1.25993181,9.53723766,3.91895746e-9,141,CD70,one2one,TRUE
KO_heat_up,S1pr3,KO_heat,fdr_logfc,1.23907993,9.50654592,6.95998081e-8,142,S1PR3,one2one,TRUE
KO_heat_up,Fam110c,KO_heat,fdr_logfc,1.01734228,9.5006408,4.19424053e-9,143,FAM110C,one2one,TRUE
KO_heat_up,Sgms2,KO_heat,fdr_logfc,1.36619904,9.40086378,1.22511066e-8,144,SGMS2,one2one,TRUE
KO_heat_up,Zfp583,KO_heat,fdr_logfc,1.1763925,9.36317627,5.50896202e-9,145,ZNF583,one2one,TRUE
KO_heat_up,Adam8,KO_heat,fdr_logfc,1.15721542,9.34683497,7.91810958e-9,146,ADAM8,one2one,TRUE
KO_heat_up,Fosl1,KO_heat,fdr_logfc,1.18655488,9.30250987,6.20872951e-9,147,FOSL1,one2one,TRUE
KO_heat_up,Cpm,KO_heat,fdr_logfc,1.55848009,9.28005615,5.13067667e-7,148,CPM,one2one,TRUE
KO_heat_up,Egfr,KO_heat,fdr_logfc,1.13910351,9.23444425,7.1625425e-9,149,EGFR,one2one,TRUE
KO_heat_up,Rnf152,KO_heat,fdr_logfc,1.240422,9.22323171,7.9141955e-9,150,RNF152,one2one,TRUE
KO_heat_up,Pdgfa,KO_heat,fdr_logfc,1.06439208,9.20869421,7.52754051e-9,151,PDGFA,one2one,TRUE
KO_heat_up,4930459C07Rik,KO_heat,fdr_logfc,1.25384982,9.20014842,7.66701825e-9,152,NA,NA,FALSE
KO_heat_up,Il1r2,KO_heat,fdr_logfc,1.10268613,9.11670106,9.08679303e-9,153,IL1R2,one2one,TRUE
KO_heat_up,Clu,KO_heat,fdr_logfc,1.51280049,9.05504205,1.80913894e-8,154,CLU,one2one,TRUE
KO_heat_up,Camk2n1,KO_heat,fdr_logfc,1.01850133,9.04116721,2.1975483e-7,155,CAMK2N1,one2one,TRUE
KO_heat_up,Gm26781,KO_heat,fdr_logfc,1.12959242,9.03531162,1.07358751e-8,156,NA,NA,FALSE
KO_heat_up,Cdcp1,KO_heat,fdr_logfc,1.02895084,9.03323197,1.07679792e-8,157,CDCP1,one2one,TRUE
KO_heat_up,Klf5,KO_heat,fdr_logfc,1.00072476,9.00353719,1.14557127e-8,158,KLF5,one2one,TRUE
KO_heat_up,Tctex1d2,KO_heat,fdr_logfc,1.11474552,9.0011986,1.14859033e-8,159,DYNLT2B,one2one,TRUE
KO_heat_up,Gm7334,KO_heat,fdr_logfc,1.0074417,8.96316574,2.03236255e-7,160,NA,NA,FALSE
KO_heat_up,Atp2b4,KO_heat,fdr_logfc,1.1517696,8.96224097,1.07602844e-6,161,ATP2B4,one2one,TRUE
KO_heat_up,Il1a,KO_heat,fdr_logfc,2.46759537,8.95228126,1.07427674e-6,162,IL1A,one2one,TRUE
KO_heat_up,Eomes,KO_heat,fdr_logfc,1.0899383,8.94517794,1.87360735e-8,163,EOMES,one2one,TRUE
KO_heat_up,Gpr183,KO_heat,fdr_logfc,1.28642414,8.9134004,4.03585558e-7,164,GPR183,one2one,TRUE
KO_heat_up,Hbegf,KO_heat,fdr_logfc,1.93447408,8.90211052,1.19357953e-6,165,HBEGF,one2one,TRUE
KO_heat_up,Arhgef25,KO_heat,fdr_logfc,1.07438117,8.89357035,1.41894958e-8,166,ARHGEF25,one2one,TRUE
KO_heat_up,Gm37738,KO_heat,fdr_logfc,1.07193302,8.86280766,1.51190597e-8,167,NA,NA,FALSE
KO_heat_up,Avpr1a,KO_heat,fdr_logfc,1.02035983,8.8334417,1.60489547e-8,168,AVPR1A,one2one,TRUE
KO_heat_up,Timd2,KO_heat,fdr_logfc,1.78001305,8.82940384,2.7972134e-7,169,HAVCR1,many2one,TRUE
KO_heat_up,Gm34680,KO_heat,fdr_logfc,1.03270217,8.80037471,1.7180305e-8,170,NA,NA,FALSE
KO_heat_up,Sdc4,KO_heat,fdr_logfc,1.47203917,8.7928216,1.28212799e-6,171,SDC4,one2one,TRUE
KO_heat_up,Aplp1,KO_heat,fdr_logfc,1.16470106,8.73917385,2.76509707e-7,172,APLP1,one2one,TRUE
KO_heat_up,Cd40lg,KO_heat,fdr_logfc,1.87144273,8.70470876,1.55013451e-6,173,CD40LG,one2one,TRUE
KO_heat_up,Ccl3,KO_heat,fdr_logfc,2.39474914,8.6910123,1.58360217e-6,174,CCL3,one2one,TRUE
KO_heat_up,Cd53,KO_heat,fdr_logfc,1.00919274,8.68726049,1.55793913e-6,175,CD53,one2one,TRUE
KO_heat_up,Dnah7a,KO_heat,fdr_logfc,1.12682484,8.67029968,1.23700857e-6,176,DNAH7,many2one,TRUE
KO_heat_up,Col27a1,KO_heat,fdr_logfc,1.03959806,8.62608086,2.5027937e-8,177,COL27A1,one2one,TRUE
KO_heat_up,Csf2,KO_heat,fdr_logfc,1.86420366,8.6045331,3.45890987e-7,178,CSF2,one2one,TRUE
KO_heat_up,Cavin1,KO_heat,fdr_logfc,1.08541316,8.58402977,2.7345705e-8,179,CAVIN1,one2one,TRUE
KO_heat_up,Kdm6b,KO_heat,fdr_logfc,1.07799999,8.529612,1.94105126e-6,180,KDM6B,one2one,TRUE
KO_heat_up,2010003K11Rik,KO_heat,fdr_logfc,1.01387759,8.52933699,3.0754924e-8,181,C11orf86,one2one,TRUE
KO_heat_up,Tmem205,KO_heat,fdr_logfc,1.07205555,8.49533321,3.30577064e-8,182,TMEM205,one2one,TRUE
KO_heat_up,Stra6,KO_heat,fdr_logfc,2.57209718,8.41070799,2.30815774e-6,183,STRA6,one2one,TRUE
KO_heat_up,Tmem125,KO_heat,fdr_logfc,1.02325908,8.40669901,4.01935791e-8,184,TMEM125,one2one,TRUE
KO_heat_up,AA467197,KO_heat,fdr_logfc,1.69978132,8.38710144,2.06970026e-6,185,C15orf48,one2one,TRUE
KO_heat_up,Fam43a,KO_heat,fdr_logfc,1.03571323,8.30425468,5.0487618e-8,186,FAM43A,one2one,TRUE
KO_heat_up,Sema4a,KO_heat,fdr_logfc,1.20455649,8.25510116,2.22638073e-6,187,SEMA4A,one2one,TRUE
KO_heat_up,Myo16,KO_heat,fdr_logfc,1.14501659,8.14353418,7.13875188e-8,188,MYO16,one2one,TRUE
KO_heat_up,Ppl,KO_heat,fdr_logfc,1.04444027,8.13398798,7.28164591e-8,189,PPL,one2one,TRUE
KO_heat_up,Uaca,KO_heat,fdr_logfc,1.12727766,8.07944068,1.22175748e-7,190,UACA,one2one,TRUE
KO_heat_up,Gpat3,KO_heat,fdr_logfc,1.07991568,8.05660949,1.22387079e-7,191,GPAT3,one2one,TRUE
KO_heat_up,Cldn4,KO_heat,fdr_logfc,1.66090402,8.05637472,1.50130238e-6,192,CLDN4,one2one,TRUE
KO_heat_up,Mpzl2,KO_heat,fdr_logfc,1.02949267,8.05169441,8.779943e-8,193,MPZL2,one2one,TRUE
KO_heat_up,Tnfsf9,KO_heat,fdr_logfc,1.79782142,8.03926044,3.55747304e-6,194,TNFSF9,one2one,TRUE
KO_heat_up,Sh3gl3,KO_heat,fdr_logfc,1.19877202,8.00225691,1.12221385e-7,195,SH3GL3,one2one,TRUE
KO_heat_up,Pdgfb,KO_heat,fdr_logfc,1.24091941,7.98805912,4.20334705e-6,196,PDGFB,one2one,TRUE
KO_heat_up,Egr2,KO_heat,fdr_logfc,1.08947015,7.95733619,4.34728636e-6,197,EGR2,one2one,TRUE
KO_heat_up,Vill,KO_heat,fdr_logfc,1.28905515,7.95567613,7.46099369e-7,198,VILL,one2one,TRUE
KO_heat_up,Casz1,KO_heat,fdr_logfc,1.02468466,7.94633579,1.45208291e-6,199,CASZ1,one2one,TRUE
KO_heat_up,Cd83,KO_heat,fdr_logfc,1.10397312,7.92054853,3.56117069e-6,200,CD83,one2one,TRUE
KO_heat_up,Il3,KO_heat,fdr_logfc,2.10061498,7.89830552,4.03009001e-6,201,IL3,one2one,TRUE
KO_heat_up,Ltb4r1,KO_heat,fdr_logfc,1.07160368,7.837255,1.41814784e-7,202,LTB4R,one2one,TRUE
KO_heat_up,Trp73,KO_heat,fdr_logfc,1.0958437,7.76453566,1.65787462e-7,203,TP73,one2one,TRUE
KO_heat_up,Card10,KO_heat,fdr_logfc,1.03500331,7.74515128,1.72860955e-7,204,CARD10,one2one,TRUE
KO_heat_up,1700016P03Rik,KO_heat,fdr_logfc,1.15432962,7.73279062,1.77436761e-7,205,NA,NA,FALSE
KO_heat_up,Adm,KO_heat,fdr_logfc,1.61228771,7.73063103,1.89826846e-6,206,ADM,one2one,TRUE
KO_heat_up,Ccdc184,KO_heat,fdr_logfc,1.05871842,7.62561102,2.25655829e-7,207,CCDC184,one2one,TRUE
KO_heat_up,Ltbp3,KO_heat,fdr_logfc,1.12174671,7.53479485,2.78265596e-7,208,LTBP3,one2one,TRUE
KO_heat_up,Rgs16,KO_heat,fdr_logfc,1.05614196,7.47036085,8.99307919e-6,209,RGS16,one2one,TRUE
KO_heat_up,Lamc2,KO_heat,fdr_logfc,1.12714533,7.43561612,5.94937479e-6,210,LAMC2,one2one,TRUE
KO_heat_up,Efna2,KO_heat,fdr_logfc,1.01837542,7.32004791,4.58346577e-7,211,EFNA2,one2one,TRUE
KO_heat_up,Anxa2,KO_heat,fdr_logfc,1.19737051,7.27641214,1.20791759e-5,212,ANXA2,one2one,TRUE
KO_heat_up,Gm48114,KO_heat,fdr_logfc,1.00215007,7.16445507,6.58113175e-7,213,NA,NA,FALSE
KO_heat_up,Aldh1l2,KO_heat,fdr_logfc,1.1789441,7.03810451,1.83155048e-6,214,ALDH1L2,one2one,TRUE
KO_heat_up,Gm867,KO_heat,fdr_logfc,1.02011415,7.01851361,9.33777763e-7,215,C22orf15,one2one,TRUE
KO_heat_up,Egr3,KO_heat,fdr_logfc,1.03466915,6.99605338,1.85136609e-5,216,EGR3,one2one,TRUE
KO_heat_up,Cth,KO_heat,fdr_logfc,1.51162558,6.98791614,1.73397354e-5,217,CTH,one2one,TRUE
KO_heat_up,Slc2a1,KO_heat,fdr_logfc,1.02691653,6.82613632,2.41891582e-5,218,SLC2A1,one2one,TRUE
KO_heat_up,Mapk13,KO_heat,fdr_logfc,1.08231058,6.7738961,1.85282277e-6,219,MAPK13,one2one,TRUE
KO_heat_up,Hic1,KO_heat,fdr_logfc,1.01708181,6.73414296,2.74252843e-6,220,HIC1,one2one,TRUE
KO_heat_up,Ppef1,KO_heat,fdr_logfc,1.19819301,6.68167816,9.18586661e-6,221,PPEF1,one2one,TRUE
KO_heat_up,Mst1r,KO_heat,fdr_logfc,1.02002891,6.63354087,4.20334705e-6,222,MST1R,one2one,TRUE
KO_heat_up,Spry1,KO_heat,fdr_logfc,1.01717956,6.60028653,3.46313058e-5,223,SPRY1,one2one,TRUE
KO_heat_up,Gzma,KO_heat,fdr_logfc,1.34992901,6.56265302,9.20840208e-6,224,GZMA,one2one,TRUE
KO_heat_up,4933423P22Rik,KO_heat,fdr_logfc,1.09765094,6.47682143,1.18921144e-5,225,NA,NA,FALSE
KO_heat_up,Ankrd37,KO_heat,fdr_logfc,1.36896267,6.44713114,3.63921853e-5,226,ANKRD37,one2one,TRUE
KO_heat_up,Mcf2l,KO_heat,fdr_logfc,1.24961871,6.38018505,1.118326e-5,227,MCF2L,one2one,TRUE
KO_heat_up,Egr1,KO_heat,fdr_logfc,1.33225112,6.33323671,5.43400318e-5,228,EGR1,one2one,TRUE
KO_heat_up,Fat2,KO_heat,fdr_logfc,1.03738256,6.21063259,1.13227865e-5,229,FAT2,one2one,TRUE
KO_heat_up,Ccn1,KO_heat,fdr_logfc,1.29044421,6.15257958,2.39975192e-5,230,CCN1,one2one,TRUE
KO_heat_up,Ak4,KO_heat,fdr_logfc,1.36033545,6.07101667,8.32009594e-5,231,AK4,one2one,TRUE
KO_heat_up,Pkib,KO_heat,fdr_logfc,1.14546622,6.03929724,4.8026639e-5,232,PKIB,one2one,TRUE
KO_heat_up,Gm12867,KO_heat,fdr_logfc,1.07725165,5.85984543,2.5520131e-5,233,NA,NA,FALSE
KO_heat_up,Esyt3,KO_heat,fdr_logfc,1.04897158,5.84549524,2.82535821e-5,234,ESYT3,one2one,TRUE
KO_heat_up,Areg,KO_heat,fdr_logfc,1.72351247,5.81067693,1.17833559e-4,235,AREG,one2one,TRUE
KO_heat_up,Gm45137,KO_heat,fdr_logfc,1.02814815,5.78431371,3.11021573e-5,236,NA,NA,FALSE
KO_heat_up,Tgm2,KO_heat,fdr_logfc,1.72108285,4.95875489,5.81319708e-4,237,TGM2,one2one,TRUE
KO_heat_up,P4ha2,KO_heat,fdr_logfc,1.02355837,4.78113778,7.9721375e-4,238,P4HA2,one2one,TRUE
KO_heat_up,Il24,KO_heat,fdr_logfc,1.02603092,4.74076715,4.84870335e-4,239,IL24,one2one,TRUE
Interaction_up,Irf7,Interaction,fdr_logfc,1.08641964,7.17763411,3.93746858e-4,1,IRF7,one2one,TRUE
Interaction_up,Trim30d,Interaction,fdr_logfc,1.03105481,7.09607754,3.98395988e-4,2,TRIM5,many2one,TRUE
Interaction_up,Oasl2,Interaction,fdr_logfc,1.29262096,6.91553996,4.76484744e-4,3,NA,NA,FALSE
Interaction_up,Rtp4,Interaction,fdr_logfc,1.53802833,6.83978377,8.88331459e-4,4,RTP4,one2one,TRUE
Interaction_up,Ifi206,Interaction,fdr_logfc,1.29536371,6.73583177,6.45081503e-4,5,IFI16,many2one,TRUE
Interaction_up,Xaf1,Interaction,fdr_logfc,1.09399464,6.35777412,0.0031160991,6,XAF1,one2one,TRUE
Interaction_up,Ifi208,Interaction,fdr_logfc,1.14563068,6.11370339,0.00265755315,7,IFI16,many2one,TRUE
Interaction_up,Ifit1,Interaction,fdr_logfc,1.0071563,5.95735721,0.00327810716,8,IFIT1B,many2one,TRUE
Interaction_up,Mx1,Interaction,fdr_logfc,1.08945126,5.75673573,0.00520624316,9,MX1,many2one,TRUE
Interaction_up_fdrOnly,Ifi27,Interaction,fdr_only,0.81979807,9.2737564,1.33747159e-5,1,IFI27;IFI27L1,one2many,TRUE
Interaction_up_fdrOnly,Helz2,Interaction,fdr_only,0.446572568,7.59432853,1.96747816e-4,2,HELZ2,one2one,TRUE
Interaction_up_fdrOnly,Irf7,Interaction,fdr_only,1.08641964,7.17763411,3.93746858e-4,3,IRF7,one2one,TRUE
Interaction_up_fdrOnly,Trim30d,Interaction,fdr_only,1.03105481,7.09607754,3.98395988e-4,4,TRIM5,many2one,TRUE
Interaction_up_fdrOnly,Oasl2,Interaction,fdr_only,1.29262096,6.91553996,4.76484744e-4,5,NA,NA,FALSE
Interaction_up_fdrOnly,Rtp4,Interaction,fdr_only,1.53802833,6.83978377,8.88331459e-4,6,RTP4,one2one,TRUE
Interaction_up_fdrOnly,Ifi206,Interaction,fdr_only,1.29536371,6.73583177,6.45081503e-4,7,IFI16,many2one,TRUE
Interaction_up_fdrOnly,Xaf1,Interaction,fdr_only,1.09399464,6.35777412,0.0031160991,8,XAF1,one2one,TRUE
Interaction_up_fdrOnly,Ifi208,Interaction,fdr_only,1.14563068,6.11370339,0.00265755315,9,IFI16,many2one,TRUE
Interaction_up_fdrOnly,Ifit1,Interaction,fdr_only,1.0071563,5.95735721,0.00327810716,10,IFIT1B,many2one,TRUE
Interaction_up_fdrOnly,Samd9l,Interaction,fdr_only,0.722701889,5.79460909,0.00680724228,11,SAMD9L,one2one,TRUE
Interaction_up_fdrOnly,Mx1,Interaction,fdr_only,1.08945126,5.75673573,0.00520624316,12,MX1,many2one,TRUE
Interaction_up_fdrOnly,Rnf213,Interaction,fdr_only,0.825693663,5.71983825,0.0252948738,13,RNF213,one2one,TRUE
Interaction_up_fdrOnly,Eif2ak2,Interaction,fdr_only,0.423940198,5.56323172,0.00762717084,14,EIF2AK2,one2one,TRUE
Interaction_up_fdrOnly,Sp100,Interaction,fdr_only,0.273099856,5.55781666,0.00762717084,15,SP100,one2one,TRUE
Interaction_up_fdrOnly,Lgals3bp,Interaction,fdr_only,0.599824601,5.46452441,0.0180002168,16,LGALS3BP,one2one,TRUE
Interaction_up_fdrOnly,Trim12c,Interaction,fdr_only,0.299932645,5.1859235,0.0180002168,17,TRIM5,many2one,TRUE
Interaction_up_fdrOnly,Trim30a,Interaction,fdr_only,0.556771899,5.06163116,0.048742511,18,TRIM5,many2one,TRUE
Interaction_up_fdrOnly,Lgals9,Interaction,fdr_only,0.318182759,5.00224061,0.026293037,19,LGALS9,one2one,TRUE
Interaction_up_fdrOnly,Mx2,Interaction,fdr_only,0.940312097,4.92702776,0.0307560701,20,MX1,many2one,TRUE
Interaction_up_fdrOnly,Ddx58,Interaction,fdr_only,0.682743437,4.84380087,0.0430540129,21,RIGI,one2one,TRUE
Interaction_up_fdrOnly,Trim34a,Interaction,fdr_only,0.493041433,4.82404342,0.0389906852,22,TRIM34,many2one,TRUE
Interaction_up_fdrOnly,Dhx58,Interaction,fdr_only,0.567672784,4.70720813,0.048742511,23,DHX58,one2one,TRUE
